date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-12,Venezia,Pistoia,32.23287671232877,0,16,3,6,0.500,3,4,0.75,0,0,0.0,0,5,5,2,2,1,0,0,9,11.6,9
2018-11-20,Venezia,Pesaro,31.506849315068493,0,16,3,6,0.500,3,6,0.5,0,0,0.0,0,4,4,0,0,0,0,2,9,6.4,20
2019-01-29,Venezia,Trentino,31.698630136986303,1,31,4,6,0.667,4,5,0.8,0,0,0.0,0,5,5,1,0,1,1,3,12,10.099999999999998,25
2019-06-29,Venezia,Virtus Bologna,32.11232876712329,1,24,2,4,0.500,0,2,0.0,0,0,0.0,1,2,3,5,0,1,1,2,4,5.700000000000001,15
2019-08-11,Venezia,Sassari,32.23013698630137,1,29,3,8,0.375,3,6,0.5,0,0,0.0,0,2,2,0,0,0,1,1,9,3.799999999999999,-6
2019-06-08,Venezia,Milano,32.054794520547944,1,22,3,4,0.750,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,5,7,4.1,-3
2019-01-06,Venezia,Avellino,31.635616438356166,1,18,2,5,0.400,1,2,0.5,0,0,0.0,1,2,3,2,0,1,0,0,5,5.7,14
2019-01-24,Venezia,Varese,31.684931506849317,1,30,5,12,0.417,3,8,0.375,1,1,1.0,1,3,4,2,0,0,2,2,14,7.800000000000001,8
2019-04-25,Venezia,Brindisi,31.934246575342467,1,31,3,9,0.333,2,6,0.333,0,0,0.0,1,8,9,4,1,0,0,2,8,9.0,8
2019-06-14,Venezia,Cantù,32.07123287671233,1,26,7,10,0.700,5,8,0.625,2,2,1.0,0,2,2,6,0,0,0,2,21,20.8,24
2018-10-16,Venezia,Trieste,31.410958904109588,1,28,4,7,0.571,1,3,0.333,0,0,0.0,1,5,6,1,1,1,1,0,9,9.299999999999999,1
2019-03-10,Venezia,Reggio Emilia,31.808219178082194,1,36,5,10,0.500,5,8,0.625,0,0,0.0,0,2,2,1,1,0,0,3,15,11.099999999999998,-2
2019-01-07,Venezia,Cremona,31.638356164383563,1,33,5,8,0.625,2,4,0.5,0,0,0.0,1,7,8,2,0,0,0,2,12,11.799999999999999,14
2019-06-07,Venezia,Brescia,32.05205479452055,1,22,1,6,0.167,0,4,0.0,2,2,1.0,0,1,1,0,1,0,2,2,4,-1.299999999999999,-16
2019-01-21,Venezia,Torino,31.676712328767124,1,31,3,6,0.500,3,5,0.6,0,0,0.0,0,4,4,1,1,0,2,1,9,6.499999999999998,6
2018-10-05,Venezia,Pistoia,31.38082191780822,1,22,2,2,1.000,1,1,1.0,4,5,0.8,1,2,3,1,1,0,2,2,9,8.199999999999998,3
2019-07-06,Venezia,Pesaro,32.131506849315066,1,30,7,17,0.412,5,9,0.556,3,4,0.75,2,3,5,1,5,1,0,2,22,20.400000000000002,4
2019-04-10,Venezia,Trentino,31.893150684931506,1,32,3,10,0.300,2,6,0.333,0,0,0.0,1,0,1,0,0,0,1,2,8,1.0999999999999996,-9
2019-06-12,Venezia,Virtus Bologna,32.06575342465754,1,27,3,6,0.500,1,3,0.333,1,1,1.0,0,3,3,2,0,0,1,2,8,5.500000000000001,4
2019-04-08,Venezia,Sassari,31.887671232876713,1,26,6,8,0.750,5,6,0.833,0,0,0.0,0,4,4,2,3,0,0,2,17,18.599999999999998,17
2019-05-20,Venezia,Milano,32.0027397260274,1,30,5,7,0.714,2,3,0.667,0,0,0.0,0,4,4,2,2,0,1,2,12,11.9,0
2019-03-12,Venezia,Avellino,31.813698630136987,1,27,1,4,0.250,0,3,0.0,0,0,0.0,0,4,4,3,2,0,0,2,2,4.1,3
2018-09-12,Venezia,Varese,31.317808219178083,1,28,1,7,0.143,0,5,0.0,0,0,0.0,1,0,1,3,0,1,3,2,2,-2.8,-15
2019-02-03,Venezia,Brindisi,31.71232876712329,1,31,2,8,0.250,1,6,0.167,0,1,0.0,0,4,4,0,0,1,0,1,5,1.2999999999999998,7
2019-01-20,Venezia,Cantù,31.673972602739727,1,31,4,9,0.444,2,6,0.333,1,4,0.25,2,8,10,3,3,0,0,3,11,12.8,7
2019-06-27,Venezia,Trieste,32.106849315068494,1,24,0,3,0.000,0,2,0.0,2,2,1.0,0,1,1,0,0,0,1,0,2,-0.7999999999999996,5
2019-04-09,Venezia,Reggio Emilia,31.89041095890411,1,27,5,8,0.625,4,5,0.8,4,4,1.0,2,2,4,1,2,0,1,0,18,18.1,10
2018-12-19,Venezia,Cremona,31.586301369863016,1,28,3,7,0.429,2,4,0.5,0,0,0.0,0,1,1,1,0,0,2,2,8,2.5,-14
2019-01-04,Venezia,Brescia,31.63013698630137,1,23,3,7,0.429,1,5,0.2,0,0,0.0,1,3,4,2,2,0,0,3,7,7.1000000000000005,23
2019-04-17,Venezia,Varese,31.912328767123288,1,25,2,4,0.500,2,4,0.5,0,0,0.0,0,5,5,4,0,1,3,0,6,6.0,8
2019-03-22,Venezia,Trentino,31.84109589041096,1,23,3,4,0.750,2,3,0.667,0,0,0.0,1,3,4,1,1,1,4,5,8,4.399999999999999,0
2019-06-21,Venezia,Brindisi,32.09041095890411,0,24,3,4,0.750,1,2,0.5,0,0,0.0,1,6,7,1,0,0,2,2,7,5.8,7
2019-03-04,Venezia,Cremona,31.791780821917808,1,21,2,5,0.400,1,3,0.333,3,3,1.0,2,4,6,2,1,0,0,1,8,9.900000000000002,0
2019-08-18,Venezia,Virtus Bologna,32.24931506849315,1,24,2,9,0.222,1,7,0.143,3,4,0.75,1,2,3,0,1,0,0,3,8,3.2,1
2018-12-24,Venezia,Torino,31.6,1,26,1,2,0.500,1,2,0.5,2,5,0.4,1,4,5,3,0,0,1,2,5,5.0,-14
2019-01-22,Venezia,Cantù,31.67945205479452,1,30,6,9,0.667,3,5,0.6,1,3,0.333,6,3,9,0,2,1,1,3,16,16.899999999999995,1
2018-09-02,Venezia,Pistoia,31.29041095890411,1,23,2,4,0.500,0,1,0.0,0,0,0.0,3,3,6,1,0,0,1,3,4,3.5,13
2019-01-23,Venezia,Avellino,31.682191780821917,1,30,4,6,0.667,3,5,0.6,0,0,0.0,1,3,4,3,1,0,2,2,11,10.299999999999999,8
2019-03-03,Venezia,Varese,31.78904109589041,1,35,5,10,0.500,4,9,0.444,0,0,0.0,1,3,4,2,1,1,4,1,14,9.299999999999999,-14
2019-06-22,Venezia,Trentino,32.09315068493151,1,34,9,12,0.750,6,8,0.75,2,3,0.667,2,4,6,0,1,0,1,3,26,22.200000000000003,4
2019-02-12,Venezia,Brindisi,31.736986301369864,1,31,5,12,0.417,3,10,0.3,2,3,0.667,1,4,5,1,0,1,1,1,15,10.099999999999998,0
2019-05-02,Venezia,Cremona,31.953424657534246,1,29,4,7,0.571,4,7,0.571,0,0,0.0,0,4,4,2,0,0,1,2,12,9.499999999999998,5
2019-05-27,Venezia,Virtus Bologna,32.02191780821918,1,31,3,7,0.429,2,5,0.4,0,0,0.0,0,4,4,0,0,2,0,3,8,5.7,-2
2019-03-16,Venezia,Torino,31.824657534246576,1,32,3,6,0.500,1,4,0.25,2,2,1.0,0,3,3,4,1,0,2,2,9,7.899999999999999,6
2018-10-18,Venezia,Cantù,31.416438356164385,1,21,4,7,0.571,2,5,0.4,0,0,0.0,0,3,3,0,0,0,1,2,10,5.8,20
2019-01-06,Venezia,Pistoia,31.635616438356166,1,19,1,4,0.250,1,3,0.333,0,0,0.0,1,0,1,2,0,0,0,0,3,2.7,-19
2019-05-29,Venezia,Sassari,32.02739726027397,0,21,2,5,0.400,1,4,0.25,1,2,0.5,1,2,3,2,2,0,0,1,6,7.199999999999999,10
2019-03-18,Venezia,Capo d'Orlando,31.83013698630137,0,21,3,5,0.600,3,3,1.0,0,0,0.0,0,1,1,3,0,0,0,1,9,8.699999999999998,21
2018-12-06,Venezia,Milano,31.55068493150685,0,18,0,4,0.000,0,1,0.0,2,2,1.0,1,1,2,1,1,0,1,1,2,0.5,-10
2019-06-04,Venezia,Cantù,32.04383561643836,1,18,2,5,0.400,0,2,0.0,0,0,0.0,1,1,2,3,0,0,0,2,4,3.5999999999999996,-7
2019-04-13,Venezia,Capo d'Orlando,31.9013698630137,1,16,4,5,0.800,3,4,0.75,0,0,0.0,1,1,2,3,0,1,0,4,11,11.299999999999999,15
2018-11-09,Venezia,Trentino,31.476712328767125,1,19,1,4,0.250,1,3,0.333,2,2,1.0,0,2,2,1,1,1,1,0,5,4.600000000000001,-11
2018-09-30,Venezia,Reggio Emilia,31.367123287671234,1,23,2,4,0.500,2,3,0.667,0,0,0.0,0,0,0,0,1,0,0,1,6,4.6,-13
2018-11-29,Venezia,Cremona,31.53150684931507,1,26,2,6,0.333,1,4,0.25,1,2,0.5,3,2,5,1,1,3,0,1,6,8.299999999999999,2
2019-03-03,Venezia,Pesaro,31.78904109589041,1,20,3,6,0.500,3,5,0.6,0,0,0.0,1,5,6,0,0,0,0,1,9,7.799999999999999,-6
2018-09-23,Venezia,Pistoia,31.34794520547945,1,27,4,10,0.400,2,5,0.4,0,0,0.0,0,3,3,4,2,0,0,2,10,9.5,3
2019-03-23,Venezia,Torino,31.843835616438355,1,18,2,5,0.400,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,2,5,1.7999999999999996,-12
2019-08-27,Venezia,Caserta,32.273972602739725,1,40,6,15,0.400,4,11,0.364,3,3,1.0,1,5,6,1,0,0,0,1,19,13.399999999999997,9
2018-11-01,Venezia,Avellino,31.454794520547946,1,26,4,6,0.667,1,2,0.5,0,0,0.0,0,4,4,1,1,0,1,1,9,7.9,-3
2019-07-07,Venezia,Milano,32.134246575342466,1,31,0,4,0.000,0,3,0.0,5,6,0.833,0,2,2,2,0,1,1,2,5,2.7,5
2019-08-10,Venezia,Brescia,32.227397260273975,1,30,7,17,0.412,5,11,0.455,2,3,0.667,3,2,5,1,2,0,0,3,21,15.700000000000003,6
2019-08-29,Venezia,Varese,32.27945205479452,1,27,6,10,0.600,6,9,0.667,0,0,0.0,0,2,2,2,0,1,1,2,18,14.299999999999997,25
2019-07-07,Venezia,Sassari,32.134246575342466,1,31,3,5,0.600,1,3,0.333,1,2,0.5,1,3,4,1,1,2,1,2,8,8.199999999999998,-7
2018-10-14,Venezia,Brindisi,31.405479452054795,1,28,4,9,0.444,1,5,0.2,2,2,1.0,3,4,7,0,1,0,1,3,11,8.399999999999999,-17
2019-06-12,Venezia,Cantù,32.06575342465754,1,24,2,4,0.500,2,3,0.667,2,2,1.0,1,4,5,1,0,0,0,1,8,8.200000000000001,22
2018-11-15,Venezia,Capo d'Orlando,31.493150684931507,1,32,4,9,0.444,3,8,0.375,0,0,0.0,0,2,2,0,0,0,2,1,11,4.499999999999999,0
2019-05-10,Venezia,Trentino,31.975342465753425,0,32,5,8,0.625,4,7,0.571,3,3,1.0,0,2,2,2,0,0,0,2,17,14.6,3
2019-08-13,Venezia,Reggio Emilia,32.23561643835617,1,35,3,9,0.333,3,7,0.429,0,0,0.0,1,5,6,3,2,1,1,1,9,9.499999999999998,7
2019-01-25,Venezia,Cremona,31.687671232876713,1,29,3,8,0.375,2,7,0.286,1,2,0.5,1,3,4,1,1,0,0,2,9,6.699999999999999,-15
2018-09-29,Venezia,Pesaro,31.364383561643837,1,25,2,7,0.286,2,5,0.4,2,2,1.0,1,2,3,2,1,0,1,2,8,5.800000000000002,12
2019-05-08,Venezia,Pistoia,31.96986301369863,1,25,3,9,0.333,1,5,0.2,0,0,0.0,1,4,5,2,0,0,1,3,7,2.999999999999999,-1
