date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Milano,Brindisi,29.339726027397262,1,16,3,4,0.750,2,2,1.0,0,0,0.0,3,3,6,2,2,1,1,2,8,11.7,15
2018-10-14,Milano,Virtus Bologna,29.35890410958904,1,26,1,4,0.250,0,1,0.0,0,0,0.0,1,1,2,2,0,0,1,0,2,1.0,11
2018-10-21,Milano,Pistoia,29.378082191780823,1,21,3,4,0.750,2,3,0.667,0,0,0.0,0,1,1,1,2,1,0,1,8,9.699999999999998,6
2018-10-28,Milano,Pesaro,29.397260273972602,1,21,1,4,0.250,0,1,0.0,0,0,0.0,2,2,4,0,1,0,0,2,2,1.8,11
2018-11-04,Milano,Torino,29.416438356164385,1,20,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,2,0,0,0,3,3,1.7999999999999998,-9
2018-11-11,Milano,Reggio Emilia,29.435616438356163,1,20,4,7,0.571,0,2,0.0,0,0,0.0,2,5,7,1,2,0,0,2,8,9.499999999999998,24
2018-11-18,Milano,Venezia,29.454794520547946,1,24,4,7,0.571,0,1,0.0,0,0,0.0,1,1,2,1,0,1,0,4,8,5.5,6
2018-11-25,Milano,Cremona,29.473972602739725,1,26,2,4,0.500,1,2,0.5,2,2,1.0,1,6,7,1,1,1,2,0,7,7.899999999999999,-4
2018-12-09,Milano,Cantù,29.51232876712329,1,19,1,3,0.333,0,1,0.0,2,3,0.667,1,3,4,2,0,1,1,1,4,4.2,-2
2018-12-16,Milano,Sassari,29.53150684931507,1,36,3,3,1.000,1,1,1.0,1,2,0.5,1,5,6,0,1,0,0,2,8,9.099999999999998,12
2018-12-23,Milano,Varese,29.55068493150685,0,21,1,1,0.000,0,0,0.0,1,2,0.5,1,2,3,1,0,0,0,0,3,4.3,6
2018-12-25,Milano,Brescia,29.556164383561644,0,24,2,5,0.400,0,2,0.0,0,0,0.0,5,4,9,0,1,0,1,3,4,4.8,3
2018-12-30,Milano,Avellino,29.56986301369863,1,16,0,1,0.000,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,1,0,0.4999999999999999,0
2019-01-13,Milano,Trieste,29.60821917808219,1,20,1,1,0.000,0,0,0.0,1,2,0.5,1,2,3,2,2,0,2,4,3,3.4000000000000004,8
2019-01-20,Milano,Brindisi,29.627397260273973,1,20,3,4,0.750,1,2,0.5,0,0,0.0,0,2,2,1,0,1,1,1,7,5.999999999999999,-15
2019-01-27,Milano,Virtus Bologna,29.646575342465752,1,27,5,5,0.000,0,0,0.0,2,5,0.4,1,6,7,0,1,1,0,3,12,12.3,8
2019-02-10,Milano,Pesaro,29.684931506849317,1,7,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,1,0,0.19999999999999996,13
2019-03-03,Milano,Torino,29.742465753424657,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-11,Milano,Reggio Emilia,29.764383561643836,1,20,3,5,0.600,0,2,0.0,0,0,0.0,1,2,3,2,0,2,2,0,6,5.800000000000001,5
2019-03-17,Milano,Venezia,29.78082191780822,1,19,1,2,0.500,1,1,1.0,0,0,0.0,1,6,7,1,1,0,1,1,3,4.8,-4
2019-03-24,Milano,Cremona,29.8,1,18,3,8,0.000,0,0,0.0,2,3,0.667,0,1,1,0,0,0,0,2,8,2.6999999999999993,8
2019-03-31,Milano,Cantù,29.81917808219178,1,24,3,4,0.750,1,1,1.0,1,1,1.0,1,7,8,1,1,1,1,3,8,9.399999999999999,16
2019-04-07,Milano,Sassari,29.838356164383562,1,17,1,2,0.000,0,0,0.0,6,6,1.0,4,2,6,2,2,1,2,4,8,10.9,2
2019-04-13,Milano,Varese,29.854794520547944,0,21,2,4,0.500,1,1,1.0,1,2,0.5,2,3,5,2,0,0,3,2,6,3.500000000000001,10
2019-04-20,Milano,Brescia,29.873972602739727,1,32,4,7,0.571,1,2,0.5,2,2,1.0,3,2,5,0,0,1,1,5,11,8.1,5
2019-04-28,Milano,Avellino,29.895890410958906,1,23,2,5,0.400,1,4,0.25,0,0,0.0,0,1,1,1,2,0,2,1,5,2.8999999999999995,23
2019-05-05,Milano,Trentino,29.915068493150685,1,19,1,4,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,1,2,1.2000000000000002,2
