date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-12-11,Milano,Brindisi,33.29041095890411,0,18,3,6,0.500,0,1,0.0,2,2,1.0,2,2,4,0,1,0,0,3,8,6.8,-6
2019-06-26,Milano,Virtus Bologna,33.83013698630137,1,16,5,5,1.000,1,1,1.0,1,3,0.333,1,5,6,0,1,0,0,3,12,11.7,-7
2018-09-09,Milano,Pistoia,33.035616438356165,0,25,4,6,0.667,2,3,0.667,3,4,0.75,4,4,8,0,1,0,1,3,13,12.8,5
2018-10-12,Milano,Pesaro,33.12602739726027,0,25,5,9,0.556,1,2,0.5,0,0,0.0,4,8,12,2,2,2,1,3,11,14.5,16
2018-12-11,Milano,Torino,33.29041095890411,0,15,3,5,0.600,0,1,0.0,0,0,0.0,1,3,4,2,4,0,3,1,6,7.300000000000001,17
2018-12-02,Milano,Reggio Emilia,33.26575342465753,0,18,1,2,0.000,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,3,2,2.0999999999999996,0
2019-06-08,Milano,Venezia,33.78082191780822,0,10,1,2,0.000,0,0,0.0,0,0,0.0,3,1,4,0,0,0,1,1,2,1.9999999999999996,-10
2018-12-09,Milano,Cremona,33.28493150684932,0,12,1,3,0.000,0,0,0.0,1,1,1.0,3,3,6,1,0,1,0,1,3,5.3,-9
2019-01-30,Milano,Cantù,33.42739726027397,0,19,6,7,0.857,1,1,1.0,2,2,1.0,1,4,5,0,2,0,0,3,15,15.2,18
2019-05-03,Milano,Sassari,33.68219178082192,1,19,2,2,0.000,0,0,0.0,4,6,0.667,0,3,3,1,3,0,1,4,8,8.6,-11
2018-11-18,Milano,Varese,33.227397260273975,0,19,0,1,0.000,0,0,0.0,2,2,1.0,0,1,1,1,3,0,0,3,2,4.1,6
2018-10-13,Milano,Brescia,33.12876712328767,0,17,4,6,0.000,0,0,0.0,0,1,0.0,2,4,6,0,2,0,1,5,8,6.600000000000001,2
2018-10-20,Milano,Avellino,33.14794520547945,0,13,3,6,0.500,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,6,3.600000000000001,-6
2019-04-20,Milano,Trentino,33.64657534246575,0,7,0,1,0.000,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,0,-0.5000000000000001,-3
2019-03-06,Milano,Trieste,33.52328767123288,0,7,1,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,1.0,-2
2018-09-17,Milano,Brindisi,33.057534246575344,1,11,0,3,0.000,0,0,0.0,1,2,0.5,3,1,4,0,0,0,1,3,1,-1.3,-5
2019-08-18,Milano,Virtus Bologna,33.97534246575343,0,20,1,2,0.500,0,1,0.0,1,2,0.5,0,4,4,0,1,0,0,5,3,1.7999999999999998,9
2019-02-07,Milano,Pesaro,33.44931506849315,0,25,6,8,0.750,0,1,0.0,0,0,0.0,3,6,9,0,1,0,0,4,12,12.1,12
2019-04-24,Milano,Torino,33.657534246575345,0,20,2,4,0.000,0,0,0.0,6,6,1.0,0,1,1,1,2,0,0,2,10,10.2,-5
2019-01-15,Milano,Reggio Emilia,33.38630136986301,0,17,2,4,0.000,0,0,0.0,0,0,0.0,1,2,3,0,2,0,1,2,4,3.500000000000001,3
2019-05-20,Milano,Venezia,33.728767123287675,0,6,1,3,0.000,0,0,0.0,1,2,0.5,0,2,2,0,0,1,0,2,3,1.4000000000000001,-6
2019-03-31,Milano,Cremona,33.59178082191781,0,9,2,2,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,0,3,3,4,0.39999999999999947,-6
2018-12-28,Milano,Cantù,33.33698630136986,0,14,2,3,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,4,3.2,-8
2018-10-01,Milano,Sassari,33.0958904109589,0,6,0,1,0.000,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,2,0,-0.5,-8
2018-09-01,Milano,Varese,33.013698630136986,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-17,Milano,Brescia,33.72054794520548,0,6,2,3,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,4,1.3000000000000003,-4
2019-02-17,Milano,Avellino,33.47671232876712,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-4
2019-05-02,Milano,Trentino,33.679452054794524,1,13,2,4,0.500,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,2,4,3.500000000000001,8
2018-12-18,Milano,Trieste,33.30958904109589,1,19,3,5,0.600,0,1,0.0,0,0,0.0,0,4,4,0,0,0,1,0,6,3.9000000000000004,-4
2019-01-08,Virtus Bologna,Avellino,33.367123287671234,1,37,9,11,0.818,1,3,0.333,5,6,0.833,2,10,12,0,0,0,2,3,24,20.700000000000003,2
2019-05-01,Brescia,Capo d'Orlando,33.676712328767124,0,23,5,9,0.556,2,4,0.5,1,2,0.5,0,3,3,3,0,1,0,2,13,11.199999999999998,1
2018-12-12,Brescia,Brindisi,33.293150684931504,0,13,2,8,0.250,1,3,0.333,2,2,1.0,1,5,6,2,1,1,0,4,7,5.9,5
2019-05-25,Brescia,Varese,33.74246575342466,0,23,8,14,0.571,0,2,0.0,2,3,0.667,1,8,9,0,4,0,0,2,18,17.3,4
2019-07-25,Brescia,Reggio Emilia,33.90958904109589,0,25,10,13,0.769,2,3,0.667,0,1,0.0,4,2,6,1,2,0,0,3,22,21.400000000000002,14
2019-08-05,Brescia,Caserta,33.93972602739726,0,23,2,10,0.200,0,3,0.0,3,6,0.5,3,5,8,0,1,0,2,2,7,1.3999999999999995,-17
2019-07-02,Brescia,Cremona,33.846575342465755,0,27,7,11,0.636,1,3,0.333,1,4,0.25,2,6,8,2,1,0,1,2,16,13.700000000000001,23
2019-08-10,Brescia,Venezia,33.95342465753425,0,26,6,12,0.500,0,3,0.0,2,2,1.0,0,7,7,1,1,0,5,4,14,5.199999999999999,-3
2019-04-09,Brescia,Trentino,33.61643835616439,0,18,6,8,0.750,2,2,1.0,0,2,0.0,2,6,8,1,2,1,0,0,14,16.599999999999998,-4
2018-10-29,Brescia,Torino,33.17260273972603,0,26,2,7,0.286,1,3,0.333,5,6,0.833,1,8,9,3,2,0,1,3,10,10.5,6
2019-02-15,Brescia,Pistoia,33.47123287671233,0,26,7,11,0.636,1,5,0.2,3,4,0.75,0,6,6,4,1,0,2,1,18,15.900000000000002,25
2019-03-08,Brescia,Pesaro,33.52876712328767,0,24,4,8,0.500,1,3,0.333,2,4,0.5,3,4,7,1,2,0,1,4,11,9.6,14
2019-06-30,Brescia,Cantù,33.84109589041096,0,21,3,10,0.300,0,3,0.0,1,2,0.5,0,1,1,0,0,0,3,2,7,-2.700000000000001,-8
2019-06-17,Brescia,Sassari,33.8054794520548,0,18,0,7,0.000,0,4,0.0,0,0,0.0,2,4,6,1,1,0,2,5,0,-4.6,10
2018-10-27,Brescia,Milano,33.16712328767123,0,28,5,10,0.500,0,1,0.0,3,3,1.0,4,5,9,2,0,1,1,3,13,12.2,-1
2019-03-30,Brescia,Avellino,33.58904109589041,0,24,3,13,0.231,1,4,0.25,0,2,0.0,1,4,5,0,1,1,0,2,7,1.0999999999999994,9
2019-05-22,Brescia,Capo d'Orlando,33.73424657534247,0,22,3,11,0.000,0,0,0.0,2,2,1.0,3,6,9,0,2,1,1,3,8,5.8999999999999995,-7
