date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-05-14,Brescia,Pesaro,33.87945205479452,0,12,0,2,0.000,0,2,0.0,2,2,1.0,1,1,2,1,0,0,1,0,2,1.2999999999999998,-6
2018-12-16,Brescia,Avellino,33.47123287671233,0,18,2,4,0.500,2,4,0.5,0,0,0.0,0,1,1,1,3,0,0,2,6,7.2,19
2019-07-10,Brescia,Trentino,34.035616438356165,0,7,0,1,0.000,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.0,0
2019-04-06,Brescia,Varese,33.775342465753425,0,20,4,6,0.667,1,3,0.333,0,0,0.0,0,2,2,1,3,0,0,1,9,10.299999999999999,-3
2019-01-13,Brescia,Brindisi,33.54794520547945,0,8,1,3,0.333,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,1.3000000000000003,-2
2019-03-11,Brescia,Reggio Emilia,33.704109589041096,0,16,2,4,0.500,1,3,0.333,0,1,0.0,0,2,2,3,0,0,2,2,5,2.5,9
2019-07-11,Brescia,Virtus Bologna,34.038356164383565,0,15,2,4,0.500,2,3,0.667,0,0,0.0,0,0,0,3,1,0,1,2,6,5.3,-1
2018-11-10,Brescia,Capo d'Orlando,33.37260273972603,0,19,5,7,0.714,2,3,0.667,0,0,0.0,0,1,1,4,1,0,1,2,12,11.400000000000002,6
2019-02-26,Brescia,Cantù,33.66849315068493,0,12,2,5,0.400,1,4,0.25,0,0,0.0,0,2,2,1,0,0,3,2,5,-0.20000000000000018,3
2018-11-07,Brescia,Sassari,33.364383561643834,0,12,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,0,1,0,0,0,5,5.3,4
2018-10-31,Brescia,Venezia,33.345205479452055,0,12,3,4,0.750,1,2,0.5,2,2,1.0,0,1,1,1,0,0,0,1,9,7.999999999999998,0
2019-01-15,Brescia,Milano,33.553424657534244,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-1.4,-5
