date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-04,Cantù,Venezia,38.04931506849315,1,17,1,5,0.200,0,3,0.0,1,3,0.333,2,2,4,0,1,0,0,3,3,0.8999999999999995,7
2018-09-29,Cantù,Brescia,37.369863013698634,0,21,1,8,0.125,1,8,0.125,2,2,1.0,1,4,5,1,0,0,1,3,5,0.20000000000000018,-16
2019-08-30,Cantù,Pesaro,38.28767123287671,1,34,1,7,0.143,1,6,0.167,0,0,0.0,1,2,3,1,1,0,0,1,3,1.1000000000000005,8
2019-04-10,Cantù,Sassari,37.8986301369863,0,7,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,3,0,1.1999999999999997,6
2019-04-09,Cantù,Capo d'Orlando,37.895890410958906,0,15,0,2,0.000,0,1,0.0,1,2,0.5,1,0,1,0,0,0,2,3,1,-3.3000000000000003,4
2019-02-27,Cantù,Reggio Emilia,37.78356164383562,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,1
2018-11-20,Cantù,Caserta,37.512328767123286,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-08,Cantù,Brindisi,37.64657534246575,0,23,2,4,0.500,1,3,0.333,0,0,0.0,0,2,2,1,0,0,3,4,5,-0.30000000000000027,0
2019-08-22,Cantù,Torino,38.26575342465753,1,28,4,9,0.444,3,7,0.429,0,0,0.0,5,3,8,2,1,1,1,5,11,10.8,9
2019-03-28,Cantù,Varese,37.863013698630134,1,22,1,4,0.250,1,3,0.333,1,2,0.5,0,1,1,1,0,0,0,1,4,1.8000000000000007,-4
2019-08-02,Cantù,Avellino,38.21095890410959,1,23,2,4,0.500,1,3,0.333,0,0,0.0,1,3,4,1,2,0,0,3,5,6.1,4
2019-05-07,Cantù,Pistoia,37.97260273972603,1,22,4,7,0.571,2,5,0.4,0,0,0.0,1,1,2,0,0,0,1,4,10,5.1,-2
2019-08-16,Cantù,Cremona,38.24931506849315,1,23,6,14,0.429,4,7,0.571,1,2,0.5,2,1,3,2,1,0,0,2,17,12.5,-6
2018-12-28,Cantù,Trentino,37.61643835616439,1,13,1,2,0.500,1,1,1.0,2,2,1.0,1,1,2,2,0,0,2,3,5,3.2,0
2019-06-12,Cantù,Venezia,38.07123287671233,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-30,Cantù,Brescia,38.12054794520548,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-02,Cantù,Pesaro,37.95890410958904,0,1,2,2,1.000,1,1,1.0,0,0,0.0,1,0,1,1,0,0,0,0,5,5.800000000000001,3
2018-09-10,Cantù,Capo d'Orlando,37.31780821917808,0,6,1,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,1,0,1,1,2,2.3,-11
2019-01-17,Cantù,Milano,37.67123287671233,1,11,2,3,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,3,4,2.2,-11
2018-09-10,Cantù,Reggio Emilia,37.31780821917808,0,16,2,3,0.667,2,3,0.667,1,2,0.5,2,2,4,3,0,0,0,3,7,8.2,12
2018-09-06,Cantù,Caserta,37.30684931506849,0,16,1,6,0.167,0,3,0.0,3,4,0.75,0,5,5,0,0,0,1,4,5,-0.29999999999999893,-4
2018-10-05,Cantù,Brindisi,37.38630136986301,0,9,0,1,0.000,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,4,1,-0.7000000000000002,4
2019-01-12,Cantù,Torino,37.657534246575345,0,8,2,4,0.500,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,4,1.4999999999999998,2
2018-09-06,Cantù,Varese,37.30684931506849,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,3,3,0,0,0,0,3,0,-1.0000000000000002,5
2019-01-29,Cantù,Avellino,37.704109589041096,0,4,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,2,3,1.9000000000000001,-1
2019-06-27,Cantù,Pistoia,38.11232876712329,1,10,0,1,0.000,0,1,0.0,0,2,0.0,1,0,1,0,0,0,2,3,0,-4.0,-1
2019-07-12,Cantù,Cremona,38.153424657534245,1,14,3,5,0.600,2,2,1.0,2,3,0.667,3,0,3,2,0,0,1,2,10,8.999999999999998,0
2019-02-10,Cantù,Trentino,37.73698630136986,0,5,1,3,0.333,1,2,0.5,1,2,0.5,2,0,2,0,0,0,1,1,4,1.9000000000000008,-12
2019-04-03,Cantù,Milano,37.87945205479452,0,12,2,3,0.667,0,1,0.0,1,2,0.5,2,0,2,0,0,0,0,3,5,3.5,-11
