date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-08,Cremona,Sassari,26.44931506849315,0,10,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,3,0,0,0,2,3,3.5999999999999996,5
2018-10-17,Cremona,Pesaro,26.473972602739725,0,14,2,9,0.222,2,7,0.286,0,0,0.0,0,2,2,1,0,0,1,1,6,0.3999999999999999,5
2019-07-02,Cremona,Brescia,27.18082191780822,0,11,2,6,0.333,1,5,0.2,0,0,0.0,1,0,1,2,0,0,0,1,5,3.3000000000000007,-14
2018-11-15,Cremona,Avellino,26.553424657534247,0,16,4,9,0.444,1,5,0.2,0,0,0.0,0,1,1,0,2,0,1,2,9,4.8,-13
2019-07-23,Cremona,Varese,27.23835616438356,0,16,3,5,0.600,1,2,0.5,1,2,0.5,0,6,6,1,1,0,1,1,8,7.399999999999997,10
2019-06-26,Cremona,Reggio Emilia,27.164383561643834,0,28,5,10,0.500,2,4,0.5,0,0,0.0,0,4,4,7,1,0,4,1,12,9.699999999999998,13
2018-09-23,Cremona,Pistoia,26.40821917808219,0,17,0,4,0.000,0,1,0.0,0,0,0.0,1,1,2,4,1,0,0,1,0,1.6,-11
2019-07-05,Cremona,Trentino,27.18904109589041,0,28,5,14,0.357,1,4,0.25,0,0,0.0,1,3,4,2,1,0,1,2,11,5.400000000000001,-7
2018-10-07,Cremona,Caserta,26.446575342465753,0,20,1,6,0.167,1,5,0.2,1,1,1.0,0,7,7,0,1,0,1,3,4,1.100000000000001,-6
2019-04-10,Cremona,Torino,26.953424657534246,0,23,4,5,0.800,4,4,1.0,0,0,0.0,0,6,6,4,1,0,1,1,12,14.299999999999999,9
2019-01-25,Cremona,Venezia,26.747945205479454,0,17,3,8,0.375,2,6,0.333,6,6,1.0,0,6,6,2,0,0,2,2,14,9.999999999999998,7
2019-02-28,Cremona,Brindisi,26.84109589041096,0,16,2,5,0.400,2,5,0.4,1,2,0.5,0,1,1,0,0,0,1,1,7,2.8000000000000003,-10
2018-09-23,Cremona,Capo d'Orlando,26.40821917808219,0,13,2,6,0.333,2,5,0.4,0,0,0.0,1,2,3,2,1,0,4,1,6,1.9000000000000004,-3
2018-10-30,Cremona,Milano,26.50958904109589,0,16,2,6,0.333,2,4,0.5,0,0,0.0,0,2,2,3,2,0,1,1,6,5.9,4
2019-06-29,Cremona,Sassari,27.172602739726027,0,15,3,7,0.429,1,4,0.25,0,0,0.0,0,4,4,4,0,0,1,0,7,6.3,1
2019-03-17,Cremona,Pesaro,26.887671232876713,0,13,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,2,1.6,-2
2019-07-13,Cremona,Brescia,27.21095890410959,0,13,2,7,0.286,1,5,0.2,2,2,1.0,1,2,3,1,0,0,1,2,7,3.1000000000000005,3
2019-06-18,Cremona,Avellino,27.14246575342466,0,16,3,7,0.429,2,6,0.333,0,0,0.0,0,1,1,1,0,0,0,3,8,4.1,-11
2019-07-12,Cremona,Cantù,27.208219178082192,0,14,0,4,0.000,0,2,0.0,3,4,0.75,0,0,0,4,2,0,1,3,3,2.3999999999999995,9
2018-11-22,Cremona,Varese,26.572602739726026,0,14,2,4,0.500,1,3,0.333,0,0,0.0,2,3,5,0,5,0,2,2,5,7.5,16
2019-07-02,Cremona,Reggio Emilia,27.18082191780822,0,13,1,6,0.167,0,4,0.0,0,1,0.0,1,7,8,5,0,0,2,1,2,1.7000000000000006,2
