date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-04-20,Sassari,Reggio Emilia,32.01917808219178,0,22,3,6,0.500,0,1,0.0,2,2,1.0,2,3,5,2,3,0,1,2,8,9.9,2
2019-04-19,Sassari,Varese,32.016438356164386,1,31,5,12,0.417,2,5,0.4,4,5,0.8,2,4,6,0,0,1,1,2,16,10.7,-10
2019-05-27,Sassari,Brindisi,32.12054794520548,1,31,3,10,0.300,2,6,0.333,7,8,0.875,1,2,3,2,0,0,3,1,15,8.099999999999998,9
2019-08-15,Sassari,Torino,32.33972602739726,1,22,3,8,0.375,0,3,0.0,2,2,1.0,0,3,3,2,0,0,1,4,8,3.3000000000000007,-9
2019-04-08,Sassari,Venezia,31.986301369863014,1,20,2,6,0.333,0,1,0.0,2,2,1.0,1,1,2,2,2,0,1,3,6,4.8,-13
2019-06-28,Sassari,Pistoia,32.20821917808219,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.2000000000000002,4
2018-12-31,Sassari,Trentino,31.71780821917808,0,11,2,5,0.400,0,2,0.0,0,0,0.0,1,1,2,2,0,0,0,0,4,3.6999999999999997,4
2019-07-27,Sassari,Virtus Bologna,32.28767123287671,0,5,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-3
2018-10-01,Sassari,Milano,31.46849315068493,0,6,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,0
2019-02-22,Sassari,Avellino,31.863013698630137,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-1
2018-12-09,Sassari,Pesaro,31.65753424657534,0,9,1,3,0.333,0,1,0.0,3,3,1.0,0,1,1,0,1,0,1,2,5,2.8000000000000007,-3
2019-04-20,Sassari,Brescia,32.01917808219178,1,20,1,4,0.250,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,-1.2,-7
2019-03-02,Sassari,Trieste,31.884931506849316,1,27,4,6,0.667,2,4,0.5,0,2,0.0,1,7,8,2,0,0,1,1,10,9.4,17
2019-01-18,Sassari,Cantù,31.767123287671232,1,23,0,5,0.000,0,1,0.0,4,4,1.0,2,5,7,3,1,2,1,4,4,5.300000000000001,-14
