date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-31,Cantù,Sassari,24.59178082191781,1,27,8,18,0.444,1,5,0.2,0,0,0.0,3,6,9,3,0,0,3,2,17,9.799999999999999,-4
2018-09-25,Brindisi,Trentino,24.493150684931507,0,19,2,8,0.250,0,2,0.0,2,2,1.0,2,3,5,0,1,0,0,1,6,4.1,-3
2019-03-01,Brindisi,Pistoia,24.923287671232877,0,9,1,1,0.000,0,0,0.0,0,0,0.0,2,1,3,0,1,0,4,2,2,-0.40000000000000036,-7
2019-05-06,Brindisi,Reggio Emilia,25.104109589041094,1,27,6,12,0.500,3,7,0.429,3,4,0.75,2,2,4,0,1,1,1,1,18,13.899999999999999,2
2018-10-19,Brindisi,Varese,24.55890410958904,1,34,5,9,0.556,2,4,0.5,3,4,0.75,0,5,5,1,0,1,5,4,15,6.599999999999998,-10
2019-04-18,Brindisi,Torino,25.054794520547944,0,19,3,4,0.000,0,0,0.0,0,0,0.0,0,3,3,2,0,1,0,2,6,6.600000000000001,1
2019-02-07,Brindisi,Cremona,24.863013698630137,0,24,2,6,0.333,1,2,0.5,0,0,0.0,0,6,6,0,2,0,3,1,5,2.0,-9
2018-12-12,Brindisi,Brescia,24.706849315068492,0,15,1,2,0.000,0,0,0.0,0,0,0.0,1,1,2,2,1,3,0,2,2,5.7,-20
2019-01-08,Brindisi,Cantù,24.78082191780822,1,19,3,7,0.000,0,0,0.0,2,2,1.0,5,4,9,2,0,1,1,3,8,8.899999999999999,7
2018-12-27,Brindisi,Avellino,24.747945205479454,1,32,9,13,0.692,1,2,0.5,0,0,0.0,0,7,7,1,1,2,4,4,19,13.099999999999998,-6
2018-12-05,Brindisi,Sassari,24.687671232876713,1,23,8,10,0.800,1,2,0.5,0,0,0.0,3,4,7,3,3,0,4,0,17,17.6,22
2019-04-30,Brindisi,Pesaro,25.087671232876712,1,34,8,13,0.615,0,2,0.0,1,2,0.5,2,4,6,0,1,1,0,4,17,13.399999999999999,7
2019-02-18,Brindisi,Milano,24.893150684931506,1,28,8,15,0.533,1,4,0.25,2,2,1.0,0,1,1,2,0,0,0,2,19,12.6,-11
2019-07-01,Brindisi,Caserta,25.257534246575343,1,33,8,14,0.571,2,4,0.5,2,3,0.667,0,11,11,3,1,1,3,3,20,15.899999999999999,29
2019-02-03,Brindisi,Capo d'Orlando,24.852054794520548,1,35,9,15,0.600,2,2,1.0,3,6,0.5,3,4,7,2,0,1,3,1,23,16.9,6
2018-10-14,Brindisi,Venezia,24.545205479452054,0,29,7,14,0.500,2,4,0.5,4,7,0.571,5,2,7,2,2,2,1,1,20,19.299999999999997,-8
2019-07-04,Brindisi,Trentino,25.265753424657536,1,31,4,10,0.400,0,2,0.0,3,5,0.6,3,7,10,0,0,0,2,2,11,6.199999999999999,-28
2018-10-04,Brindisi,Pistoia,24.517808219178082,0,23,5,10,0.500,0,3,0.0,6,8,0.75,2,4,6,0,1,0,1,3,16,11.599999999999998,4
2018-10-11,Brindisi,Reggio Emilia,24.536986301369865,1,27,8,18,0.444,1,5,0.2,0,0,0.0,3,6,9,3,0,0,3,2,17,9.799999999999999,-4
2019-08-14,Brindisi,Varese,25.378082191780823,1,25,3,10,0.300,0,3,0.0,2,2,1.0,2,5,7,1,2,2,2,2,8,6.399999999999999,12
2018-12-28,Brindisi,Torino,24.75068493150685,1,25,2,9,0.222,0,2,0.0,1,2,0.5,2,1,3,4,2,2,1,3,5,4.8,-13
2019-02-28,Brindisi,Cremona,24.92054794520548,0,22,6,8,0.750,0,1,0.0,1,1,1.0,2,5,7,4,0,3,4,1,13,13.200000000000003,4
2019-06-11,Brindisi,Brescia,25.202739726027396,0,20,4,5,0.800,0,1,0.0,4,6,0.667,0,11,11,1,1,1,2,1,12,12.599999999999996,13
2018-10-05,Brindisi,Cantù,24.52054794520548,1,24,3,8,0.375,0,1,0.0,0,0,0.0,2,7,9,0,1,1,1,2,6,5.000000000000001,-8
2019-05-24,Brindisi,Avellino,25.153424657534245,1,23,5,9,0.556,2,2,1.0,2,2,1.0,2,3,5,0,1,0,2,2,14,10.2,9
2018-09-26,Brindisi,Sassari,24.495890410958904,1,26,3,8,0.375,2,6,0.333,4,4,1.0,2,6,8,4,2,1,4,3,12,11.100000000000001,2
2019-08-16,Brindisi,Pesaro,25.383561643835616,1,36,7,15,0.467,2,4,0.5,1,2,0.5,6,8,14,2,2,1,4,5,17,13.599999999999998,-8
2019-06-27,Brindisi,Milano,25.246575342465754,0,19,6,10,0.600,1,3,0.333,1,2,0.5,2,2,4,1,1,2,3,1,14,10.699999999999998,4
2019-04-28,Brindisi,Caserta,25.08219178082192,0,19,6,9,0.667,1,2,0.5,2,2,1.0,1,4,5,0,1,1,2,4,15,11.099999999999996,-9
2018-10-27,Brindisi,Capo d'Orlando,24.58082191780822,1,26,6,11,0.545,1,1,1.0,0,0,0.0,3,7,10,3,1,1,2,3,13,12.5,19
2018-09-07,Brindisi,Venezia,24.443835616438356,1,38,8,14,0.571,2,5,0.4,2,2,1.0,2,5,7,3,1,1,3,2,20,16.299999999999997,-25
