date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-25,Pesaro,Brescia,22.28767123287671,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-18,Pesaro,Torino,21.76986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-30,Pesaro,Cantù,22.46849315068493,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-06,Pesaro,Avellino,21.906849315068495,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-19,Pesaro,Sassari,22.438356164383563,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-03,Pesaro,Venezia,21.975342465753425,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-03,Pesaro,Varese,21.72876712328767,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-06,Pesaro,Reggio Emilia,21.983561643835618,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-09,Pesaro,Trentino,21.915068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-17,Pesaro,Cremona,21.6,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,1
2019-04-30,Pesaro,Brindisi,22.134246575342466,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-03-02,Pesaro,Caserta,21.972602739726028,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-17,Pesaro,Pistoia,21.767123287671232,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-09,Pesaro,Milano,22.15890410958904,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-25,Pesaro,Capo d'Orlando,22.454794520547946,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-08,Pesaro,Brescia,21.98904109589041,0,3,1,1,1.000,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,0,3,3.7,4
2018-10-16,Pesaro,Torino,21.5972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-02,Pesaro,Cantù,22.13972602739726,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-1.8,0
2018-12-16,Pesaro,Avellino,21.764383561643836,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,-1
2019-08-04,Pesaro,Sassari,22.397260273972602,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-09-29,Pesaro,Venezia,21.55068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-09-08,Pesaro,Varese,21.493150684931507,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-27,Pesaro,Reggio Emilia,21.71232876712329,0,1,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,1
2019-03-26,Pesaro,Trentino,22.03835616438356,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Pesaro,Cremona,22.013698630136986,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-16,Pesaro,Brindisi,22.43013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-11,Pesaro,Caserta,22.08219178082192,0,1,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-4
2019-01-02,Pesaro,Pistoia,21.81095890410959,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-13,Pesaro,Milano,21.84109589041096,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-19,Pesaro,Capo d'Orlando,22.353424657534248,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,-2.0,5
