date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Reggio Emilia,Sassari,27.32054794520548,1,15,4,6,0.000,0,0,0.0,1,1,1.0,1,1,2,0,0,0,1,3,9,5.2,0
2018-10-14,Reggio Emilia,Brescia,27.339726027397262,1,20,4,5,0.000,0,0,0.0,5,6,0.833,2,3,5,0,0,1,3,5,13,8.7,5
2018-10-21,Reggio Emilia,Torino,27.35890410958904,1,17,2,4,0.000,0,0,0.0,1,1,1.0,1,3,4,0,1,1,1,3,5,4.1,-4
2018-10-28,Reggio Emilia,Cantù,27.378082191780823,1,20,1,3,0.000,0,0,0.0,2,2,1.0,0,4,4,0,1,2,1,3,4,3.7,3
2018-11-04,Reggio Emilia,Varese,27.397260273972602,1,23,3,5,0.000,0,0,0.0,2,2,1.0,2,0,2,0,0,0,1,2,8,5.3,11
2018-11-24,Reggio Emilia,Pistoia,27.45205479452055,1,25,5,6,0.000,0,0,0.0,3,4,0.75,1,3,4,0,0,2,2,5,13,9.4,-7
2018-12-09,Reggio Emilia,Brindisi,27.493150684931507,1,27,5,7,0.000,0,0,0.0,3,5,0.6,3,6,9,0,0,0,1,4,13,10.6,9
2018-12-15,Reggio Emilia,Trentino,27.50958904109589,1,29,8,11,0.000,0,0,0.0,0,0,0.0,3,3,6,2,1,0,3,3,16,12.7,-2
2018-12-23,Reggio Emilia,Trieste,27.53150684931507,1,18,2,8,0.000,0,0,0.0,2,4,0.5,5,2,7,0,0,1,1,2,6,3.4000000000000004,-23
2018-12-25,Reggio Emilia,Virtus Bologna,27.536986301369865,1,16,1,4,0.000,0,0,0.0,1,2,0.5,4,1,5,0,0,1,1,2,3,2.2,-5
2018-12-30,Reggio Emilia,Venezia,27.55068493150685,1,25,4,6,0.000,0,0,0.0,3,4,0.75,2,7,9,0,0,2,1,1,11,11.5,11
2019-01-06,Reggio Emilia,Pesaro,27.56986301369863,1,17,2,5,0.000,0,0,0.0,1,2,0.5,3,1,4,1,0,2,1,2,5,4.6000000000000005,0
2019-01-13,Reggio Emilia,Cremona,27.589041095890412,1,23,4,7,0.000,0,0,0.0,3,6,0.5,4,2,6,0,0,2,1,2,11,9.5,-12
2019-01-20,Reggio Emilia,Sassari,27.60821917808219,1,33,4,9,0.000,0,0,0.0,2,2,1.0,2,1,3,0,1,0,2,1,10,5.599999999999999,-10
2019-01-27,Reggio Emilia,Brescia,27.627397260273973,1,26,2,5,0.000,0,0,0.0,2,4,0.5,0,5,5,1,1,0,3,2,6,1.9000000000000004,0
2019-02-03,Reggio Emilia,Torino,27.646575342465752,1,24,3,4,0.000,0,0,0.0,2,2,1.0,1,2,3,1,1,1,0,4,8,8.499999999999998,-5
2019-02-09,Reggio Emilia,Cantù,27.663013698630138,1,27,4,6,0.000,0,0,0.0,2,3,0.667,3,3,6,0,0,1,3,4,10,6.1,-7
2019-03-03,Reggio Emilia,Varese,27.723287671232878,1,19,1,1,0.000,0,0,0.0,2,2,1.0,1,2,3,0,0,2,0,0,4,6.4,-13
2019-03-11,Reggio Emilia,Milano,27.745205479452054,1,22,4,7,0.000,0,0,0.0,1,3,0.333,4,5,9,1,3,1,0,4,9,11.999999999999998,4
2019-03-17,Reggio Emilia,Avellino,27.76164383561644,1,24,2,8,0.000,0,0,0.0,1,2,0.5,7,6,13,2,2,0,4,1,5,5.5,-9
2019-03-24,Reggio Emilia,Pistoia,27.78082191780822,1,19,3,6,0.000,0,0,0.0,8,11,0.727,4,2,6,0,0,1,2,4,14,10.3,-1
2019-03-31,Reggio Emilia,Brindisi,27.8,1,23,4,5,0.000,0,0,0.0,0,0,0.0,1,3,4,1,2,2,2,3,8,8.599999999999998,2
2019-04-07,Reggio Emilia,Trentino,27.81917808219178,1,25,7,9,0.000,0,0,0.0,0,0,0.0,2,6,8,0,0,1,2,1,14,11.999999999999998,2
2019-04-14,Reggio Emilia,Trieste,27.838356164383562,1,23,7,10,0.000,0,0,0.0,2,2,1.0,4,1,5,0,0,1,4,3,16,10.400000000000002,-3
2019-04-20,Reggio Emilia,Virtus Bologna,27.854794520547944,1,18,0,4,0.000,0,0,0.0,1,2,0.5,2,0,2,0,0,1,0,0,1,-0.09999999999999987,-21
2019-04-28,Reggio Emilia,Venezia,27.876712328767123,1,17,5,8,0.000,0,0,0.0,0,0,0.0,2,2,4,1,0,0,2,4,10,5.5,2
2019-05-05,Reggio Emilia,Pesaro,27.895890410958906,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
