date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-06,Varese,Capo d'Orlando,30.065753424657533,1,37,10,17,0.588,4,7,0.571,0,0,0.0,0,1,1,8,1,0,1,2,24,21.2,-13
2019-03-03,Pesaro,Cremona,29.638356164383563,1,35,4,12,0.333,2,8,0.25,3,3,1.0,0,5,5,1,0,0,6,1,13,2.0,-4
2019-08-22,Pesaro,Capo d'Orlando,30.10958904109589,0,35,4,11,0.364,3,7,0.429,2,2,1.0,0,5,5,3,1,0,0,3,13,10.3,10
2019-01-27,Pesaro,Brindisi,29.542465753424658,1,37,5,14,0.357,2,8,0.25,4,4,1.0,1,2,3,1,2,0,1,1,16,10.799999999999999,-2
2019-08-01,Pesaro,Trentino,30.052054794520547,1,37,3,13,0.231,2,9,0.222,0,0,0.0,0,1,1,1,3,0,2,1,8,1.6999999999999997,-13
2019-07-08,Pesaro,Varese,29.986301369863014,1,33,5,18,0.278,4,11,0.364,3,3,1.0,1,2,3,3,1,0,0,2,17,9.999999999999998,-22
2019-08-26,Pesaro,Pistoia,30.12054794520548,1,39,6,20,0.300,3,12,0.25,3,3,1.0,0,4,4,1,2,0,0,1,18,9.899999999999997,11
2018-12-28,Pesaro,Cantù,29.46027397260274,1,38,8,15,0.533,7,11,0.636,6,8,0.75,2,2,4,1,2,0,3,2,29,21.8,-9
2018-09-25,Pesaro,Milano,29.202739726027396,1,33,5,10,0.500,3,6,0.5,5,5,1.0,0,4,4,5,1,0,5,3,18,12.5,10
2019-06-10,Pesaro,Venezia,29.90958904109589,1,36,8,17,0.471,1,8,0.125,1,1,1.0,2,4,6,4,2,0,2,3,18,13.5,5
2019-01-07,Pesaro,Sassari,29.487671232876714,1,35,6,14,0.429,4,9,0.444,2,4,0.5,0,1,1,5,0,0,3,3,18,9.399999999999999,-28
2018-11-27,Pesaro,Reggio Emilia,29.375342465753423,1,30,5,11,0.455,3,8,0.375,1,2,0.5,0,4,4,2,0,0,5,1,14,5.1,-12
2019-03-26,Pesaro,Trentino,29.7013698630137,1,34,7,9,0.778,3,5,0.6,0,0,0.0,0,0,0,5,2,0,4,2,17,14.2,-6
2019-03-17,Pesaro,Cremona,29.676712328767124,1,34,7,15,0.467,3,8,0.375,2,2,1.0,1,3,4,2,1,0,2,3,19,12.100000000000001,-9
2019-08-16,Pesaro,Brindisi,30.09315068493151,1,44,10,12,0.833,3,3,1.0,10,10,1.0,0,3,3,3,0,0,3,1,33,28.200000000000003,6
2019-04-11,Pesaro,Caserta,29.745205479452054,1,37,6,10,0.600,4,6,0.667,3,3,1.0,1,3,4,4,0,0,1,2,19,16.999999999999996,23
2019-01-02,Pesaro,Pistoia,29.473972602739725,1,37,6,14,0.429,1,6,0.167,4,4,1.0,0,1,1,3,2,0,1,2,17,12.2,0
2019-01-13,Pesaro,Milano,29.504109589041096,1,36,6,12,0.500,3,7,0.429,8,8,1.0,2,2,4,2,0,0,0,1,23,20.0,19
2019-07-19,Pesaro,Capo d'Orlando,30.016438356164382,1,32,5,8,0.625,2,4,0.5,2,2,1.0,1,3,4,2,3,0,4,0,14,12.399999999999999,-13
