date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Pesaro,Pistoia,17.808219178082194,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-0.09999999999999998,-1
2018-10-14,Pesaro,Brindisi,17.827397260273973,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.10000000000000003,3
2018-10-21,Pesaro,Venezia,17.846575342465755,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-11
2018-10-28,Pesaro,Milano,17.865753424657534,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2018-11-04,Pesaro,Brescia,17.884931506849316,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2018-11-12,Pesaro,Trieste,17.90684931506849,0,3,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0,4
2018-11-19,Pesaro,Cantù,17.926027397260274,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2018-11-25,Pesaro,Virtus Bologna,17.942465753424656,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-09,Pesaro,Avellino,17.980821917808218,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-16,Pesaro,Cremona,18.0,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-23,Pesaro,Trentino,18.019178082191782,0,1,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-5
2018-12-26,Pesaro,Sassari,18.027397260273972,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,1.3,-2
2018-12-30,Pesaro,Varese,18.03835616438356,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-06,Pesaro,Reggio Emilia,18.057534246575344,0,10,1,1,0.000,0,0,0.0,0,0,0.0,4,3,7,1,0,0,0,1,2,5.7,-2
2019-01-13,Pesaro,Torino,18.076712328767123,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-20,Pesaro,Pistoia,18.095890410958905,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-26,Pesaro,Brindisi,18.112328767123287,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-03,Pesaro,Venezia,18.134246575342466,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-10,Pesaro,Milano,18.153424657534245,0,2,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,6
2019-03-03,Pesaro,Brescia,18.21095890410959,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-09,Pesaro,Trieste,18.22739726027397,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Pesaro,Cantù,18.24931506849315,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-23,Pesaro,Virtus Bologna,18.265753424657536,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-31,Pesaro,Avellino,18.28767123287671,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-07,Pesaro,Cremona,18.306849315068494,0,3,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,-3
2019-04-14,Pesaro,Trentino,18.326027397260273,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-20,Pesaro,Sassari,18.34246575342466,1,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-28,Pesaro,Varese,18.364383561643837,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-05,Pesaro,Reggio Emilia,18.383561643835616,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
