date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-04-16,Sassari,Reggio Emilia,28.030136986301372,1,27,7,13,0.000,0,0,0.0,4,6,0.667,2,4,6,1,2,0,0,3,18,15.0,3
2018-09-24,Sassari,Varese,27.471232876712328,1,17,2,5,0.000,0,0,0.0,0,0,0.0,3,5,8,0,1,0,2,4,4,2.299999999999999,7
2019-06-02,Sassari,Brindisi,28.15890410958904,1,31,9,18,0.000,0,0,0.0,3,3,1.0,6,5,11,1,1,0,5,3,21,13.200000000000003,9
2018-11-11,Sassari,Torino,27.602739726027398,1,22,5,10,0.500,1,2,0.5,4,4,1.0,1,4,5,0,1,1,0,1,15,13.199999999999998,2
2018-12-12,Sassari,Cremona,27.687671232876713,1,27,3,8,0.000,0,0,0.0,1,2,0.5,6,8,14,0,0,0,4,2,7,3.999999999999999,9
2019-08-11,Sassari,Venezia,28.350684931506848,1,25,4,9,0.000,0,0,0.0,4,6,0.667,6,1,7,2,0,1,0,4,12,11.5,-5
2019-01-01,Sassari,Pistoia,27.742465753424657,1,28,3,10,0.000,0,0,0.0,6,7,0.857,4,11,15,1,1,0,2,3,12,10.399999999999999,3
2019-05-25,Sassari,Trentino,28.136986301369863,1,28,6,11,0.000,0,0,0.0,4,4,1.0,4,6,10,0,0,2,0,4,16,15.1,-5
2018-12-06,Sassari,Virtus Bologna,27.671232876712327,1,28,7,11,0.000,0,0,0.0,2,4,0.5,5,2,7,0,1,0,0,2,16,14.6,13
2019-05-03,Sassari,Milano,28.076712328767123,1,31,8,16,0.000,0,0,0.0,1,6,0.167,10,9,19,2,0,1,0,4,17,17.199999999999996,1
2018-12-22,Sassari,Avellino,27.715068493150685,1,33,6,19,0.316,0,1,0.0,3,6,0.5,10,10,20,1,0,1,2,3,15,11.099999999999998,-9
2019-08-10,Sassari,Pesaro,28.34794520547945,1,17,6,10,0.000,0,0,0.0,3,4,0.75,3,5,8,0,0,0,1,1,15,12.199999999999998,24
2018-09-02,Sassari,Brescia,27.410958904109588,1,22,8,13,0.000,0,0,0.0,5,7,0.714,2,4,6,1,0,0,0,4,21,15.999999999999998,12
2018-10-29,Sassari,Trieste,27.567123287671233,1,25,7,8,0.000,0,0,0.0,10,13,0.769,2,6,8,3,0,1,3,5,24,21.000000000000004,7
2019-08-03,Sassari,Cantù,28.328767123287673,1,30,4,8,0.000,0,0,0.0,4,4,1.0,1,4,5,0,2,0,0,4,12,10.299999999999999,8
2019-04-20,Sassari,Reggio Emilia,28.041095890410958,1,27,8,15,0.000,0,0,0.0,1,1,1.0,1,9,10,1,1,0,2,5,17,10.799999999999997,6
2019-04-19,Sassari,Varese,28.03835616438356,1,25,5,12,0.000,0,0,0.0,2,2,1.0,3,4,7,0,0,0,2,5,12,4.9,-14
2019-05-27,Sassari,Brindisi,28.14246575342466,1,24,4,11,0.364,0,1,0.0,0,4,0.0,2,5,7,0,0,0,3,4,8,-1.4,-1
2019-08-15,Sassari,Torino,28.361643835616437,1,22,2,3,0.000,0,0,0.0,3,4,0.75,1,6,7,0,0,1,1,3,7,6.3,-14
2019-04-08,Sassari,Venezia,28.008219178082193,1,21,2,5,0.000,0,0,0.0,3,6,0.5,0,0,0,1,0,0,1,2,7,2.0,-14
2019-06-28,Sassari,Pistoia,28.23013698630137,1,33,7,15,0.467,0,1,0.0,1,2,0.5,3,5,8,2,2,0,0,4,15,12.3,11
2018-12-31,Sassari,Trentino,27.73972602739726,1,25,4,12,0.000,0,0,0.0,3,4,0.75,1,5,6,3,0,0,2,5,11,4.100000000000001,12
2019-07-27,Sassari,Virtus Bologna,28.30958904109589,1,33,9,13,0.000,0,0,0.0,4,5,0.8,4,9,13,1,0,0,2,3,22,19.1,17
2018-10-01,Sassari,Milano,27.49041095890411,1,27,11,16,0.000,0,0,0.0,5,7,0.714,7,4,11,0,3,0,1,1,27,27.099999999999998,12
2019-02-22,Sassari,Avellino,27.884931506849316,1,24,10,11,0.000,0,0,0.0,3,3,1.0,3,2,5,1,0,0,1,3,23,20.5,22
2018-12-09,Sassari,Pesaro,27.67945205479452,1,25,4,8,0.000,0,0,0.0,2,4,0.5,5,8,13,1,2,1,0,3,10,13.299999999999997,8
2019-04-20,Sassari,Brescia,28.041095890410958,1,26,4,12,0.000,0,0,0.0,0,3,0.0,4,2,6,1,0,0,1,4,8,1.5000000000000004,-6
2019-03-02,Sassari,Trieste,27.906849315068495,1,18,3,6,0.000,0,0,0.0,3,6,0.5,2,5,7,1,1,0,1,2,9,7.599999999999998,17
2019-01-18,Sassari,Cantù,27.78904109589041,1,30,7,13,0.000,0,0,0.0,5,11,0.455,5,8,13,2,0,0,2,3,19,14.399999999999999,6
