date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Trieste,Virtus Bologna,25.15068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-13,Trieste,Torino,25.167123287671235,0,11,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,0,3,2.2,-7
2018-10-21,Trieste,Brescia,25.18904109589041,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-28,Trieste,Varese,25.208219178082192,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-04,Trieste,Pistoia,25.22739726027397,0,16,0,3,0.000,0,2,0.0,1,2,0.5,0,3,3,0,0,0,1,2,1,-2.3999999999999995,-4
2018-11-12,Trieste,Pesaro,25.24931506849315,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2018-11-17,Trieste,Trentino,25.263013698630136,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-25,Trieste,Cantù,25.284931506849315,0,4,1,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,1.0,-3
2018-12-09,Trieste,Cremona,25.323287671232876,0,2,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,0
2018-12-16,Trieste,Avellino,25.34246575342466,0,5,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,2,1.0,4
2018-12-23,Trieste,Reggio Emilia,25.361643835616437,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-26,Trieste,Venezia,25.36986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-12-30,Trieste,Brindisi,25.38082191780822,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-06,Trieste,Sassari,25.4,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3
2019-01-13,Trieste,Milano,25.41917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-20,Trieste,Virtus Bologna,25.438356164383563,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-01-27,Trieste,Torino,25.457534246575342,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-03,Trieste,Brescia,25.476712328767125,0,8,0,0,0.000,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,1,0,0.6000000000000001,-9
2019-02-10,Trieste,Varese,25.495890410958904,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,3
2019-03-03,Trieste,Pistoia,25.553424657534247,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-09,Trieste,Pesaro,25.56986301369863,0,4,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-1.4,9
2019-03-17,Trieste,Trentino,25.59178082191781,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-24,Trieste,Cantù,25.61095890410959,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-6
2019-03-31,Trieste,Cremona,25.63013698630137,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-2
2019-04-09,Trieste,Avellino,25.654794520547945,1,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-04-14,Trieste,Reggio Emilia,25.66849315068493,0,5,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,-3
2019-04-20,Trieste,Venezia,25.684931506849317,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-28,Trieste,Brindisi,25.706849315068492,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-05,Trieste,Sassari,25.726027397260275,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
