date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-10,Torino,Venezia,25.802739726027397,1,35,4,12,0.333,1,3,0.333,4,4,1.0,0,5,5,4,3,0,2,4,13,9.9,-7
2019-07-29,Torino,Trieste,26.18904109589041,1,26,2,7,0.286,0,3,0.0,1,2,0.5,2,2,4,1,2,0,2,4,5,1.6,7
2018-09-06,Torino,Reggio Emilia,25.295890410958904,1,31,4,7,0.571,2,2,1.0,3,3,1.0,0,4,4,3,1,0,3,1,13,10.599999999999998,9
2018-11-11,Torino,Sassari,25.476712328767125,1,34,7,8,0.875,6,7,0.857,2,3,0.667,0,6,6,2,0,0,2,2,22,19.200000000000003,-18
2018-12-11,Torino,Milano,25.55890410958904,1,30,2,8,0.250,2,6,0.333,0,0,0.0,0,5,5,4,0,0,0,2,6,4.7,-3
2019-02-06,Torino,Trieste,25.715068493150685,0,20,1,6,0.167,1,2,0.5,4,4,1.0,0,1,1,0,0,0,0,3,7,2.3000000000000007,-8
2018-10-24,Torino,Reggio Emilia,25.427397260273974,1,27,4,9,0.444,3,6,0.5,0,0,0.0,0,2,2,4,0,0,2,1,11,7.299999999999999,11
2019-08-15,Torino,Sassari,26.235616438356164,1,31,2,9,0.222,1,4,0.25,1,3,0.333,0,3,3,4,1,0,1,0,6,3.3999999999999995,6
2019-04-24,Torino,Milano,25.926027397260274,1,27,7,14,0.500,2,6,0.333,2,2,1.0,0,1,1,2,0,0,2,3,18,9.500000000000004,1
2019-04-10,Torino,Brindisi,25.887671232876713,1,32,2,6,0.333,1,2,0.5,0,0,0.0,0,1,1,0,2,0,2,2,5,1.1000000000000005,10
2019-06-08,Torino,Virtus Bologna,26.04931506849315,1,30,3,7,0.429,0,3,0.0,4,6,0.667,1,1,2,1,2,0,0,1,10,8.799999999999999,-12
2019-01-18,Torino,Brescia,25.663013698630138,1,30,6,11,0.545,1,5,0.2,0,0,0.0,2,2,4,4,5,1,2,4,13,14.599999999999998,-3
2018-09-11,Torino,Trentino,25.30958904109589,1,33,4,11,0.364,2,5,0.4,0,0,0.0,0,1,1,3,1,0,2,1,10,4.8999999999999995,4
2019-02-06,Torino,Varese,25.715068493150685,1,33,3,6,0.500,2,3,0.667,3,5,0.6,0,1,1,3,0,0,1,3,11,7.399999999999999,11
2019-03-03,Torino,Pistoia,25.78356164383562,1,33,2,9,0.222,0,2,0.0,1,2,0.5,1,3,4,1,3,0,1,2,5,2.5999999999999996,-3
2018-10-19,Torino,Avellino,25.413698630136988,1,28,4,11,0.364,2,4,0.5,2,4,0.5,0,1,1,1,0,0,2,2,12,3.3000000000000007,-28
2019-07-27,Torino,Cremona,26.183561643835617,1,34,6,10,0.600,2,4,0.5,2,3,0.667,1,1,2,0,2,0,2,0,16,11.999999999999998,0
2019-04-05,Torino,Cantù,25.873972602739727,1,33,5,12,0.417,1,6,0.167,1,2,0.5,1,3,4,1,1,2,2,2,12,7.1,-9
2019-07-28,Torino,Pesaro,26.186301369863013,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,4,4,2,0,0,0,0,0,2.5999999999999996,-1
