date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-28,Virtus Bologna,Trieste,28.27123287671233,0,12,0,2,0.000,0,1,0.0,2,4,0.5,0,1,1,1,0,0,0,0,2,0.8,-2
2019-06-26,Virtus Bologna,Milano,28.93150684931507,0,12,2,4,0.500,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,3,5,2.8,0
2019-05-13,Virtus Bologna,Avellino,28.81095890410959,0,13,0,1,0.000,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,0.2,7
2019-07-15,Virtus Bologna,Cremona,28.983561643835618,0,14,1,3,0.000,0,0,0.0,1,1,1.0,1,0,1,0,0,0,0,1,3,1.6,-10
2019-06-29,Virtus Bologna,Venezia,28.93972602739726,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,1.0,-9
2019-03-11,Virtus Bologna,Cantù,28.638356164383563,0,19,1,5,0.200,0,3,0.0,0,0,0.0,1,2,3,1,0,0,0,0,2,0.8999999999999998,11
2018-11-03,Virtus Bologna,Torino,28.28767123287671,0,6,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,2,-0.20000000000000018,-2
2019-05-24,Virtus Bologna,Pesaro,28.84109589041096,0,12,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-0.09999999999999998,3
2018-12-06,Virtus Bologna,Sassari,28.378082191780823,0,12,1,4,0.250,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-1.5,-9
2019-02-09,Virtus Bologna,Pistoia,28.556164383561644,0,21,1,5,0.200,0,3,0.0,6,6,1.0,1,0,1,1,0,0,0,3,8,5.1000000000000005,16
2019-02-09,Virtus Bologna,Brindisi,28.556164383561644,0,31,3,5,0.600,1,1,1.0,2,2,1.0,0,4,4,0,2,0,1,2,9,8.099999999999998,0
2019-07-24,Virtus Bologna,Reggio Emilia,29.008219178082193,1,28,2,4,0.500,2,3,0.667,1,4,0.25,1,4,5,2,0,0,1,1,7,5.699999999999999,14
2019-07-26,Virtus Bologna,Trentino,29.013698630136986,1,34,3,5,0.600,2,3,0.667,1,2,0.5,0,5,5,2,0,0,1,2,9,7.399999999999999,-2
2019-05-16,Virtus Bologna,Brescia,28.81917808219178,0,15,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,0,1,0,0,3,4,2.7000000000000006,4
2018-11-21,Virtus Bologna,Varese,28.336986301369862,0,12,2,4,0.500,2,2,1.0,0,0,0.0,0,2,2,1,0,0,1,1,6,3.8999999999999995,10
2019-03-10,Virtus Bologna,Cremona,28.635616438356166,0,7,0,1,0.000,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,4,1,-1.7000000000000002,-9
2019-06-12,Virtus Bologna,Venezia,28.893150684931506,0,20,2,3,0.000,0,0,0.0,1,1,1.0,1,2,3,0,0,0,0,3,5,3.8,6
2018-09-02,Virtus Bologna,Cantù,28.117808219178084,0,15,1,4,0.250,1,4,0.25,0,0,0.0,0,0,0,0,1,0,0,0,3,1.6,-3
2019-06-08,Virtus Bologna,Torino,28.88219178082192,0,13,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,2,3,1.5000000000000002,6
2019-02-24,Virtus Bologna,Pesaro,28.5972602739726,0,11,1,1,0.000,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,2,4,3.6000000000000005,3
2019-07-27,Virtus Bologna,Sassari,29.016438356164382,0,20,0,1,0.000,0,1,0.0,3,4,0.75,0,1,1,0,0,0,1,4,3,-0.40000000000000036,-19
2018-12-12,Virtus Bologna,Pistoia,28.394520547945206,1,19,1,4,0.250,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,0.9,-1
2018-12-10,Virtus Bologna,Brindisi,28.389041095890413,0,19,1,6,0.167,0,3,0.0,0,0,0.0,0,0,0,0,1,0,1,3,2,-2.9999999999999996,-13
2018-09-30,Virtus Bologna,Reggio Emilia,28.194520547945206,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,1.2,4
2019-06-17,Virtus Bologna,Trentino,28.906849315068495,0,16,0,2,0.000,0,1,0.0,5,6,0.833,0,1,1,2,0,0,1,2,5,3.1000000000000005,0
2018-09-05,Virtus Bologna,Brescia,28.126027397260273,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,-3
2019-03-02,Virtus Bologna,Varese,28.613698630136987,0,20,1,2,0.500,0,1,0.0,1,2,0.5,0,3,3,1,0,1,1,3,3,1.7000000000000002,10
2019-01-08,Virtus Bologna,Avellino,28.46849315068493,0,22,3,4,0.750,2,2,1.0,3,5,0.6,0,0,0,3,1,0,2,0,11,9.699999999999998,7
2019-08-16,Cantù,Sassari,29.07123287671233,0,14,1,3,0.333,1,1,1.0,2,2,1.0,0,0,0,2,0,0,0,3,5,3.500000000000001,-5
