date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-07-19,Trentino,Brescia,28.44931506849315,0,28,5,9,0.556,1,2,0.5,0,0,0.0,1,1,2,4,1,0,2,2,11,8.7,8
2018-09-04,Trentino,Trieste,27.578082191780823,1,31,3,8,0.375,0,1,0.0,1,2,0.5,0,3,3,5,0,0,2,4,7,3.0,-13
2019-05-25,Trentino,Sassari,28.2986301369863,1,30,1,6,0.167,0,1,0.0,0,2,0.0,0,5,5,3,1,0,1,2,2,0.19999999999999996,-1
2018-09-10,Trentino,Torino,27.594520547945205,1,32,4,8,0.500,0,2,0.0,0,0,0.0,0,3,3,7,6,0,1,3,8,13.600000000000001,7
2018-10-14,Trentino,Reggio Emilia,27.687671232876713,1,28,1,6,0.167,0,2,0.0,0,0,0.0,0,1,1,5,1,0,1,4,2,0.4000000000000008,17
2018-10-24,Trentino,Pesaro,27.715068493150685,1,32,7,10,0.000,0,0,0.0,1,4,0.25,1,9,10,7,4,0,3,3,15,17.7,19
2018-12-30,Trentino,Pistoia,27.898630136986302,1,34,9,14,0.643,0,1,0.0,4,7,0.571,1,4,5,7,3,0,0,2,22,23.599999999999998,15
2019-07-26,Trentino,Virtus Bologna,28.46849315068493,1,31,4,11,0.364,1,3,0.333,0,0,0.0,0,2,2,3,3,1,0,4,9,7.699999999999999,5
2019-04-20,Trentino,Milano,28.202739726027396,1,29,5,12,0.417,0,3,0.0,0,2,0.0,1,1,2,9,2,0,1,3,10,9.900000000000002,-7
2019-07-01,Trentino,Brindisi,28.4,1,27,5,8,0.000,0,0,0.0,6,7,0.857,1,3,4,8,2,0,5,4,16,14.599999999999998,1
2019-03-13,Trentino,Cremona,28.0986301369863,1,29,7,7,1.000,2,2,1.0,2,2,1.0,2,2,4,3,1,0,2,3,18,17.8,11
2019-05-03,Trentino,Cantù,28.23835616438356,0,26,3,7,0.429,2,2,1.0,0,0,0.0,3,3,6,4,1,0,3,4,8,6.499999999999998,-3
2019-07-18,Trentino,Varese,28.446575342465753,1,29,4,7,0.571,1,2,0.5,2,2,1.0,1,5,6,3,0,0,2,1,11,9.6,5
2019-04-10,Trentino,Venezia,28.175342465753424,1,38,8,15,0.533,3,3,1.0,3,4,0.75,3,9,12,4,2,0,1,3,22,21.7,14
2019-04-27,Trentino,Avellino,28.221917808219178,1,33,8,10,0.800,1,2,0.5,2,2,1.0,0,1,1,4,3,0,1,0,19,20.3,22
2018-09-13,Trentino,Brescia,27.602739726027398,1,28,3,10,0.300,0,3,0.0,6,7,0.857,1,2,3,3,3,0,4,4,12,6.599999999999998,5
2018-12-19,Trentino,Trieste,27.86849315068493,1,30,5,8,0.625,2,4,0.5,0,2,0.0,0,7,7,4,2,0,3,2,12,10.7,-6
2018-12-31,Trentino,Sassari,27.9013698630137,1,26,1,5,0.000,0,0,0.0,0,0,0.0,1,0,1,3,2,0,5,4,2,-2.900000000000001,-22
2018-09-11,Trentino,Torino,27.5972602739726,1,28,8,11,0.727,1,2,0.5,2,3,0.667,2,3,5,7,1,2,0,1,19,23.299999999999997,6
2018-10-13,Trentino,Reggio Emilia,27.684931506849317,1,28,4,8,0.000,0,0,0.0,0,0,0.0,1,6,7,2,3,0,0,3,8,9.7,-3
2018-11-15,Trentino,Pesaro,27.775342465753425,1,30,7,15,0.467,1,2,0.5,4,6,0.667,0,4,4,2,1,0,1,2,19,12.299999999999999,19
2019-06-06,Trentino,Pistoia,28.33150684931507,1,20,5,7,0.714,0,1,0.0,0,0,0.0,1,4,5,6,1,0,2,5,10,10.2,-1
2019-06-17,Trentino,Virtus Bologna,28.361643835616437,1,29,10,15,0.667,2,3,0.667,0,2,0.0,1,5,6,3,4,0,2,3,22,19.8,6
2019-05-02,Trentino,Milano,28.235616438356164,1,36,7,12,0.583,1,5,0.2,4,4,1.0,2,6,8,4,3,0,3,2,19,18.6,1
2018-09-02,Trentino,Brindisi,27.572602739726026,1,22,2,6,0.000,0,0,0.0,0,0,0.0,3,4,7,2,1,1,1,4,4,4.4,4
2018-09-25,Trentino,Brindisi,27.635616438356166,1,27,3,7,0.429,0,1,0.0,3,5,0.6,1,4,5,2,0,0,3,5,9,2.8000000000000007,-2
2019-06-19,Trentino,Cremona,28.367123287671234,1,32,4,8,0.500,1,4,0.25,4,4,1.0,1,2,3,9,3,0,1,3,13,17.4,7
2018-11-09,Trentino,Venezia,27.758904109589043,1,30,0,4,0.000,0,0,0.0,0,0,0.0,2,5,7,7,1,0,2,2,0,3.2,8
2018-09-28,Trentino,Capo d'Orlando,27.643835616438356,1,23,3,5,0.600,0,2,0.0,4,4,1.0,1,3,4,7,1,0,0,0,10,15.2,14
2018-10-16,Trentino,Reggio Emilia,27.693150684931506,1,27,5,8,0.625,0,2,0.0,0,0,0.0,0,1,1,4,3,0,3,3,10,8.3,-13
2019-01-10,Trentino,Caserta,27.92876712328767,1,24,0,8,0.000,0,0,0.0,2,2,1.0,2,2,4,1,1,0,1,4,2,-2.5,-8
2019-08-20,Trentino,Torino,28.536986301369865,1,32,1,9,0.111,0,2,0.0,1,2,0.5,1,2,3,4,2,0,2,2,3,0.0,-7
2018-10-31,Trentino,Pistoia,27.734246575342468,1,25,4,7,0.571,1,1,1.0,2,2,1.0,2,4,6,3,4,0,1,1,11,14.999999999999998,-1
2019-02-09,Trentino,Pesaro,28.01095890410959,1,33,4,6,0.667,1,1,1.0,5,8,0.625,2,5,7,5,4,1,3,2,14,17.5,6
2019-07-09,Trentino,Milano,28.421917808219177,1,28,4,9,0.444,0,3,0.0,0,0,0.0,0,0,0,2,2,0,0,2,8,5.8999999999999995,-16
2019-07-12,Trentino,Sassari,28.43013698630137,1,31,4,5,0.800,1,1,1.0,3,4,0.75,1,4,5,2,2,0,1,2,12,13.199999999999998,-9
2018-11-19,Trentino,Varese,27.786301369863015,1,24,1,4,0.000,0,0,0.0,0,0,0.0,2,1,3,2,2,0,2,2,2,1.8999999999999995,2
2019-04-09,Trentino,Brescia,28.172602739726027,1,23,5,8,0.625,0,1,0.0,1,1,1.0,0,2,2,6,0,1,2,3,11,9.7,8
2018-12-28,Trentino,Cantù,27.893150684931506,1,29,3,8,0.375,0,2,0.0,3,4,0.75,1,5,6,3,0,0,3,4,9,3.9000000000000004,-10
2019-01-07,Trentino,Avellino,27.92054794520548,1,32,6,8,0.750,1,1,1.0,5,6,0.833,1,2,3,5,2,0,2,4,18,17.599999999999994,-7
2019-07-04,Trentino,Brindisi,28.40821917808219,1,27,5,8,0.625,3,3,1.0,0,0,0.0,0,2,2,7,2,0,2,0,13,14.899999999999999,28
2019-07-05,Trentino,Cremona,28.410958904109588,1,29,4,8,0.500,0,2,0.0,2,2,1.0,1,5,6,5,2,0,0,2,10,12.899999999999999,22
2019-05-10,Trentino,Venezia,28.257534246575343,1,29,7,11,0.636,1,1,1.0,3,3,1.0,2,1,3,3,4,1,3,1,18,18.200000000000006,21
2019-02-26,Trentino,Capo d'Orlando,28.057534246575344,1,20,4,5,0.800,1,1,1.0,0,0,0.0,1,3,4,1,2,0,2,5,9,7.399999999999999,8
2019-02-01,Trentino,Reggio Emilia,27.98904109589041,1,23,5,8,0.000,0,0,0.0,0,0,0.0,0,4,4,2,0,0,4,5,10,3.0,3
2019-05-15,Trentino,Caserta,28.27123287671233,1,25,4,9,0.444,1,1,1.0,0,2,0.0,1,3,4,8,1,0,1,4,9,9.1,1
2018-09-18,Trentino,Torino,27.616438356164384,1,26,3,10,0.300,0,3,0.0,0,0,0.0,2,4,6,7,3,0,2,4,6,7.1,-3
2019-03-01,Trentino,Pistoia,28.065753424657533,1,25,6,8,0.000,0,0,0.0,3,4,0.75,0,3,3,5,2,0,2,2,15,14.999999999999996,7
2019-03-26,Trentino,Pesaro,28.134246575342466,1,28,7,13,0.538,1,4,0.25,0,0,0.0,0,3,3,7,1,0,1,2,15,13.7,5
2019-05-28,Trentino,Milano,28.306849315068494,1,31,5,7,0.714,1,3,0.333,1,2,0.5,0,8,8,8,6,0,4,2,12,17.900000000000002,28
2018-09-17,Trentino,Sassari,27.613698630136987,1,31,3,14,0.214,0,2,0.0,1,2,0.5,2,3,5,3,1,0,1,2,7,1.5999999999999996,-8
2019-05-23,Trentino,Varese,28.293150684931508,1,32,6,15,0.400,0,3,0.0,4,6,0.667,1,5,6,10,3,0,2,2,16,16.499999999999996,7
2018-10-11,Trentino,Brescia,27.67945205479452,1,28,5,10,0.500,1,2,0.5,0,0,0.0,1,2,3,4,4,1,2,2,11,12.0,24
2019-02-10,Trentino,Cantù,28.013698630136986,1,23,1,2,0.500,1,1,1.0,6,6,1.0,0,3,3,4,0,0,1,4,9,9.1,14
2019-04-16,Trentino,Avellino,28.19178082191781,1,27,3,7,0.429,1,1,1.0,2,2,1.0,0,2,2,4,1,0,0,2,9,8.899999999999999,-2
