date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-12,Cremona,Trentino,28.835616438356166,1,38,6,12,0.500,2,5,0.4,6,7,0.857,0,3,3,2,1,1,4,3,20,12.399999999999999,9
2019-04-09,Cremona,Avellino,28.493150684931507,1,28,7,13,0.538,1,4,0.25,8,8,1.0,1,2,3,3,1,2,2,2,23,19.7,17
2019-01-09,Cremona,Cantù,28.246575342465754,1,33,9,15,0.600,1,5,0.2,2,2,1.0,1,6,7,1,1,0,1,3,21,16.1,-14
2019-07-15,Cremona,Virtus Bologna,28.758904109589043,1,34,5,14,0.357,1,4,0.25,2,5,0.4,2,3,5,1,0,0,0,3,13,5.800000000000001,24
2018-12-12,Cremona,Sassari,28.16986301369863,1,36,11,23,0.478,1,5,0.2,1,1,1.0,1,1,2,1,3,0,2,2,24,14.2,6
2019-06-11,Cremona,Pistoia,28.665753424657535,1,19,2,7,0.286,0,1,0.0,1,2,0.5,1,4,5,2,0,0,1,3,5,1.6,7
2018-11-27,Cremona,Varese,28.12876712328767,1,33,8,12,0.667,6,8,0.75,0,0,0.0,1,2,3,1,0,1,5,0,22,14.5,-7
2018-12-09,Cremona,Milano,28.161643835616438,1,37,9,16,0.563,2,5,0.4,1,1,1.0,2,2,4,1,1,0,2,2,21,14.3,-1
2019-03-31,Cremona,Trieste,28.46849315068493,1,34,8,13,0.615,1,5,0.2,7,9,0.778,1,2,3,3,0,1,2,1,24,19.000000000000004,8
2018-12-08,Cremona,Pesaro,28.15890410958904,1,29,8,14,0.571,4,7,0.571,3,4,0.75,1,2,3,2,1,0,5,3,23,13.5,-8
2018-12-20,Cremona,Brescia,28.19178082191781,1,34,6,12,0.500,1,4,0.25,5,8,0.625,1,3,4,6,0,0,4,5,18,10.600000000000001,-3
2019-06-30,Cremona,Brindisi,28.71780821917808,1,32,4,12,0.333,0,3,0.0,0,0,0.0,2,4,6,2,2,0,2,3,8,4.000000000000001,8
2018-11-05,Cremona,Cantù,28.068493150684933,0,29,4,12,0.333,1,3,0.333,8,8,1.0,1,2,3,4,2,1,1,1,17,15.600000000000001,0
2019-03-10,Cremona,Virtus Bologna,28.410958904109588,1,33,4,8,0.500,1,2,0.5,2,2,1.0,0,4,4,3,1,1,4,2,11,7.1999999999999975,22
2018-12-27,Cremona,Pistoia,28.21095890410959,1,30,10,15,0.667,3,6,0.5,0,0,0.0,0,1,1,0,1,0,2,3,23,14.600000000000001,4
2018-12-10,Cremona,Varese,28.164383561643834,0,32,6,11,0.545,1,4,0.25,5,7,0.714,1,4,5,2,0,0,3,3,18,10.999999999999996,-22
2019-03-31,Cremona,Milano,28.46849315068493,1,30,8,16,0.500,1,6,0.167,7,10,0.7,1,2,3,0,1,0,1,2,24,15.3,3
2018-09-30,Cremona,Trieste,27.96986301369863,1,33,9,12,0.750,1,4,0.25,3,4,0.75,0,5,5,1,0,0,4,3,22,13.800000000000004,-11
2018-12-28,Cremona,Pesaro,28.213698630136985,1,28,5,13,0.385,2,5,0.4,0,0,0.0,0,4,4,1,1,1,3,3,12,4.3,24
2018-12-02,Cremona,Brescia,28.14246575342466,1,31,8,13,0.615,2,4,0.5,2,3,0.667,2,5,7,2,0,0,3,3,20,13.8,-6
2019-04-13,Cremona,Brindisi,28.504109589041096,1,31,7,15,0.467,4,9,0.444,3,5,0.6,2,3,5,2,0,0,1,4,21,13.6,5
2019-07-27,Cremona,Torino,28.791780821917808,1,34,4,10,0.400,2,7,0.286,0,0,0.0,1,2,3,4,1,0,2,2,10,6.899999999999999,8
2018-12-19,Cremona,Venezia,28.18904109589041,1,34,4,13,0.308,0,4,0.0,0,0,0.0,0,7,7,5,1,0,0,4,8,5.5,11
2019-01-28,Cremona,Reggio Emilia,28.2986301369863,1,17,3,7,0.429,1,2,0.5,2,2,1.0,0,2,2,0,0,0,0,2,9,5.1,-7
