date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-23,Brescia,Pistoia,28.106849315068494,1,22,2,7,0.286,0,1,0.0,0,0,0.0,0,0,0,0,2,0,0,1,4,1.5000000000000004,-3
2019-06-22,Brescia,Cantù,28.104109589041094,0,15,3,8,0.375,0,3,0.0,2,2,1.0,0,1,1,1,1,0,3,0,8,2.5999999999999996,6
2018-12-20,Brescia,Cremona,27.6,1,36,5,14,0.357,2,5,0.4,11,13,0.846,0,2,2,0,3,1,3,2,23,14.899999999999999,7
2018-10-13,Brescia,Milano,27.413698630136988,1,31,6,13,0.462,1,3,0.333,8,11,0.727,1,3,4,1,0,0,2,3,21,12.199999999999996,-13
2018-09-02,Brescia,Sassari,27.301369863013697,1,33,4,13,0.308,1,3,0.333,6,8,0.75,1,1,2,1,1,0,0,3,15,8.200000000000003,-20
2019-05-16,Brescia,Virtus Bologna,28.002739726027396,1,24,5,9,0.556,0,2,0.0,6,9,0.667,1,4,5,5,0,0,5,5,16,8.899999999999999,-1
2019-06-07,Brescia,Venezia,28.063013698630137,1,37,7,14,0.500,0,1,0.0,3,8,0.375,2,3,5,7,4,0,5,4,17,12.600000000000001,2
2019-04-07,Brescia,Varese,27.895890410958906,1,35,5,11,0.455,0,4,0.0,2,6,0.333,1,8,9,3,2,0,4,2,12,7.1,7
2018-12-11,Brescia,Reggio Emilia,27.575342465753426,0,27,3,8,0.375,1,3,0.333,5,6,0.833,1,1,2,6,2,1,3,2,12,11.299999999999997,11
2019-03-11,Brescia,Trieste,27.82191780821918,1,29,5,13,0.385,3,6,0.5,6,10,0.6,1,4,5,0,0,0,1,2,19,10.399999999999999,-9
2018-12-20,Brescia,Avellino,27.6,1,20,5,10,0.500,2,5,0.4,6,8,0.75,1,2,3,1,1,0,2,5,18,11.199999999999998,-5
2018-12-06,Brescia,Pesaro,27.56164383561644,1,25,5,14,0.357,2,4,0.5,4,4,1.0,0,1,1,1,0,0,0,0,16,9.200000000000001,4
2018-09-13,Brescia,Trentino,27.33150684931507,1,26,1,6,0.167,0,3,0.0,4,4,1.0,0,2,2,2,2,0,3,3,6,2.000000000000001,-11
2019-04-18,Brescia,Brindisi,27.926027397260274,1,34,4,14,0.286,1,7,0.143,6,6,1.0,2,3,5,2,0,0,3,1,15,7.100000000000003,5
2019-01-18,Brescia,Torino,27.67945205479452,1,32,3,12,0.250,2,6,0.333,6,6,1.0,3,1,4,2,4,0,5,2,14,8.8,-5
2019-01-21,Brescia,Pistoia,27.687671232876713,1,30,6,17,0.353,2,7,0.286,0,0,0.0,0,1,1,3,1,0,3,1,14,4.499999999999999,3
2019-05-17,Brescia,Milano,28.005479452054796,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-20,Brescia,Sassari,27.93150684931507,0,9,1,4,0.250,0,1,0.0,2,2,1.0,0,3,3,2,0,0,0,0,4,3.9000000000000004,-4
2019-01-04,Brescia,Venezia,27.64109589041096,0,18,4,9,0.444,3,3,1.0,3,3,1.0,0,0,0,1,1,0,0,1,14,10.6,-6
