date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-11-17,Trieste,Trentino,29.164383561643834,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,3,1,0,-2.8,-4
2018-11-25,Trieste,Cantù,29.186301369863013,0,21,2,4,0.500,0,1,0.0,0,0,0.0,2,1,3,3,0,0,1,1,4,4.399999999999999,5
2018-12-09,Trieste,Cremona,29.224657534246575,0,20,2,4,0.500,1,2,0.5,1,2,0.5,3,8,11,2,1,1,1,3,6,9.0,-3
2018-12-16,Trieste,Avellino,29.243835616438357,0,20,1,6,0.167,0,1,0.0,0,0,0.0,1,9,10,1,3,1,2,0,2,4.000000000000001,19
2018-12-23,Trieste,Reggio Emilia,29.263013698630136,0,16,0,0,0.000,0,0,0.0,0,0,0.0,4,5,9,2,0,2,1,2,0,5.3,-7
2018-12-26,Trieste,Venezia,29.27123287671233,0,16,0,1,0.000,0,0,0.0,2,2,1.0,1,3,4,0,0,1,1,3,2,1.3999999999999995,8
2018-12-30,Trieste,Brindisi,29.28219178082192,0,20,1,4,0.000,0,0,0.0,0,0,0.0,2,3,5,1,1,1,1,1,2,2.9,-9
2019-01-06,Trieste,Sassari,29.301369863013697,0,12,1,1,1.000,1,1,1.0,0,0,0.0,0,3,3,0,0,1,2,1,3,1.9,1
2019-01-13,Trieste,Milano,29.32054794520548,0,17,2,2,0.000,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,4,4,4.4,1
2019-01-20,Trieste,Virtus Bologna,29.339726027397262,0,22,0,4,0.000,0,2,0.0,0,0,0.0,1,2,3,1,0,1,3,2,0,-3.8999999999999995,-1
2019-01-27,Trieste,Torino,29.35890410958904,1,18,1,2,0.000,0,0,0.0,0,0,0.0,0,1,1,3,1,1,1,0,2,4.1,-3
2019-02-03,Trieste,Brescia,29.378082191780823,1,11,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,2,0,1,5,1,-0.3999999999999999,20
2019-02-10,Trieste,Varese,29.397260273972602,1,10,1,5,0.200,0,2,0.0,0,0,0.0,1,1,2,1,0,0,1,1,2,-0.8000000000000002,-16
2019-03-03,Trieste,Pistoia,29.454794520547946,1,17,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,2,2,0,2,3,2,1.3999999999999995,1
2019-03-09,Trieste,Pesaro,29.471232876712328,1,16,0,1,0.000,0,1,0.0,0,0,0.0,0,5,5,3,0,3,3,1,0,1.5999999999999988,0
2019-03-17,Trieste,Trentino,29.493150684931507,1,22,3,5,0.000,0,0,0.0,0,0,0.0,0,3,3,0,0,0,2,2,6,1.7999999999999998,-11
2019-03-24,Trieste,Cantù,29.51232876712329,0,19,1,4,0.250,0,2,0.0,0,0,0.0,0,4,4,2,0,1,0,2,2,2.1000000000000005,17
2019-03-31,Trieste,Cremona,29.53150684931507,0,12,3,3,1.000,1,1,1.0,2,4,0.5,0,1,1,0,1,0,4,1,9,4.199999999999999,3
2019-04-09,Trieste,Avellino,29.556164383561644,0,33,5,10,0.500,0,2,0.0,3,3,1.0,4,3,7,5,2,1,1,4,13,15.3,2
2019-04-14,Trieste,Reggio Emilia,29.56986301369863,1,19,4,6,0.667,0,1,0.0,1,2,0.5,1,3,4,3,1,1,0,0,9,11.399999999999999,19
2019-04-20,Trieste,Venezia,29.586301369863016,1,21,4,6,0.667,0,1,0.0,1,2,0.5,1,6,7,2,2,0,1,1,9,10.5,15
2019-04-28,Trieste,Brindisi,29.60821917808219,1,28,4,10,0.400,2,6,0.333,0,0,0.0,0,7,7,2,1,0,3,2,10,5.299999999999999,-2
2019-05-05,Trieste,Sassari,29.627397260273973,1,27,3,7,0.429,0,1,0.0,2,2,1.0,3,2,5,2,3,0,1,2,8,9.6,-8
