date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-12,Cremona,Trentino,26.243835616438357,1,22,3,10,0.300,1,6,0.167,0,0,0.0,1,2,3,0,1,0,1,1,7,2.099999999999999,-5
2019-04-09,Cremona,Avellino,25.9013698630137,1,20,2,9,0.222,0,4,0.0,0,0,0.0,0,1,1,1,0,0,0,1,4,-0.9,-22
2019-01-09,Cremona,Cantù,25.654794520547945,1,19,2,9,0.222,1,3,0.333,2,3,0.667,0,2,2,1,0,0,2,0,7,0.40000000000000036,-10
2019-07-15,Cremona,Virtus Bologna,26.167123287671235,0,14,4,9,0.444,1,5,0.2,0,0,0.0,2,0,2,0,0,0,1,2,9,3.8999999999999995,4
2018-12-12,Cremona,Sassari,25.578082191780823,0,13,2,7,0.286,1,5,0.2,2,2,1.0,0,1,1,0,0,0,1,1,7,1.8000000000000003,3
2019-06-11,Cremona,Pistoia,26.073972602739726,0,22,4,10,0.400,0,1,0.0,2,4,0.5,2,3,5,3,1,0,1,1,10,7.799999999999999,5
2018-11-27,Cremona,Varese,25.536986301369865,0,24,7,13,0.538,3,9,0.333,4,4,1.0,0,3,3,3,1,1,1,2,21,17.6,8
2018-12-09,Cremona,Milano,25.56986301369863,0,16,5,10,0.500,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,10,3.2,3
2019-03-31,Cremona,Trieste,25.876712328767123,0,11,2,7,0.286,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,0.5000000000000003,4
2018-12-08,Cremona,Pesaro,25.567123287671233,0,25,10,16,0.625,3,6,0.5,1,1,1.0,1,2,3,3,1,0,0,2,24,20.400000000000002,8
2018-12-20,Cremona,Brescia,25.6,0,24,5,14,0.357,1,3,0.333,3,3,1.0,0,3,3,3,1,0,0,1,14,9.8,11
2019-07-27,Cremona,Torino,26.2,1,25,4,9,0.444,1,4,0.25,0,0,0.0,0,2,2,1,1,0,1,2,9,4.8,16
2019-01-07,Cremona,Venezia,25.649315068493152,1,23,5,10,0.500,1,4,0.25,0,0,0.0,0,1,1,1,1,0,2,1,11,5.6,-16
2019-08-14,Cremona,Reggio Emilia,26.24931506849315,0,21,5,11,0.455,3,6,0.5,2,2,1.0,0,3,3,1,1,0,1,1,15,10.5,11
2019-03-13,Cremona,Trentino,25.827397260273973,0,19,2,6,0.333,1,1,1.0,0,2,0.0,0,0,0,1,0,0,0,1,5,1.1000000000000005,7
2019-06-18,Cremona,Avellino,26.09315068493151,0,24,5,12,0.417,3,5,0.6,7,7,1.0,0,5,5,1,1,0,4,2,20,12.0,2
2018-11-05,Cremona,Cantù,25.476712328767125,0,15,1,7,0.143,0,3,0.0,0,2,0.0,0,0,0,2,0,0,0,0,2,-1.9,-2
