date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-04-16,Reggio Emilia,Sassari,24.758904109589043,0,13,2,2,1.000,2,2,1.0,0,0,0.0,0,0,0,0,1,0,0,1,6,6.0,-2
2018-12-12,Reggio Emilia,Brescia,24.416438356164385,0,18,2,5,0.400,1,3,0.333,0,0,0.0,0,2,2,1,0,0,0,2,5,2.8,5
2018-09-06,Reggio Emilia,Torino,24.15068493150685,0,14,3,6,0.500,1,4,0.25,0,0,0.0,0,1,1,0,0,0,0,2,7,3.5,-9
2018-12-11,Reggio Emilia,Cantù,24.413698630136988,0,9,2,5,0.400,2,4,0.5,0,0,0.0,0,1,1,0,0,0,0,4,6,1.9999999999999996,-7
2018-09-30,Reggio Emilia,Varese,24.216438356164385,1,19,1,2,0.500,0,1,0.0,1,1,1.0,0,2,2,0,2,2,1,0,3,5.0,-2
2018-12-02,Reggio Emilia,Milano,24.389041095890413,0,21,2,6,0.333,1,5,0.2,2,2,1.0,0,1,1,0,0,0,0,2,7,3.1000000000000005,-4
2018-11-05,Reggio Emilia,Avellino,24.315068493150687,1,34,3,9,0.333,2,4,0.5,2,2,1.0,1,3,4,0,0,0,1,3,10,4.3,-7
2019-04-05,Reggio Emilia,Pistoia,24.72876712328767,1,24,3,7,0.429,0,3,0.0,4,6,0.667,1,2,3,0,0,0,0,2,10,6.0,-5
2018-10-30,Reggio Emilia,Brindisi,24.2986301369863,1,16,3,6,0.500,1,3,0.333,0,0,0.0,1,1,2,1,0,0,4,1,7,1.2999999999999998,-2
2018-10-14,Reggio Emilia,Trentino,24.254794520547946,1,25,0,2,0.000,0,1,0.0,0,0,0.0,1,0,1,1,0,1,1,2,0,-1.1,3
2018-09-05,Reggio Emilia,Trieste,24.147945205479452,0,19,3,6,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,2,7,3.2,4
2019-07-24,Reggio Emilia,Virtus Bologna,25.03013698630137,0,18,3,5,0.600,1,3,0.333,0,0,0.0,0,2,2,0,1,0,0,0,7,6.299999999999999,-11
2019-03-10,Reggio Emilia,Venezia,24.65753424657534,0,15,2,5,0.400,1,3,0.333,2,2,1.0,1,4,5,0,1,0,0,1,7,6.8,-7
2019-08-19,Reggio Emilia,Pesaro,25.101369863013698,0,21,3,4,0.750,2,3,0.667,2,3,0.667,1,2,3,2,1,0,1,4,10,9.099999999999998,15
2018-12-11,Reggio Emilia,Brescia,24.413698630136988,0,18,3,6,0.500,1,3,0.333,1,1,1.0,1,1,2,1,0,0,0,3,8,5.5,-7
2018-10-24,Reggio Emilia,Torino,24.28219178082192,0,18,1,7,0.143,0,3,0.0,0,0,0.0,1,1,2,1,0,0,0,2,2,-1.5999999999999996,-19
2019-01-07,Reggio Emilia,Varese,24.487671232876714,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-20,Reggio Emilia,Avellino,24.356164383561644,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,1
