date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-07,Reggio Emilia,Varese,28.12054794520548,1,20,6,9,0.667,3,6,0.5,0,0,0.0,0,0,0,1,0,0,0,5,15,9.799999999999997,-11
2019-01-15,Reggio Emilia,Milano,28.14246575342466,1,24,3,12,0.250,2,7,0.286,0,0,0.0,0,3,3,3,0,0,4,4,8,-1.7999999999999998,5
2018-11-20,Reggio Emilia,Avellino,27.98904109589041,1,33,9,19,0.474,0,5,0.0,0,0,0.0,0,5,5,2,2,0,4,4,18,7.600000000000003,-19
2019-01-08,Reggio Emilia,Pistoia,28.123287671232877,1,33,6,13,0.462,3,6,0.5,6,7,0.857,0,4,4,8,0,0,2,2,21,17.899999999999995,10
2018-11-27,Reggio Emilia,Brindisi,28.008219178082193,1,30,4,10,0.400,1,3,0.333,0,1,0.0,0,5,5,8,0,0,4,3,9,5.099999999999998,15
2018-10-13,Reggio Emilia,Trentino,27.884931506849316,1,22,3,8,0.375,1,4,0.25,2,2,1.0,0,2,2,5,0,0,4,3,9,3.499999999999999,-5
2019-01-07,Reggio Emilia,Trieste,28.12054794520548,1,23,1,8,0.125,1,4,0.25,0,2,0.0,0,2,2,2,0,0,3,3,3,-5.2,-19
2018-09-30,Reggio Emilia,Virtus Bologna,27.84931506849315,1,31,8,18,0.444,2,6,0.333,1,1,1.0,0,5,5,7,1,1,1,1,19,16.3,-2
2019-04-09,Reggio Emilia,Venezia,28.372602739726027,1,30,5,12,0.417,4,7,0.571,1,1,1.0,0,5,5,5,2,0,6,2,15,8.8,-5
2019-02-21,Reggio Emilia,Pesaro,28.243835616438357,1,31,9,14,0.643,5,9,0.556,1,1,1.0,1,1,2,3,2,0,3,0,24,19.900000000000006,21
2019-01-28,Reggio Emilia,Cremona,28.17808219178082,1,26,4,8,0.500,3,7,0.429,0,0,0.0,0,2,2,2,0,0,2,3,11,5.8,12
