date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-28,Trieste,Virtus Bologna,28.28767123287671,1,23,3,8,0.375,1,2,0.5,1,2,0.5,0,2,2,4,1,0,2,5,8,3.5999999999999996,2
2019-07-29,Trieste,Torino,29.03835616438356,1,33,3,13,0.231,2,4,0.5,0,0,0.0,1,4,5,7,2,0,3,1,8,5.499999999999998,-19
2019-06-15,Trieste,Brescia,28.91780821917808,1,19,3,7,0.429,2,5,0.4,0,0,0.0,0,0,0,3,0,0,1,4,8,3.799999999999999,5
2019-06-16,Trieste,Varese,28.92054794520548,1,14,3,7,0.429,1,4,0.25,0,0,0.0,0,1,1,2,1,0,1,0,7,5.0,-11
2019-08-07,Trieste,Pistoia,29.063013698630137,1,16,2,2,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,5,5,2.7,13
2018-12-07,Trieste,Pesaro,28.397260273972602,0,21,7,16,0.438,3,9,0.333,0,0,0.0,0,1,1,3,1,0,3,4,17,7.400000000000002,-21
2018-09-04,Trieste,Trentino,28.13972602739726,1,33,4,8,0.500,2,5,0.4,0,0,0.0,0,2,2,10,2,0,1,3,10,13.399999999999999,15
2019-06-29,Trieste,Cantù,28.956164383561646,1,25,4,11,0.364,3,7,0.429,3,3,1.0,0,1,1,0,2,0,2,4,14,6.600000000000001,0
2019-03-31,Trieste,Cremona,28.709589041095892,1,25,5,9,0.556,2,3,0.667,0,0,0.0,1,2,3,4,3,0,2,4,12,11.200000000000001,2
2018-09-09,Trieste,Avellino,28.153424657534245,0,16,5,6,0.833,2,2,1.0,0,0,0.0,0,2,2,2,2,0,1,1,12,12.4,18
2018-09-05,Trieste,Reggio Emilia,28.14246575342466,0,13,3,5,0.600,2,3,0.667,0,0,0.0,0,1,1,2,0,1,0,4,8,6.499999999999998,0
2018-10-16,Trieste,Venezia,28.254794520547946,0,15,4,8,0.500,2,3,0.667,2,2,1.0,0,2,2,2,1,0,3,1,12,7.6,-2
2019-04-30,Trieste,Brindisi,28.791780821917808,0,21,3,7,0.429,1,4,0.25,0,0,0.0,0,1,1,3,0,0,1,5,7,2.6999999999999993,-16
2018-10-29,Trieste,Sassari,28.29041095890411,0,24,8,16,0.500,6,11,0.545,3,3,1.0,0,2,2,1,1,0,1,5,25,16.3,5
2019-03-06,Trieste,Milano,28.64109589041096,0,20,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,3,0,0,0,1,5,5.699999999999999,4
2018-10-27,Trieste,Virtus Bologna,28.284931506849315,0,23,4,6,0.667,2,4,0.5,2,3,0.667,0,2,2,3,1,0,1,1,12,11.299999999999999,-7
2019-02-06,Trieste,Torino,28.564383561643837,0,21,3,11,0.273,2,8,0.25,0,0,0.0,0,3,3,4,1,1,1,3,8,4.699999999999999,4
2019-03-11,Trieste,Brescia,28.654794520547945,0,17,4,10,0.400,4,8,0.5,0,0,0.0,0,1,1,1,2,0,0,1,12,9.199999999999998,-6
2019-07-11,Trieste,Varese,28.98904109589041,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,-0.4,-4
2019-03-17,Trieste,Pistoia,28.671232876712327,0,11,2,3,0.000,0,0,0.0,0,0,0.0,0,1,1,4,0,0,2,2,4,3.0,8
2018-10-27,Trieste,Pesaro,28.284931506849315,0,20,6,7,0.857,6,7,0.857,0,0,0.0,0,3,3,4,0,0,2,1,18,16.8,32
2018-12-19,Trieste,Trentino,28.43013698630137,0,11,2,4,0.500,1,2,0.5,0,0,0.0,0,1,1,1,0,0,2,1,5,1.6,-13
2018-11-10,Trieste,Cantù,28.323287671232876,0,18,5,11,0.455,4,7,0.571,0,0,0.0,0,1,1,3,0,0,1,3,14,8.5,9
2018-09-30,Trieste,Cremona,28.21095890410959,0,18,0,2,0.000,0,2,0.0,2,2,1.0,0,0,0,1,1,0,0,2,2,1.4999999999999998,-7
2018-11-03,Trieste,Avellino,28.304109589041097,1,17,4,5,0.800,1,1,1.0,0,0,0.0,0,2,2,3,0,0,0,1,9,9.399999999999999,-3
2019-01-07,Trieste,Reggio Emilia,28.482191780821918,0,15,3,7,0.429,1,3,0.333,1,2,0.5,0,2,2,1,0,0,1,5,8,2.2,-10
2019-06-27,Trieste,Venezia,28.95068493150685,0,13,5,7,0.714,3,5,0.6,2,2,1.0,0,1,1,1,0,0,0,3,15,11.900000000000002,10
2019-02-06,Trieste,Brindisi,28.564383561643837,0,12,2,5,0.400,2,4,0.5,0,0,0.0,0,0,0,0,0,0,2,1,6,0.8999999999999999,0
2019-03-02,Trieste,Sassari,28.63013698630137,0,12,1,3,0.333,0,2,0.0,2,2,1.0,0,0,0,1,0,0,0,2,4,2.200000000000001,-7
2018-12-18,Trieste,Milano,28.427397260273974,0,11,2,4,0.500,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,2,5,3.8999999999999995,-7
