date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-12-11,Brindisi,Milano,34.0958904109589,1,28,3,9,0.333,1,4,0.25,2,2,1.0,0,3,3,1,2,0,0,2,9,6.699999999999999,-24
2019-07-22,Brindisi,Pesaro,34.706849315068496,1,32,1,9,0.111,0,2,0.0,0,0,0.0,2,8,10,7,1,2,0,0,2,7.199999999999999,12
2019-06-02,Brindisi,Sassari,34.56986301369863,1,24,1,4,0.250,0,2,0.0,1,1,1.0,2,4,6,1,0,0,4,3,3,-1.2999999999999998,-14
2019-04-21,Brindisi,Pistoia,34.45479452054794,1,24,2,5,0.400,1,2,0.5,0,0,0.0,1,4,5,6,1,2,0,0,5,10.799999999999999,8
2019-06-25,Brindisi,Cantù,34.632876712328766,1,21,1,6,0.167,0,5,0.0,0,0,0.0,1,7,8,3,3,3,0,1,2,7.799999999999999,20
2019-03-31,Brindisi,Torino,34.397260273972606,1,21,0,3,0.000,0,2,0.0,1,2,0.5,0,3,3,0,1,2,2,4,1,-1.7999999999999998,-9
2018-10-27,Brindisi,Brescia,33.97260273972603,1,29,2,7,0.286,0,1,0.0,2,2,1.0,1,1,2,2,1,0,0,0,6,5.300000000000001,13
2018-12-22,Brindisi,Varese,34.12602739726027,1,29,2,6,0.333,1,4,0.25,1,2,0.5,0,4,4,1,0,0,2,2,6,1.3000000000000007,-16
2018-10-30,Brindisi,Reggio Emilia,33.98082191780822,1,17,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,4,0,0,3,2,2,0.2999999999999998,-10
2019-04-25,Brindisi,Venezia,34.465753424657535,0,26,2,7,0.286,1,3,0.333,2,2,1.0,2,6,8,4,0,1,4,2,7,4.799999999999999,-12
2019-02-09,Brindisi,Virtus Bologna,34.26027397260274,1,32,3,6,0.500,1,4,0.25,0,0,0.0,0,3,3,4,1,1,4,1,7,4.999999999999998,12
2019-06-30,Brindisi,Cremona,34.64657534246575,1,35,3,9,0.333,1,3,0.333,1,2,0.5,1,8,9,2,0,1,1,2,8,5.9,-7
2019-04-30,Brindisi,Trieste,34.47945205479452,1,25,1,2,0.500,1,2,0.5,1,2,0.5,0,5,5,1,2,2,0,1,4,7.800000000000001,5
2018-09-15,Brindisi,Avellino,33.85753424657534,1,27,2,6,0.333,0,3,0.0,0,0,0.0,2,2,4,1,1,0,0,1,4,3.900000000000001,-3
2019-07-01,Brindisi,Trentino,34.64931506849315,1,30,2,6,0.333,0,3,0.0,2,3,0.667,1,6,7,5,1,3,1,1,6,9.899999999999999,3
2018-09-17,Brindisi,Milano,33.863013698630134,1,30,3,7,0.429,1,2,0.5,5,6,0.833,1,8,9,4,1,0,2,2,12,12.0,10
2019-07-08,Brindisi,Pesaro,34.66849315068493,1,19,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,2,3,1,0,0,4,8.1,8
2019-05-27,Brindisi,Sassari,34.553424657534244,1,20,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,1,2,3,1,2,2,4.8,6
2019-05-21,Brindisi,Pistoia,34.536986301369865,1,18,0,2,0.000,0,0,0.0,0,0,0.0,1,3,4,3,1,1,4,2,0,-0.7999999999999998,11
2019-01-21,Brindisi,Cantù,34.20821917808219,1,25,5,9,0.556,2,3,0.667,0,0,0.0,0,1,1,3,0,0,1,2,12,8.299999999999999,-1
2019-04-10,Brindisi,Torino,34.42465753424658,1,27,1,4,0.250,0,2,0.0,2,2,1.0,2,5,7,2,0,1,2,4,4,3.0,-1
2019-04-18,Brindisi,Brescia,34.446575342465756,1,34,4,8,0.500,1,3,0.333,0,0,0.0,1,5,6,3,1,0,1,2,9,8.499999999999998,-23
2019-03-08,Brindisi,Varese,34.33424657534247,1,20,0,2,0.000,0,0,0.0,0,0,0.0,0,2,2,3,0,0,0,1,0,0.8999999999999998,-13
2018-11-27,Brindisi,Reggio Emilia,34.057534246575344,1,17,2,5,0.400,0,2,0.0,0,0,0.0,1,1,2,1,1,1,0,3,4,3.5,-4
2019-02-03,Brindisi,Venezia,34.24383561643835,1,22,3,6,0.500,1,2,0.5,0,1,0.0,4,2,6,2,0,2,3,1,7,6.4,4
2018-12-10,Brindisi,Virtus Bologna,34.09315068493151,1,31,0,0,0.000,0,0,0.0,2,2,1.0,0,3,3,4,1,1,0,2,2,6.6,5
2019-04-13,Brindisi,Cremona,34.43287671232877,1,35,3,9,0.333,1,4,0.25,4,4,1.0,1,5,6,6,1,0,0,2,11,12.499999999999998,-7
2019-02-06,Brindisi,Trieste,34.25205479452055,1,26,2,4,0.500,0,1,0.0,2,2,1.0,1,3,4,1,0,1,2,4,6,3.4000000000000004,-11
2019-03-24,Brindisi,Avellino,34.37808219178082,1,37,4,7,0.571,3,5,0.6,0,0,0.0,1,4,5,3,0,2,0,1,11,12.7,0
2018-09-02,Brindisi,Trentino,33.821917808219176,1,34,2,7,0.286,1,3,0.333,2,2,1.0,0,4,4,1,1,2,1,2,7,5.400000000000001,-5
