date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-08,Varese,Cremona,25.197260273972603,1,29,3,8,0.375,0,2,0.0,0,0,0.0,1,2,3,2,1,1,3,2,6,2.200000000000001,0
2019-07-09,Sassari,Brescia,25.947945205479453,1,30,5,11,0.455,0,2,0.0,3,4,0.75,2,1,3,1,1,0,1,3,13,8.100000000000001,1
2019-04-16,Reggio Emilia,Sassari,25.71780821917808,0,16,0,2,0.000,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,2,0,-2.3,1
2018-12-12,Reggio Emilia,Brescia,25.375342465753423,0,22,3,5,0.600,1,2,0.5,0,0,0.0,0,4,4,0,0,1,0,2,7,5.8,-9
2018-09-06,Reggio Emilia,Torino,25.10958904109589,0,15,2,8,0.250,0,3,0.0,2,2,1.0,1,2,3,0,0,0,0,4,6,0.8999999999999999,2
2018-12-11,Reggio Emilia,Cantù,25.372602739726027,0,13,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-2.2,-6
2018-09-30,Reggio Emilia,Varese,25.175342465753424,0,17,2,4,0.500,0,1,0.0,1,1,1.0,1,0,1,0,1,0,1,1,5,3.3,4
2018-12-02,Reggio Emilia,Milano,25.34794520547945,1,33,3,7,0.429,1,4,0.25,6,8,0.75,1,2,3,0,0,1,1,2,13,8.699999999999998,-25
2018-11-05,Reggio Emilia,Avellino,25.273972602739725,1,18,5,8,0.625,0,2,0.0,0,0,0.0,3,1,4,0,0,2,0,4,10,8.600000000000001,-17
2019-04-05,Reggio Emilia,Pistoia,25.687671232876713,0,12,1,3,0.333,1,3,0.333,0,0,0.0,1,0,1,1,1,0,1,0,3,2.7,5
2018-10-30,Reggio Emilia,Brindisi,25.257534246575343,0,27,3,5,0.600,1,2,0.5,2,2,1.0,0,4,4,0,0,0,1,1,9,6.499999999999999,8
2018-10-14,Reggio Emilia,Trentino,25.213698630136985,0,22,1,5,0.200,0,1,0.0,0,0,0.0,2,2,4,0,0,1,0,2,2,0.7999999999999996,-7
2018-09-05,Reggio Emilia,Trieste,25.106849315068494,0,12,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,1,0,0.20000000000000018,-11
2019-07-24,Reggio Emilia,Virtus Bologna,25.98904109589041,0,5,1,1,0.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,2,2,1.2999999999999998,2
2019-03-10,Reggio Emilia,Venezia,25.616438356164384,0,15,2,4,0.500,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,3.0,3
2019-08-19,Reggio Emilia,Pesaro,26.06027397260274,0,22,5,9,0.556,0,3,0.0,3,4,0.75,0,4,4,0,2,0,1,3,13,9.299999999999997,22
2019-08-14,Reggio Emilia,Cremona,26.046575342465754,0,20,4,7,0.571,2,2,1.0,1,2,0.5,2,4,6,3,0,1,1,4,11,10.099999999999998,-11
2019-04-20,Reggio Emilia,Sassari,25.72876712328767,1,35,2,9,0.222,0,1,0.0,1,2,0.5,1,5,6,3,2,0,0,2,5,4.6,-1
2018-12-11,Reggio Emilia,Brescia,25.372602739726027,0,9,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,1,2,1.2999999999999998,-15
2018-10-24,Reggio Emilia,Torino,25.24109589041096,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-07,Reggio Emilia,Cantù,25.194520547945206,0,10,2,4,0.000,0,0,0.0,0,2,0.0,1,0,1,1,0,0,1,5,4,-0.40000000000000036,-14
