date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-31,Cantù,Sassari,35.59178082191781,1,28,5,9,0.556,2,5,0.4,2,3,0.667,0,3,3,3,4,0,1,2,14,14.499999999999996,1
2018-10-19,Brindisi,Varese,35.558904109589044,1,30,4,10,0.400,2,8,0.25,1,2,0.5,0,2,2,3,2,0,3,5,11,4.899999999999999,-1
2019-04-18,Brindisi,Torino,36.054794520547944,1,26,3,10,0.300,1,4,0.25,2,2,1.0,1,0,1,3,2,0,1,3,9,5.799999999999999,4
2019-02-07,Brindisi,Cremona,35.863013698630134,1,30,4,11,0.364,3,9,0.333,0,0,0.0,0,7,7,5,1,0,2,2,11,8.7,18
2018-12-12,Brindisi,Brescia,35.706849315068496,1,28,1,6,0.167,0,3,0.0,1,1,1.0,0,1,1,2,0,0,1,2,3,-0.8999999999999995,3
2019-01-08,Brindisi,Cantù,35.78082191780822,1,33,6,9,0.667,2,4,0.5,6,7,0.857,0,1,1,5,1,0,0,1,20,20.1,7
2018-12-27,Brindisi,Avellino,35.74794520547945,1,22,2,7,0.286,1,2,0.5,0,0,0.0,1,2,3,2,1,0,1,3,5,2.3999999999999995,-1
2018-12-05,Brindisi,Sassari,35.68767123287671,1,35,3,7,0.429,3,5,0.6,2,2,1.0,0,3,3,2,0,0,3,2,11,5.799999999999999,24
2019-04-30,Brindisi,Pesaro,36.087671232876716,1,35,5,9,0.556,3,6,0.5,2,2,1.0,0,3,3,6,7,0,4,4,15,17.2,9
2019-02-18,Brindisi,Milano,35.893150684931506,1,27,4,9,0.444,3,5,0.6,1,1,1.0,1,1,2,1,1,0,3,5,12,5.0,-5
2019-07-01,Brindisi,Caserta,36.25753424657534,1,22,4,7,0.571,3,5,0.6,1,1,1.0,0,1,1,4,1,0,0,3,12,11.600000000000001,11
2019-02-03,Brindisi,Capo d'Orlando,35.85205479452055,1,32,5,6,0.833,3,3,1.0,0,0,0.0,1,1,2,5,6,0,2,2,13,18.5,-5
2018-10-14,Brindisi,Venezia,35.54520547945206,1,38,6,11,0.545,3,6,0.5,2,2,1.0,0,2,2,2,3,1,5,4,17,10.799999999999999,-5
2019-07-04,Brindisi,Trentino,36.26575342465753,1,24,1,6,0.167,1,5,0.2,3,3,1.0,0,0,0,1,1,0,1,5,6,0.9000000000000012,-22
2018-10-04,Brindisi,Pistoia,35.517808219178086,0,23,3,8,0.375,2,6,0.333,0,0,0.0,0,0,0,2,1,0,2,3,8,2.8,0
2018-10-11,Brindisi,Reggio Emilia,35.536986301369865,1,28,5,9,0.556,2,5,0.4,2,3,0.667,0,3,3,3,4,0,1,2,14,14.499999999999996,1
2019-08-14,Brindisi,Varese,36.37808219178082,0,21,1,6,0.167,1,4,0.25,7,8,0.875,0,1,1,3,2,0,0,1,10,9.8,8
2018-12-28,Brindisi,Torino,35.75068493150685,0,22,3,12,0.250,2,9,0.222,3,4,0.75,1,0,1,2,2,0,0,2,11,6.7,-9
2019-02-28,Brindisi,Cremona,35.92054794520548,0,21,3,8,0.375,1,4,0.25,2,2,1.0,0,3,3,3,1,0,2,4,9,5.0,0
2019-06-11,Brindisi,Brescia,36.202739726027396,1,31,8,13,0.615,4,9,0.444,5,5,1.0,1,2,3,1,0,0,3,4,25,16.5,18
2018-10-05,Brindisi,Cantù,35.52054794520548,0,26,7,13,0.538,2,5,0.4,0,0,0.0,0,1,1,2,0,0,2,2,16,8.600000000000001,-4
2019-05-24,Brindisi,Avellino,36.153424657534245,0,22,4,6,0.667,1,1,1.0,3,4,0.75,0,3,3,4,0,0,2,2,12,9.899999999999999,10
2018-09-26,Brindisi,Sassari,35.49589041095891,0,26,5,8,0.625,4,6,0.667,3,3,1.0,2,4,6,2,0,0,1,3,17,15.2,1
2019-08-16,Brindisi,Pesaro,36.38356164383562,0,23,2,4,0.500,1,3,0.333,1,1,1.0,0,2,2,7,0,0,0,5,6,7.5,-2
2019-06-27,Brindisi,Milano,36.24657534246575,0,23,5,11,0.455,2,5,0.4,4,5,0.8,1,4,5,1,1,0,0,3,16,12.299999999999997,12
2019-04-28,Brindisi,Caserta,36.082191780821915,0,29,3,11,0.273,1,3,0.333,6,7,0.857,1,2,3,2,1,0,3,2,13,5.999999999999998,-6
2018-10-27,Brindisi,Capo d'Orlando,35.58082191780822,0,21,4,10,0.400,2,5,0.4,0,0,0.0,1,0,1,2,1,0,1,3,10,5.499999999999999,4
2018-09-07,Brindisi,Venezia,35.443835616438356,1,33,5,11,0.455,2,4,0.5,2,2,1.0,0,2,2,3,1,0,3,3,14,7.800000000000001,-10
