date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-11,Milano,Cremona,30.115068493150684,1,30,7,13,0.538,2,4,0.5,0,0,0.0,0,4,4,0,1,0,3,4,16,7.300000000000001,10
2018-09-19,Milano,Varese,29.802739726027397,1,31,8,13,0.615,0,4,0.0,5,6,0.833,0,4,4,3,0,0,2,0,21,16.0,9
2018-12-11,Milano,Capo d'Orlando,30.030136986301372,1,29,5,17,0.294,1,9,0.111,0,0,0.0,1,5,6,1,2,0,0,0,11,6.000000000000002,14
2018-09-29,Milano,Brindisi,29.83013698630137,1,27,8,14,0.571,1,4,0.25,2,2,1.0,0,2,2,3,0,0,0,1,19,14.7,18
2018-09-16,Milano,Virtus Bologna,29.794520547945204,1,25,6,13,0.462,2,4,0.5,2,2,1.0,2,3,5,1,1,0,0,3,16,12.099999999999998,-1
2018-12-10,Milano,Trentino,30.027397260273972,1,31,7,16,0.438,2,7,0.286,0,1,0.0,2,3,5,2,0,0,2,2,16,8.100000000000001,12
2019-04-03,Milano,Cantù,30.339726027397262,0,21,8,14,0.571,5,8,0.625,2,4,0.5,0,1,1,0,0,0,2,1,23,13.499999999999998,10
2019-01-15,Milano,Brescia,30.126027397260273,1,26,3,6,0.500,3,6,0.5,4,4,1.0,0,0,0,1,0,0,4,3,13,5.5,14
2018-11-10,Milano,Pesaro,29.945205479452056,1,16,1,7,0.143,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,1,3,-1.8999999999999995,1
2019-01-23,Milano,Pistoia,30.147945205479452,0,19,5,14,0.357,1,5,0.2,0,0,0.0,0,1,1,0,0,0,1,1,11,2.100000000000001,9
2018-10-05,Milano,Varese,29.846575342465755,1,26,6,14,0.429,2,9,0.222,0,0,0.0,1,1,2,4,0,0,1,4,14,7.799999999999999,5
2019-05-16,Milano,Capo d'Orlando,30.457534246575342,1,16,1,6,0.167,0,4,0.0,0,0,0.0,0,1,1,2,0,0,1,0,2,-1.0999999999999994,22
2019-06-24,Milano,Brindisi,30.564383561643837,1,27,6,14,0.429,1,4,0.25,1,2,0.5,0,2,2,0,1,0,1,4,14,5.199999999999999,11
2019-03-21,Milano,Sassari,30.304109589041097,1,24,7,11,0.636,4,5,0.8,1,1,1.0,1,1,2,2,0,0,1,0,19,15.5,30
2019-01-12,Milano,Virtus Bologna,30.117808219178084,1,20,2,8,0.250,0,4,0.0,0,0,0.0,0,1,1,1,0,0,1,3,4,-2.0,2
2019-02-02,Milano,Trentino,30.175342465753424,1,29,5,12,0.417,3,8,0.375,1,1,1.0,0,1,1,2,0,0,2,1,14,6.9,-2
2018-09-02,Milano,Avellino,29.756164383561643,1,29,4,12,0.333,2,4,0.5,0,1,0.0,1,2,3,6,0,0,1,1,10,6.9,-2
2019-05-28,Milano,Reggio Emilia,30.49041095890411,1,21,6,7,0.857,1,2,0.5,2,2,1.0,0,2,2,0,2,1,2,2,15,12.999999999999998,13
2019-08-28,Milano,Torino,30.742465753424657,1,27,9,16,0.563,3,7,0.429,2,2,1.0,1,4,5,2,0,0,2,2,23,15.899999999999999,12
2019-05-14,Milano,Brescia,30.45205479452055,1,36,7,18,0.389,4,12,0.333,4,4,1.0,0,5,5,3,1,0,1,2,22,15.0,2
2019-04-07,Milano,Pistoia,30.350684931506848,1,21,3,10,0.300,1,4,0.25,2,2,1.0,0,1,1,3,0,0,0,2,9,4.799999999999999,14
2018-12-06,Milano,Venezia,30.016438356164382,1,27,8,14,0.571,6,10,0.6,0,0,0.0,0,1,1,2,1,0,2,2,22,15.3,5
2019-02-19,Pistoia,Milano,30.221917808219178,1,27,11,17,0.647,6,10,0.6,0,0,0.0,0,5,5,1,1,0,4,4,28,18.099999999999998,-7
2019-01-28,Pistoia,Pesaro,30.161643835616438,1,29,8,18,0.444,3,7,0.429,3,5,0.6,0,2,2,5,0,1,1,2,22,14.799999999999997,1
