date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-09-13,Avellino,Cantù,33.2,1,35,12,19,0.632,5,8,0.625,3,3,1.0,2,13,15,2,1,1,5,4,32,25.299999999999994,21
2019-04-09,Avellino,Cremona,33.76986301369863,1,38,6,8,0.750,2,3,0.667,9,11,0.818,0,5,5,3,0,0,4,1,23,18.199999999999996,-9
2019-05-13,Avellino,Virtus Bologna,33.863013698630134,1,33,4,10,0.400,2,6,0.333,5,6,0.833,0,3,3,4,0,0,0,3,15,11.700000000000003,3
2018-09-08,Avellino,Brescia,33.18630136986302,1,28,2,6,0.333,2,5,0.4,2,5,0.4,0,5,5,2,0,1,1,4,8,4.4,7
2019-04-07,Avellino,Trentino,33.76438356164383,1,28,10,18,0.556,3,7,0.429,7,7,1.0,2,7,9,0,1,0,3,4,30,21.299999999999997,25
2019-07-15,Avellino,Varese,34.035616438356165,1,28,1,9,0.111,0,5,0.0,2,2,1.0,2,4,6,2,0,0,1,2,4,0.3000000000000005,-1
2018-11-05,Avellino,Reggio Emilia,33.345205479452055,1,32,11,16,0.688,3,5,0.6,4,5,0.8,3,6,9,0,0,0,2,2,29,22.9,28
2019-01-06,Avellino,Venezia,33.515068493150686,1,33,2,8,0.250,1,5,0.2,2,2,1.0,2,7,9,1,2,0,5,2,7,2.6000000000000005,-26
2019-08-20,Avellino,Pesaro,34.134246575342466,1,35,4,12,0.333,2,6,0.333,5,6,0.833,4,1,5,3,0,1,2,4,15,10.100000000000001,-3
2018-09-09,Avellino,Trieste,33.18904109589041,1,25,3,5,0.600,2,3,0.667,5,7,0.714,1,1,2,1,0,0,1,0,13,10.599999999999998,-30
2018-12-22,Avellino,Sassari,33.47397260273973,1,36,5,11,0.455,2,6,0.333,8,10,0.8,0,6,6,3,2,0,3,2,20,15.599999999999998,12
2018-10-28,Avellino,Torino,33.323287671232876,1,34,8,15,0.533,7,13,0.538,3,4,0.75,1,4,5,5,2,0,5,1,26,20.3,22
2018-10-20,Avellino,Milano,33.3013698630137,1,36,4,9,0.444,1,2,0.5,9,10,0.9,2,3,5,5,1,0,2,4,18,16.1,5
2018-09-15,Avellino,Brindisi,33.205479452054796,1,37,7,13,0.538,3,6,0.5,1,2,0.5,1,7,8,4,2,0,5,2,18,13.100000000000001,6
2018-11-13,Avellino,Pistoia,33.367123287671234,1,35,3,8,0.375,1,4,0.25,12,15,0.8,0,6,6,4,1,0,4,2,19,14.2,11
2019-06-18,Avellino,Cremona,33.961643835616435,1,36,7,9,0.778,1,2,0.5,6,9,0.667,0,5,5,5,2,0,1,1,21,21.900000000000002,2
2019-03-01,Avellino,Virtus Bologna,33.66301369863014,1,34,1,9,0.111,1,6,0.167,5,6,0.833,2,7,9,0,1,0,1,2,8,4.400000000000001,-8
2018-12-20,Avellino,Brescia,33.468493150684935,1,35,9,18,0.500,1,5,0.2,4,5,0.8,3,9,12,2,0,0,4,2,23,15.0,1
2019-04-27,Avellino,Trentino,33.81917808219178,1,36,6,11,0.545,2,5,0.4,14,15,0.933,1,3,4,1,1,1,5,3,28,20.099999999999998,-17
2019-03-25,Avellino,Varese,33.728767123287675,1,37,5,11,0.455,0,3,0.0,9,10,0.9,2,8,10,2,1,1,6,3,19,12.599999999999998,13
2018-11-20,Avellino,Reggio Emilia,33.38630136986301,1,26,5,9,0.556,3,6,0.5,4,5,0.8,0,10,10,2,0,0,5,1,17,11.3,28
2019-03-12,Avellino,Venezia,33.69315068493151,1,37,2,12,0.167,1,4,0.25,9,11,0.818,2,6,8,3,0,1,0,2,14,10.799999999999999,-11
2019-01-15,Avellino,Pesaro,33.53972602739726,1,33,4,9,0.444,1,5,0.2,4,7,0.571,3,6,9,3,0,2,4,1,13,10.1,4
2018-11-03,Avellino,Trieste,33.33972602739726,1,35,2,8,0.250,1,6,0.167,3,6,0.5,2,5,7,10,3,1,2,5,8,11.6,15
2019-02-22,Avellino,Sassari,33.64383561643836,1,15,2,6,0.333,1,5,0.2,0,0,0.0,1,0,1,1,0,0,1,2,5,1.200000000000001,1
