date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-23,Venezia,Avellino,36.87671232876713,0,13,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,2,0,-2.2,-2
2019-02-15,Venezia,Reggio Emilia,36.93972602739726,0,12,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,1.4,-8
2018-10-31,Venezia,Brescia,36.64657534246575,0,14,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,3,0,0,2,3,0,-2.2,-9
2019-01-12,Venezia,Sassari,36.846575342465755,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-23,Venezia,Capo d'Orlando,37.45753424657534,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,1.3,0
2019-08-14,Venezia,Pesaro,37.43287671232877,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1.0,3
2019-08-29,Avellino,Torino,37.47397260273973,0,23,2,4,0.500,2,4,0.5,0,0,0.0,0,2,2,11,2,0,3,3,6,10.099999999999998,17
2019-06-05,Avellino,Milano,37.24109589041096,0,17,2,6,0.333,1,4,0.25,0,0,0.0,0,3,3,2,1,0,1,2,5,3.1000000000000005,4
2018-11-30,Avellino,Pistoia,36.728767123287675,0,22,3,5,0.600,2,3,0.667,2,2,1.0,0,1,1,7,6,0,1,1,10,17.5,16
2019-02-06,Avellino,Pesaro,36.915068493150685,0,29,1,4,0.250,1,4,0.25,0,0,0.0,1,2,3,4,2,0,3,1,3,3.299999999999999,13
2019-02-28,Avellino,Brescia,36.97534246575343,0,9,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-0.7999999999999999,6
2019-06-07,Avellino,Varese,37.24657534246575,0,31,4,7,0.571,2,4,0.5,3,4,0.75,0,6,6,4,3,0,1,0,13,15.899999999999999,1
2019-05-05,Avellino,Reggio Emilia,37.156164383561645,0,26,8,13,0.615,7,11,0.636,4,4,1.0,0,6,6,8,1,0,2,3,27,26.3,1
2019-05-29,Avellino,Sassari,37.22191780821918,0,11,0,3,0.000,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,2,0,-2.5999999999999996,2
2018-12-27,Avellino,Brindisi,36.8027397260274,0,20,2,3,0.667,2,3,0.667,2,2,1.0,0,0,0,4,1,0,3,3,8,6.300000000000001,-3
2018-11-01,Avellino,Venezia,36.64931506849315,0,23,2,7,0.286,2,5,0.4,0,0,0.0,1,1,2,5,2,0,0,2,6,7.6000000000000005,-11
2019-08-02,Avellino,Cantù,37.4,0,26,2,5,0.400,1,4,0.25,0,0,0.0,0,2,2,3,3,0,2,1,5,5.6,0
2018-11-15,Avellino,Cremona,36.68767123287671,0,6,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,2,1,0,-2.8,-9
2019-08-10,Avellino,Capo d'Orlando,37.42191780821918,0,18,4,6,0.667,4,5,0.8,3,3,1.0,0,1,1,9,1,0,2,4,15,16.400000000000002,19
2019-07-06,Avellino,Caserta,37.326027397260276,0,24,3,6,0.500,3,6,0.5,0,0,0.0,1,2,3,1,2,0,1,3,9,7.800000000000001,17
2019-01-07,Avellino,Trentino,36.83287671232877,0,23,4,6,0.667,4,5,0.8,2,2,1.0,0,1,1,4,0,0,2,4,14,10.9,5
2019-04-25,Avellino,Torino,37.12876712328767,0,20,1,6,0.167,1,5,0.2,0,0,0.0,0,0,0,5,0,0,1,0,3,1.7000000000000006,-5
2019-01-26,Avellino,Milano,36.88493150684931,0,14,1,3,0.333,1,3,0.333,1,1,1.0,0,2,2,6,0,0,2,3,4,3.8999999999999995,-5
2018-11-25,Avellino,Pistoia,36.71506849315069,0,17,2,5,0.400,2,4,0.5,0,0,0.0,0,5,5,3,1,0,1,0,6,6.8999999999999995,-13
2018-12-16,Avellino,Pesaro,36.772602739726025,1,23,1,3,0.333,1,2,0.5,3,3,1.0,0,1,1,7,3,0,3,1,6,9.1,13
2019-03-30,Avellino,Brescia,37.057534246575344,0,18,1,4,0.250,0,2,0.0,0,0,0.0,0,2,2,3,0,0,0,3,2,1.0999999999999996,-7
2018-12-24,Avellino,Varese,36.794520547945204,0,16,2,4,0.500,0,2,0.0,0,0,0.0,0,4,4,5,0,0,2,2,4,3.9000000000000004,-2
2019-06-21,Avellino,Reggio Emilia,37.28493150684932,1,41,1,5,0.200,0,3,0.0,0,0,0.0,3,5,8,6,3,0,6,2,2,2.8999999999999986,-4
2019-01-05,Avellino,Sassari,36.827397260273976,1,31,4,10,0.400,3,5,0.6,0,0,0.0,1,7,8,9,2,0,2,2,11,13.899999999999999,12
2019-05-24,Avellino,Brindisi,37.20821917808219,1,29,2,4,0.500,2,3,0.667,0,0,0.0,0,0,0,4,4,0,2,3,6,7.600000000000001,-22
2019-04-14,Avellino,Venezia,37.0986301369863,0,19,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,2,2,0,0,0,3,5.0,-4
2019-01-29,Avellino,Cantù,36.893150684931506,0,23,0,3,0.000,0,2,0.0,2,2,1.0,0,2,2,7,1,0,1,1,2,5.0,4
2019-06-18,Avellino,Cremona,37.276712328767125,0,20,1,2,0.500,1,2,0.5,2,2,1.0,0,3,3,4,3,0,2,1,5,8.299999999999999,3
2018-10-02,Avellino,Capo d'Orlando,36.56712328767124,0,21,1,2,0.500,1,2,0.5,2,2,1.0,0,5,5,1,3,0,4,1,5,4.799999999999999,7
2019-02-05,Avellino,Caserta,36.912328767123284,0,23,2,5,0.400,0,3,0.0,0,0,0.0,0,1,1,4,2,0,1,2,4,4.6,7
2019-04-16,Avellino,Trentino,37.104109589041094,0,18,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,3,4,0,1,4,5,7.5,2
2019-02-19,Milano,Pistoia,36.95068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
