date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Brescia,Varese,28.02191780821918,1,26,8,16,0.500,4,11,0.364,0,0,0.0,1,4,5,4,1,0,1,5,20,14.7,1
2018-10-14,Brescia,Reggio Emilia,28.041095890410958,1,21,4,10,0.400,2,7,0.286,4,4,1.0,0,5,5,2,1,0,1,2,14,10.7,5
2018-10-21,Brescia,Trieste,28.06027397260274,1,26,9,17,0.529,1,6,0.167,1,1,1.0,0,3,3,1,1,0,2,2,20,11.500000000000002,-4
2018-10-27,Brescia,Avellino,28.076712328767123,1,22,3,8,0.375,2,5,0.4,0,0,0.0,0,2,2,2,0,0,0,2,8,4.8,-14
2018-11-04,Brescia,Pesaro,28.0986301369863,1,27,6,16,0.375,2,7,0.286,1,2,0.5,1,8,9,1,1,0,3,2,15,6.799999999999997,-4
2018-11-10,Brescia,Trentino,28.115068493150684,1,23,3,10,0.300,1,5,0.2,0,0,0.0,0,5,5,5,0,0,2,3,7,2.999999999999999,-5
2018-11-18,Brescia,Brindisi,28.136986301369863,1,26,4,10,0.400,2,6,0.333,0,0,0.0,2,8,10,0,0,2,4,4,10,4.200000000000001,-4
2018-11-25,Brescia,Torino,28.156164383561645,1,22,5,10,0.500,1,5,0.2,2,2,1.0,0,3,3,5,3,0,2,1,13,13.0,-6
2018-12-09,Brescia,Pistoia,28.194520547945206,1,27,5,16,0.313,3,8,0.375,1,1,1.0,1,5,6,2,2,0,2,4,14,6.800000000000001,-7
2018-12-16,Brescia,Cantù,28.213698630136985,1,22,6,12,0.500,4,7,0.571,1,2,0.5,2,7,9,2,1,0,3,2,17,12.7,6
2018-12-22,Brescia,Cremona,28.23013698630137,1,30,6,13,0.462,3,6,0.5,1,1,1.0,2,8,10,4,1,0,2,3,16,13.7,8
2018-12-25,Brescia,Milano,28.23835616438356,1,21,1,8,0.125,0,3,0.0,0,0,0.0,4,7,11,1,0,0,2,1,2,4.440892098500626e-16,-9
2018-12-30,Brescia,Sassari,28.252054794520546,1,26,4,10,0.400,3,7,0.429,4,4,1.0,0,6,6,3,0,0,0,1,15,13.100000000000001,-14
2019-01-06,Brescia,Virtus Bologna,28.27123287671233,1,27,5,15,0.333,1,5,0.2,2,2,1.0,2,4,6,2,0,0,1,2,13,6.7,-5
2019-01-12,Brescia,Venezia,28.28767123287671,1,31,8,18,0.444,2,6,0.333,2,4,0.5,3,8,11,3,0,0,3,3,20,12.2,9
2019-01-20,Brescia,Varese,28.30958904109589,1,27,5,10,0.500,3,7,0.429,0,0,0.0,0,4,4,1,2,0,5,3,13,5.699999999999999,-1
2019-02-03,Brescia,Trieste,28.34794520547945,1,14,0,4,0.000,0,3,0.0,0,0,0.0,0,2,2,2,2,0,0,2,0,0.40000000000000013,-18
2019-02-10,Brescia,Avellino,28.367123287671234,1,30,3,12,0.250,1,5,0.2,8,9,0.889,2,10,12,2,0,1,6,3,15,6.699999999999999,-13
2019-03-03,Brescia,Pesaro,28.424657534246574,1,18,2,7,0.286,1,5,0.2,0,0,0.0,0,4,4,1,2,0,3,1,5,1.4000000000000004,-13
2019-03-10,Brescia,Trentino,28.443835616438356,1,26,7,14,0.500,3,8,0.375,2,2,1.0,0,4,4,1,0,0,3,5,19,8.9,2
2019-03-17,Brescia,Brindisi,28.46301369863014,1,40,9,19,0.474,2,9,0.222,1,2,0.5,2,11,13,5,0,1,2,3,21,16.6,19
2019-03-24,Brescia,Torino,28.482191780821918,1,32,11,19,0.579,11,16,0.688,0,0,0.0,0,5,5,3,1,0,1,4,33,26.1,1
2019-03-31,Brescia,Pistoia,28.5013698630137,1,25,5,13,0.385,1,8,0.125,0,0,0.0,2,6,8,1,1,0,2,1,11,6.4,2
2019-04-07,Brescia,Cantù,28.52054794520548,1,29,7,17,0.412,1,8,0.125,1,2,0.5,3,6,9,4,2,1,2,3,16,12.700000000000003,-8
2019-04-14,Brescia,Cremona,28.53972602739726,1,32,4,11,0.364,3,8,0.375,0,0,0.0,2,7,9,6,0,0,1,2,11,10.799999999999999,2
2019-04-20,Brescia,Milano,28.556164383561644,1,25,2,11,0.182,1,5,0.2,0,0,0.0,3,9,12,5,1,0,2,1,5,5.0,-2
2019-04-24,Brescia,Virtus Bologna,28.567123287671233,1,28,7,13,0.538,6,11,0.545,2,4,0.5,0,3,3,0,1,1,0,3,22,16.3,15
2019-04-28,Brescia,Sassari,28.578082191780823,1,23,5,14,0.357,5,11,0.455,0,1,0.0,0,5,5,2,0,0,2,4,15,6.100000000000001,2
