date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-29,Torino,Avellino,26.134246575342466,1,28,2,5,0.400,1,3,0.333,3,5,0.6,0,1,1,2,0,0,3,1,8,2.8000000000000007,5
2018-12-18,Torino,Pesaro,25.438356164383563,1,21,1,8,0.125,1,6,0.167,0,0,0.0,0,0,0,1,0,0,0,1,3,-1.9,-5
2018-09-16,Torino,Capo d'Orlando,25.183561643835617,1,27,3,11,0.273,2,7,0.286,0,0,0.0,0,2,2,3,4,0,3,4,8,3.5999999999999996,-2
2019-06-13,Torino,Cremona,25.923287671232877,1,26,3,11,0.273,3,10,0.3,0,0,0.0,0,1,1,0,2,0,2,1,9,2.3999999999999995,-1
2019-04-18,Torino,Brindisi,25.76986301369863,1,21,1,5,0.200,1,3,0.333,0,0,0.0,0,2,2,2,0,0,1,0,3,0.8999999999999999,10
2019-07-25,Torino,Milano,26.03835616438356,1,27,9,19,0.474,4,10,0.4,3,3,1.0,0,1,1,2,2,0,2,3,25,15.8,6
2019-08-20,Torino,Trentino,26.10958904109589,1,16,0,4,0.000,0,3,0.0,3,3,1.0,0,2,2,0,1,0,0,3,3,0.6000000000000001,-6
2019-03-23,Torino,Venezia,25.698630136986303,1,19,4,8,0.500,1,4,0.25,3,3,1.0,1,2,3,2,0,0,1,2,12,8.899999999999999,4
2019-08-22,Torino,Cantù,26.115068493150684,1,27,3,8,0.375,1,3,0.333,3,5,0.6,0,1,1,2,1,0,0,3,10,6.3,15
2018-10-18,Torino,Pistoia,25.27123287671233,1,35,5,16,0.313,2,6,0.333,0,0,0.0,1,0,1,4,3,0,0,2,12,8.5,-15
2019-07-20,Torino,Caserta,26.024657534246575,1,29,5,15,0.333,2,7,0.286,0,0,0.0,3,2,5,2,1,0,1,2,12,6.8,-13
2018-09-03,Torino,Reggio Emilia,25.147945205479452,1,30,6,11,0.545,3,7,0.429,2,2,1.0,0,1,1,7,0,0,3,4,17,12.299999999999999,13
2019-05-25,Torino,Sassari,25.87123287671233,1,19,0,4,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-3.9,-27
2018-10-29,Torino,Brescia,25.301369863013697,1,33,7,14,0.500,6,11,0.545,0,0,0.0,0,0,0,1,1,0,1,2,20,12.9,4
2019-03-09,Torino,Varese,25.66027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-04-25,Torino,Avellino,25.78904109589041,1,33,2,10,0.200,1,5,0.2,3,3,1.0,0,2,2,3,1,0,2,1,8,3.0999999999999996,3
2018-10-16,Torino,Pesaro,25.265753424657536,1,26,2,10,0.200,2,5,0.4,5,5,1.0,0,5,5,2,1,0,2,1,11,6.300000000000001,6
2019-08-17,Torino,Capo d'Orlando,26.101369863013698,1,21,2,8,0.250,2,5,0.4,0,0,0.0,0,1,1,0,1,0,0,3,6,1.2999999999999998,16
2019-04-10,Torino,Cremona,25.747945205479454,1,28,8,10,0.800,5,7,0.714,2,2,1.0,0,1,1,1,1,0,3,0,23,18.2,-22
2018-12-28,Torino,Brindisi,25.465753424657535,1,14,2,5,0.400,1,2,0.5,1,1,1.0,0,1,1,1,0,0,1,1,6,2.9,-12
2019-02-13,Torino,Milano,25.594520547945205,1,26,4,12,0.333,2,5,0.4,4,5,0.8,1,1,2,2,1,0,1,2,14,8.4,-5
2018-09-18,Torino,Trentino,25.18904109589041,1,23,4,10,0.400,2,6,0.333,0,0,0.0,0,2,2,0,0,0,2,3,10,1.9999999999999991,12
2019-04-13,Torino,Venezia,25.756164383561643,1,31,5,16,0.313,3,9,0.333,0,0,0.0,1,4,5,2,3,0,1,0,13,9.100000000000001,1
2019-01-12,Torino,Cantù,25.506849315068493,1,30,7,11,0.636,4,7,0.571,0,0,0.0,0,3,3,2,0,0,2,2,18,12.600000000000001,4
2019-02-25,Torino,Pistoia,25.627397260273973,1,36,2,5,0.400,2,4,0.5,5,5,1.0,0,1,1,1,2,0,3,3,11,7.100000000000001,-5
2019-03-19,Torino,Caserta,25.687671232876713,1,37,7,17,0.412,5,13,0.385,8,12,0.667,3,3,6,0,1,0,3,0,27,17.299999999999997,8
2019-04-02,Torino,Reggio Emilia,25.726027397260275,1,29,5,10,0.500,3,6,0.5,4,6,0.667,0,2,2,2,1,0,1,4,17,11.6,-10
2019-05-06,Torino,Sassari,25.81917808219178,1,32,3,11,0.273,1,5,0.2,1,1,1.0,2,1,3,2,0,0,1,1,8,3.1999999999999993,-11
2019-05-12,Torino,Brescia,25.835616438356166,1,28,4,11,0.364,1,7,0.143,0,0,0.0,0,3,3,5,1,0,1,2,9,6.500000000000001,-1
2018-11-01,Torino,Varese,25.30958904109589,1,25,2,9,0.222,1,3,0.333,0,0,0.0,0,3,3,1,2,0,1,1,5,1.6999999999999997,10
