date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-26,Sassari,Virtus Bologna,35.07123287671233,0,25,3,11,0.273,3,8,0.375,3,4,0.75,0,0,0,3,0,0,1,3,12,4.999999999999999,-6
2019-02-23,Sassari,Milano,34.56712328767124,1,22,2,7,0.286,1,4,0.25,2,2,1.0,0,1,1,1,1,0,1,3,7,2.7,8
2019-07-05,Sassari,Cremona,34.92876712328767,1,29,6,16,0.375,2,8,0.25,1,2,0.5,0,0,0,2,0,0,2,4,15,3.5999999999999996,-12
2018-10-06,Sassari,Capo d'Orlando,34.18356164383562,1,22,4,8,0.500,3,4,0.75,0,0,0.0,0,0,0,3,1,0,0,4,11,8.5,-7
2018-12-27,Sassari,Varese,34.40821917808219,1,22,2,4,0.500,2,3,0.667,1,2,0.5,0,0,0,2,1,0,2,3,7,3.8,17
2019-01-31,Sassari,Brindisi,34.50410958904109,1,21,5,11,0.455,2,5,0.4,0,0,0.0,0,0,0,6,1,0,1,1,12,10.1,19
2018-11-07,Sassari,Brescia,34.27123287671233,1,29,7,12,0.583,5,7,0.714,0,0,0.0,0,3,3,5,3,0,1,1,19,19.400000000000006,22
2019-03-26,Sassari,Pistoia,34.652054794520545,1,16,4,4,1.000,1,1,1.0,0,0,0.0,0,0,0,4,1,0,2,3,9,8.400000000000002,5
2019-01-12,Sassari,Venezia,34.45205479452055,1,11,0,5,0.000,0,1,0.0,0,0,0.0,0,2,2,1,2,0,0,1,0,-0.6,-11
2018-09-08,Sassari,Avellino,34.106849315068494,1,23,5,13,0.385,1,7,0.143,2,2,1.0,0,0,0,0,1,0,2,4,13,3.3000000000000007,-9
2019-04-17,Sassari,Trentino,34.71232876712329,1,31,4,11,0.364,1,8,0.125,3,3,1.0,0,1,1,3,1,0,1,3,12,7.100000000000001,20
2018-12-12,Sassari,Cantù,34.367123287671234,1,33,4,14,0.286,1,8,0.125,1,1,1.0,1,0,1,2,1,0,5,3,10,-1.2999999999999998,-17
2018-09-26,Sassari,Torino,34.156164383561645,1,26,2,6,0.333,1,5,0.2,0,0,0.0,1,0,1,3,1,0,4,4,5,-0.19999999999999973,12
2019-05-11,Sassari,Reggio Emilia,34.778082191780825,1,21,1,5,0.200,0,2,0.0,1,1,1.0,0,3,3,1,1,0,0,2,3,1.7,-3
2018-11-03,Sassari,Virtus Bologna,34.26027397260274,0,23,6,13,0.462,3,9,0.333,2,2,1.0,0,1,1,3,1,0,3,5,17,8.7,2
2019-03-21,Sassari,Milano,34.63835616438356,0,25,4,8,0.500,4,8,0.5,6,8,0.75,0,3,3,2,0,0,2,3,18,12.3,-1
2018-10-11,Sassari,Cremona,34.1972602739726,0,15,0,3,0.000,0,3,0.0,0,0,0.0,0,0,0,2,1,0,0,2,0,-0.4999999999999998,5
2019-05-03,Sassari,Capo d'Orlando,34.75616438356165,0,4,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,3,1.3000000000000003,4
2019-04-16,Sassari,Varese,34.70958904109589,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-0.5,-6
2019-07-03,Sassari,Brindisi,34.92328767123288,1,10,1,3,0.333,1,1,1.0,1,2,0.5,0,1,1,0,0,0,0,1,4,1.8000000000000007,-11
2019-06-23,Sassari,Brescia,34.895890410958906,0,19,3,8,0.375,1,4,0.25,1,4,0.25,0,1,1,2,2,0,1,1,8,4.699999999999999,-4
2019-05-29,Sassari,Venezia,34.827397260273976,0,19,4,10,0.400,0,2,0.0,1,1,1.0,0,0,0,1,1,0,0,2,9,4.5,-10
2019-08-06,Sassari,Avellino,35.016438356164386,0,8,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0,-0.09999999999999998,-3
2018-10-20,Sassari,Trentino,34.22191780821918,0,18,4,7,0.571,2,4,0.5,6,7,0.857,1,2,3,0,0,0,0,4,16,12.000000000000002,3
2019-01-07,Sassari,Pesaro,34.43835616438356,0,13,2,4,0.500,1,3,0.333,0,0,0.0,0,0,0,5,0,0,3,1,5,3.0999999999999996,1
2019-07-09,Brescia,Sassari,34.93972602739726,0,18,8,11,0.727,4,7,0.571,0,0,0.0,0,0,0,0,0,0,2,4,20,11.9,23
2019-05-03,Pesaro,Venezia,34.75616438356165,1,30,7,14,0.500,4,9,0.444,3,3,1.0,0,4,4,1,2,0,2,2,21,15.100000000000001,8
