date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-12-08,Torino,Trentino,31.24109589041096,0,24,5,6,0.833,2,3,0.667,0,0,0.0,1,7,8,5,3,0,2,2,12,16.3,11
2018-12-16,Torino,Varese,31.263013698630136,0,26,5,11,0.455,3,8,0.375,2,2,1.0,0,4,4,1,2,0,0,2,15,12.399999999999999,-10
2018-12-23,Torino,Pistoia,31.28219178082192,1,37,2,7,0.286,0,2,0.0,0,0,0.0,1,5,6,8,3,0,1,4,4,8.1,11
2018-12-26,Torino,Avellino,31.29041095890411,1,34,1,9,0.111,1,5,0.2,0,0,0.0,2,10,12,3,1,0,1,2,3,2.8,-19
2018-12-30,Torino,Cremona,31.301369863013697,1,23,3,7,0.429,2,4,0.5,0,0,0.0,0,4,4,2,0,0,0,0,8,6.9,-13
2019-01-06,Torino,Cantù,31.32054794520548,1,33,6,13,0.462,4,9,0.444,0,0,0.0,1,6,7,3,3,0,2,3,16,13.7,-17
2019-01-13,Torino,Pesaro,31.339726027397262,1,36,2,10,0.200,0,4,0.0,2,2,1.0,0,3,3,2,3,1,1,3,6,3.5999999999999996,2
2019-01-20,Torino,Venezia,31.35890410958904,0,28,5,11,0.455,2,4,0.5,4,7,0.571,0,4,4,5,1,0,2,2,16,12.0,7
2019-01-27,Torino,Trieste,31.378082191780823,1,41,7,15,0.467,2,8,0.25,5,5,1.0,1,3,4,6,0,0,3,2,21,15.3,-10
2019-02-03,Torino,Reggio Emilia,31.397260273972602,1,30,5,10,0.500,2,5,0.4,0,0,0.0,1,9,10,5,1,0,2,2,12,12.1,3
2019-02-10,Torino,Sassari,31.416438356164385,1,32,4,11,0.364,2,4,0.5,2,2,1.0,0,3,3,10,2,0,3,3,12,11.600000000000001,19
2019-03-03,Torino,Milano,31.473972602739725,1,37,5,10,0.500,1,5,0.2,3,4,0.75,0,6,6,8,2,0,6,2,14,11.2,-16
2019-03-10,Torino,Brindisi,31.493150684931507,1,34,8,14,0.571,4,7,0.571,2,3,0.667,1,3,4,4,1,0,5,2,22,14.599999999999998,-10
2019-03-17,Torino,Virtus Bologna,31.51232876712329,1,29,4,14,0.286,1,7,0.143,0,0,0.0,0,4,4,6,3,0,1,4,9,6.6,-8
2019-03-24,Torino,Brescia,31.53150684931507,1,37,11,14,0.786,5,8,0.625,1,1,1.0,1,4,5,6,0,0,7,3,28,20.5,2
2019-03-30,Torino,Trentino,31.54794520547945,1,28,5,9,0.556,2,4,0.5,0,0,0.0,1,5,6,5,0,0,1,2,12,11.6,-16
2019-04-07,Torino,Varese,31.56986301369863,1,25,6,10,0.600,3,4,0.75,0,3,0.0,0,6,6,2,1,1,2,2,15,11.299999999999999,3
2019-04-14,Torino,Pistoia,31.589041095890412,1,22,5,9,0.556,2,4,0.5,0,0,0.0,0,1,1,3,2,0,0,4,12,10.5,-7
2019-04-20,Torino,Avellino,31.605479452054794,1,34,3,11,0.273,0,3,0.0,4,5,0.8,0,6,6,2,1,0,1,2,10,5.500000000000001,-25
2019-04-28,Torino,Cremona,31.627397260273973,1,23,1,4,0.250,1,3,0.333,0,0,0.0,0,1,1,2,1,0,2,0,3,1.2999999999999998,13
2019-05-05,Torino,Cantù,31.646575342465752,1,26,5,12,0.417,1,5,0.2,0,0,0.0,2,5,7,4,1,0,2,2,11,8.5,-2
