date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-04-18,Cremona,Pistoia,29.676712328767124,1,28,5,10,0.500,2,4,0.5,2,2,1.0,0,0,0,5,1,0,2,2,14,10.7,19
2019-06-19,Cremona,Trentino,29.846575342465755,1,36,6,13,0.462,2,6,0.333,10,10,1.0,1,1,2,7,2,0,4,2,24,20.399999999999995,-3
2019-05-26,Cremona,Caserta,29.78082191780822,1,30,4,7,0.571,1,1,1.0,11,12,0.917,0,4,4,6,1,0,4,3,20,17.500000000000004,-6
2019-06-13,Cremona,Torino,29.83013698630137,1,24,3,7,0.429,0,2,0.0,1,2,0.5,0,3,3,4,0,0,2,5,7,2.5999999999999996,-1
2018-11-29,Cremona,Venezia,29.293150684931508,1,35,7,18,0.389,3,8,0.375,6,6,1.0,1,2,3,3,3,0,2,1,23,17.200000000000003,1
2019-02-07,Cremona,Brindisi,29.484931506849314,1,19,0,3,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,3,2,0,-5.6,-21
2019-04-18,Cremona,Capo d'Orlando,29.676712328767124,1,36,7,14,0.500,4,10,0.4,6,7,0.857,0,5,5,5,0,0,2,4,24,18.0,-5
2019-01-03,Cremona,Milano,29.389041095890413,1,30,3,12,0.250,2,6,0.333,7,7,1.0,0,3,3,0,2,0,3,2,15,6.9,-9
2018-10-08,Cremona,Sassari,29.15068493150685,1,33,10,11,0.909,2,2,1.0,9,9,1.0,0,2,2,4,2,0,4,2,31,27.900000000000002,1
2018-10-17,Cremona,Pesaro,29.175342465753424,1,34,3,9,0.333,1,2,0.5,10,13,0.769,1,5,6,9,0,1,4,3,17,14.7,12
2019-07-02,Cremona,Brescia,29.88219178082192,1,27,5,14,0.357,1,3,0.333,3,3,1.0,1,1,2,1,1,0,2,2,14,6.1,-13
2018-11-15,Cremona,Avellino,29.254794520547946,1,31,5,8,0.625,2,2,1.0,13,13,1.0,1,2,3,5,1,0,3,0,25,24.2,-2
2019-08-16,Cremona,Cantù,30.005479452054796,1,32,4,7,0.571,2,4,0.5,3,3,1.0,2,6,8,6,1,0,7,2,13,10.299999999999997,2
2019-07-23,Cremona,Varese,29.93972602739726,1,34,3,9,0.000,0,0,0.0,9,10,0.9,1,0,1,10,1,0,3,1,15,14.799999999999997,12
2019-06-26,Cremona,Reggio Emilia,29.865753424657534,1,30,3,5,0.600,1,2,0.5,3,4,0.75,0,6,6,4,3,0,4,4,10,9.299999999999999,13
2018-09-23,Cremona,Pistoia,29.10958904109589,1,34,1,7,0.143,0,3,0.0,7,8,0.875,0,3,3,2,0,0,4,3,9,1.2000000000000002,-4
2019-07-05,Cremona,Trentino,29.89041095890411,1,24,1,6,0.167,1,4,0.25,0,0,0.0,0,0,0,3,1,0,2,1,3,-0.09999999999999964,-14
