date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-02,Venezia,Reggio Emilia,29.438356164383563,1,25,4,7,0.000,0,0,0.0,2,3,0.667,2,6,8,1,0,0,5,2,10,4.399999999999999,-7
2019-05-14,Brescia,Pesaro,30.052054794520547,1,22,3,8,0.000,0,0,0.0,0,0,0.0,4,2,6,0,2,0,3,5,6,2.0,7
2018-12-16,Brescia,Avellino,29.643835616438356,1,29,8,10,0.000,0,0,0.0,3,4,0.75,2,1,3,2,1,0,0,2,19,18.099999999999998,10
2019-07-10,Brescia,Trentino,30.208219178082192,1,27,8,13,0.000,0,0,0.0,1,4,0.25,0,8,8,2,0,2,1,1,17,13.7,0
2019-04-06,Brescia,Varese,29.947945205479453,1,30,8,11,0.000,0,0,0.0,3,4,0.75,3,3,6,0,0,2,2,0,19,16.499999999999996,15
2019-01-13,Brescia,Brindisi,29.720547945205478,1,26,3,4,0.000,0,0,0.0,1,2,0.5,1,8,9,3,0,2,2,4,7,8.0,4
2019-03-11,Brescia,Reggio Emilia,29.876712328767123,1,28,5,7,0.000,0,0,0.0,2,6,0.333,0,5,5,3,1,3,2,2,12,11.4,7
2019-07-11,Brescia,Virtus Bologna,30.21095890410959,1,36,6,10,0.000,0,0,0.0,3,4,0.75,4,6,10,1,0,1,1,2,15,14.199999999999996,0
2018-11-10,Brescia,Capo d'Orlando,29.545205479452054,1,23,5,9,0.000,0,0,0.0,1,4,0.25,0,9,9,0,1,0,0,0,11,9.2,7
2019-02-26,Brescia,Cantù,29.84109589041096,0,25,4,7,0.000,0,0,0.0,0,2,0.0,5,7,12,1,0,2,3,3,8,7.399999999999999,-4
2018-11-07,Brescia,Sassari,29.536986301369865,1,28,6,10,0.000,0,0,0.0,5,6,0.833,4,6,10,0,2,0,1,1,17,17.2,-9
2018-10-31,Brescia,Venezia,29.517808219178082,1,35,10,11,0.000,0,0,0.0,2,7,0.286,1,8,9,1,3,3,0,1,22,24.799999999999997,15
2019-01-15,Brescia,Milano,29.726027397260275,1,29,7,11,0.000,0,0,0.0,2,4,0.5,0,6,6,1,1,0,0,5,16,11.8,3
2019-01-15,Brescia,Cremona,29.726027397260275,1,26,6,8,0.000,0,0,0.0,0,0,0.0,2,10,12,1,2,0,2,3,12,12.7,7
2018-10-05,Brescia,Torino,29.446575342465753,1,21,5,10,0.000,0,0,0.0,1,3,0.333,0,2,2,1,2,0,4,2,11,3.7,-5
2018-10-15,Brescia,Pesaro,29.473972602739725,1,28,6,12,0.000,0,0,0.0,2,7,0.286,2,6,8,1,1,1,2,3,14,8.399999999999999,20
2019-06-20,Brescia,Avellino,30.153424657534245,1,27,5,11,0.000,0,0,0.0,0,0,0.0,3,4,7,2,0,0,3,3,10,4.8,-18
2019-04-11,Brescia,Trentino,29.96164383561644,1,35,11,15,0.000,0,0,0.0,0,0,0.0,2,10,12,1,3,2,2,3,22,22.199999999999996,-5
2018-12-25,Brescia,Varese,29.66849315068493,1,25,4,7,0.000,0,0,0.0,0,1,0.0,1,3,4,0,1,1,2,3,8,4.4,-25
2018-12-20,Brescia,Brindisi,29.654794520547945,1,14,3,6,0.000,0,0,0.0,1,5,0.2,3,1,4,0,0,0,2,3,7,1.5999999999999996,-8
2018-11-20,Brescia,Reggio Emilia,29.572602739726026,1,19,3,9,0.000,0,0,0.0,0,2,0.0,1,2,3,2,0,1,2,1,6,1.1,1
2019-02-14,Brescia,Virtus Bologna,29.808219178082194,1,28,6,8,0.000,0,0,0.0,0,4,0.0,0,10,10,1,1,2,2,2,12,10.5,7
2019-06-12,Brescia,Capo d'Orlando,30.13150684931507,1,25,6,8,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,3,0,3,12,10.899999999999999,0
2018-10-11,Brescia,Cantù,29.46301369863014,1,21,2,3,0.000,0,0,0.0,0,4,0.0,2,4,6,2,0,1,1,4,4,3.1999999999999993,-11
2019-06-23,Brescia,Sassari,30.161643835616438,1,28,6,8,0.000,0,0,0.0,1,4,0.25,2,6,8,0,0,2,2,3,13,10.0,4
2018-11-10,Brescia,Cremona,29.545205479452054,1,11,4,4,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,6,3,8,0.5999999999999996,-9
2019-07-08,Brescia,Pistoia,30.202739726027396,1,26,2,6,0.000,0,0,0.0,4,9,0.444,1,4,5,0,0,0,4,4,8,-1.0999999999999983,-5
2018-10-08,Cremona,Varese,29.454794520547946,0,18,1,7,0.000,0,0,0.0,1,2,0.5,3,1,4,3,0,1,0,2,3,2.5,-8
