date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-25,Cremona,Venezia,37.961643835616435,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-02-28,Cremona,Brindisi,38.054794520547944,0,6,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,2,1.9000000000000001,4
2018-09-23,Cremona,Capo d'Orlando,37.62191780821918,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,1
2018-10-30,Cremona,Milano,37.723287671232875,0,2,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-3
2019-06-29,Cremona,Sassari,38.38630136986301,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Cremona,Pesaro,38.1013698630137,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2
2019-07-13,Cremona,Brescia,38.42465753424658,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-18,Cremona,Avellino,38.35616438356164,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-12,Cremona,Cantù,38.42191780821918,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-22,Cremona,Varese,37.78630136986301,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-02,Cremona,Reggio Emilia,38.394520547945206,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-0.8,-4
