date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-08,Varese,Cremona,32.58082191780822,1,28,1,3,0.000,0,0,0.0,4,6,0.667,1,3,4,0,0,0,1,2,6,3.3000000000000016,0
2019-07-09,Sassari,Brescia,33.33150684931507,1,26,4,9,0.444,1,2,0.5,0,0,0.0,3,2,5,0,0,0,1,4,9,4.399999999999999,0
2019-04-23,Pistoia,Torino,33.12054794520548,1,26,6,14,0.429,1,4,0.25,4,5,0.8,2,4,6,1,0,0,0,3,17,11.299999999999997,27
2019-05-29,Pistoia,Pesaro,33.21917808219178,1,34,4,8,0.500,0,3,0.0,3,6,0.5,3,2,5,4,2,0,4,3,11,8.100000000000001,11
2019-03-26,Pistoia,Sassari,33.04383561643836,1,29,4,11,0.364,2,5,0.4,0,0,0.0,3,5,8,0,0,0,1,4,10,4.9,-20
2019-03-16,Pistoia,Trentino,33.016438356164386,1,32,9,10,0.900,1,2,0.5,3,8,0.375,1,2,3,3,1,0,4,1,22,16.6,-13
2019-02-28,Pistoia,Virtus Bologna,32.97260273972603,1,29,5,11,0.455,0,3,0.0,1,1,1.0,0,6,6,1,2,0,3,3,11,5.600000000000001,-11
2019-01-23,Pistoia,Milano,32.87397260273973,1,26,4,14,0.286,0,2,0.0,5,6,0.833,7,4,11,0,0,1,2,2,13,8.399999999999999,-7
2018-10-10,Pistoia,Capo d'Orlando,32.586301369863016,1,10,1,1,1.000,1,1,1.0,0,0,0.0,1,1,2,3,0,0,1,5,3,2.8,1
2019-05-15,Pistoia,Brindisi,33.18082191780822,1,28,6,9,0.667,1,2,0.5,0,1,0.0,5,1,6,3,1,0,4,3,13,10.400000000000002,-12
2019-01-06,Pistoia,Cremona,32.827397260273976,1,17,4,7,0.571,0,2,0.0,0,0,0.0,1,2,3,4,0,0,2,4,8,5.200000000000001,7
2019-07-17,Pistoia,Avellino,33.35342465753425,1,24,2,8,0.250,0,1,0.0,1,4,0.25,2,2,4,2,0,0,3,2,5,-1.4000000000000001,-32
2019-01-22,Pistoia,Varese,32.87123287671233,1,27,3,6,0.500,0,1,0.0,2,4,0.5,4,4,8,2,0,0,0,2,8,8.799999999999999,2
2018-11-23,Pistoia,Cantù,32.706849315068496,1,25,2,7,0.286,0,2,0.0,5,11,0.455,2,5,7,1,0,0,3,4,9,1.5,4
2019-02-10,Pistoia,Reggio Emilia,32.92328767123288,1,30,4,8,0.500,1,1,1.0,0,2,0.0,0,4,4,0,0,0,1,2,9,3.6000000000000005,-3
2019-01-06,Pistoia,Venezia,32.827397260273976,1,25,5,5,1.000,1,1,1.0,7,12,0.583,5,4,9,2,0,0,3,4,18,15.999999999999996,5
2019-06-23,Pistoia,Torino,33.28767123287671,1,25,5,11,0.455,0,2,0.0,2,4,0.5,4,2,6,0,1,0,3,3,12,5.699999999999999,22
2019-08-26,Pistoia,Pesaro,33.463013698630135,1,33,6,10,0.600,1,4,0.25,1,3,0.333,0,4,4,2,0,0,4,3,14,5.9999999999999964,-4
2019-04-16,Pistoia,Trentino,33.1013698630137,1,25,1,4,0.250,0,2,0.0,5,8,0.625,1,2,3,3,1,0,3,3,7,3.5999999999999996,-23
2019-08-20,Pistoia,Virtus Bologna,33.446575342465756,1,29,6,12,0.500,3,5,0.6,2,2,1.0,1,9,10,2,0,0,3,3,17,11.599999999999998,-11
2019-04-07,Pistoia,Milano,33.07671232876712,1,25,5,8,0.625,2,4,0.5,0,1,0.0,1,5,6,2,0,0,1,2,12,9.799999999999999,-19
2019-07-08,Pistoia,Brescia,33.32876712328767,1,25,8,12,0.667,3,6,0.5,1,2,0.5,3,4,7,2,0,0,3,5,20,14.099999999999998,11
