date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-21,Caserta,Reggio Emilia,33.53150684931507,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-10-21,Caserta,Varese,32.865753424657534,0,14,2,6,0.333,1,2,0.5,2,4,0.5,1,2,3,0,0,0,1,0,7,3.1000000000000005,-5
2019-05-26,Caserta,Cremona,33.46027397260274,0,6,0,1,0.000,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,1,2,1.2000000000000002,-4
2019-05-11,Caserta,Pistoia,33.419178082191785,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,0,1.2999999999999998,2
2018-09-29,Caserta,Milano,32.8054794520548,0,5,1,2,0.500,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.0,-7
2019-01-10,Caserta,Trentino,33.087671232876716,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-11-20,Caserta,Cantù,32.94794520547945,0,6,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,-1
2019-06-24,Caserta,Capo d'Orlando,33.53972602739726,0,3,0,0,0.000,0,0,0.0,3,3,1.0,0,0,0,0,0,0,1,0,3,2.0,7
2019-08-27,Caserta,Venezia,33.71506849315068,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,-4
2019-08-05,Caserta,Brescia,33.654794520547945,0,10,1,4,0.250,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,0,3,0.6000000000000001,-3
2019-07-20,Caserta,Torino,33.61095890410959,0,10,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,3,1.9000000000000004,-14
2019-03-02,Caserta,Pesaro,33.227397260273975,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-01,Caserta,Brindisi,33.558904109589044,0,21,3,7,0.429,2,5,0.4,0,0,0.0,1,1,2,1,0,0,0,1,8,5.6,-23
2019-07-06,Caserta,Avellino,33.57260273972603,0,4,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2.0,-8
2018-09-13,Caserta,Sassari,32.76164383561644,1,13,0,0,0.000,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,2,0,1.8999999999999997,-3
