date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-03-31,Torino,Brindisi,24.523287671232875,0,11,1,3,0.000,0,0,0.0,0,0,0.0,2,3,5,2,0,1,1,3,2,2.5,6
2018-11-03,Torino,Virtus Bologna,24.117808219178084,0,15,4,4,0.000,0,0,0.0,2,2,1.0,4,3,7,1,0,0,1,3,10,11.0,-6
2019-02-09,Torino,Brescia,24.386301369863013,0,20,1,5,0.000,0,0,0.0,2,4,0.5,4,3,7,1,0,0,2,2,4,1.7000000000000002,-8
2018-09-10,Torino,Trentino,23.96986301369863,0,12,5,5,0.000,0,0,0.0,0,0,0.0,2,5,7,0,0,1,1,1,10,10.7,2
2019-08-06,Torino,Varese,24.873972602739727,0,8,0,0,0.000,0,0,0.0,0,2,0.0,1,1,2,1,0,0,0,0,0,0.8999999999999999,-1
2018-10-03,Torino,Pistoia,24.03287671232877,0,16,7,7,0.000,0,0,0.0,0,0,0.0,1,3,4,0,1,0,2,1,14,12.100000000000001,3
2018-10-28,Torino,Avellino,24.101369863013698,0,6,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,1.6,-5
2019-07-27,Torino,Cremona,24.846575342465755,0,12,3,4,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,2,6,4.300000000000001,7
2018-10-15,Torino,Cantù,24.065753424657533,1,10,1,2,0.000,0,0,0.0,0,2,0.0,1,2,3,0,0,1,0,0,2,2.2,-4
2018-12-26,Torino,Pesaro,24.263013698630136,0,5,0,0,0.000,0,0,0.0,2,4,0.5,0,1,1,0,0,0,0,0,2,1.5,-2
2019-01-21,Torino,Venezia,24.334246575342465,1,30,7,8,0.000,0,0,0.0,2,2,1.0,4,4,8,1,0,0,3,0,16,14.899999999999999,2
2019-02-06,Torino,Trieste,24.378082191780823,1,29,6,10,0.000,0,0,0.0,2,4,0.5,2,4,6,1,0,0,2,4,14,8.299999999999997,3
2018-10-24,Torino,Reggio Emilia,24.09041095890411,1,29,3,6,0.000,0,0,0.0,4,6,0.667,3,10,13,2,1,2,1,0,10,14.100000000000001,17
2019-08-15,Torino,Sassari,24.898630136986302,1,27,7,11,0.636,0,1,0.0,4,6,0.667,4,8,12,1,2,0,0,2,18,19.4,9
2019-04-24,Torino,Milano,24.589041095890412,1,26,7,10,0.000,0,0,0.0,2,2,1.0,4,7,11,4,4,2,2,1,16,22.500000000000004,-2
2019-04-10,Torino,Brindisi,24.55068493150685,1,21,7,8,0.000,0,0,0.0,1,4,0.25,3,3,6,0,0,0,3,2,15,10.2,0
2019-06-08,Torino,Virtus Bologna,24.71232876712329,1,28,7,7,0.000,0,0,0.0,2,5,0.4,4,8,12,1,0,1,1,0,16,18.3,-2
2019-01-18,Torino,Brescia,24.326027397260273,1,28,3,9,0.000,0,0,0.0,3,7,0.429,2,2,4,2,2,0,3,1,9,4.299999999999999,1
2018-09-11,Torino,Trentino,23.972602739726028,1,24,6,7,0.000,0,0,0.0,3,5,0.6,3,2,5,2,0,0,2,0,15,13.799999999999999,-12
2019-02-06,Torino,Varese,24.378082191780823,1,19,1,2,0.000,0,0,0.0,0,2,0.0,1,3,4,0,0,1,3,1,2,-0.8999999999999999,5
2019-03-03,Torino,Pistoia,24.446575342465753,1,35,8,14,0.571,0,1,0.0,1,2,0.5,9,10,19,5,1,0,1,5,17,20.8,-1
2018-10-19,Torino,Avellino,24.076712328767123,1,26,6,11,0.000,0,0,0.0,5,6,0.833,5,1,6,0,1,1,2,1,17,14.400000000000002,-25
2019-07-27,Torino,Cremona,24.846575342465755,1,23,14,19,0.000,0,0,0.0,3,10,0.3,5,3,8,1,1,0,2,3,31,23.400000000000002,-17
2019-04-05,Torino,Cantù,24.536986301369865,1,19,3,6,0.000,0,0,0.0,0,0,0.0,5,7,12,2,0,0,1,2,6,8.200000000000001,-5
2019-07-28,Torino,Pesaro,24.84931506849315,1,25,8,12,0.667,0,1,0.0,3,7,0.429,2,8,10,0,0,0,1,1,19,14.6,13
