date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-21,Reggio Emilia,Caserta,32.153424657534245,0,13,1,5,0.200,1,3,0.333,2,2,1.0,1,1,2,1,2,0,3,0,5,2.6000000000000005,-10
2019-05-25,Reggio Emilia,Sassari,32.07945205479452,1,21,5,12,0.417,1,5,0.2,0,0,0.0,1,3,4,2,0,1,0,3,11,7.1000000000000005,7
2019-05-06,Reggio Emilia,Brindisi,32.02739726027397,1,16,1,3,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,0,4,1,2,-2.9,-11
2018-09-30,Reggio Emilia,Venezia,31.43013698630137,1,14,2,5,0.400,0,2,0.0,2,2,1.0,0,3,3,3,1,1,5,0,6,2.999999999999999,8
2018-10-16,Reggio Emilia,Trentino,31.473972602739725,1,17,0,1,0.000,0,1,0.0,0,2,0.0,0,3,3,0,0,1,1,3,0,-2.1000000000000005,1
2019-02-27,Reggio Emilia,Cantù,31.84109589041096,1,27,2,10,0.200,0,6,0.0,2,2,1.0,3,8,11,5,3,1,3,4,6,6.899999999999999,15
2019-05-05,Reggio Emilia,Avellino,32.02465753424658,1,22,2,5,0.400,2,3,0.667,1,4,0.25,0,1,1,2,1,1,1,4,7,3.8999999999999986,12
2019-03-06,Reggio Emilia,Pesaro,31.86027397260274,1,20,1,6,0.167,0,4,0.0,0,0,0.0,1,3,4,1,0,1,2,1,2,-1.1999999999999997,-4
2019-07-25,Reggio Emilia,Brescia,32.24657534246575,1,16,1,4,0.250,0,1,0.0,0,0,0.0,1,2,3,1,1,0,1,3,2,0.39999999999999947,-5
2019-02-24,Reggio Emilia,Capo d'Orlando,31.83287671232877,0,19,1,6,0.167,0,1,0.0,0,0,0.0,1,2,3,0,1,2,1,1,2,0.5000000000000004,8
2019-07-31,Reggio Emilia,Varese,32.26301369863014,0,14,2,6,0.333,0,1,0.0,0,2,0.0,3,1,4,2,0,1,2,2,4,1.5,-8
2018-09-03,Reggio Emilia,Torino,31.356164383561644,0,21,4,9,0.444,0,1,0.0,1,3,0.333,1,4,5,0,0,2,2,1,9,4.4,-8
2018-10-19,Reggio Emilia,Milano,31.482191780821918,0,17,2,4,0.500,1,1,1.0,2,2,1.0,1,1,2,4,0,2,0,1,7,9.8,18
2019-01-24,Reggio Emilia,Pistoia,31.747945205479454,0,13,1,2,0.000,0,0,0.0,0,0,0.0,0,1,1,1,1,0,3,3,2,-1.2000000000000002,-1
2019-06-26,Reggio Emilia,Cremona,32.16712328767123,0,22,4,8,0.500,1,3,0.333,2,2,1.0,1,1,2,1,3,0,3,2,11,7.899999999999999,-1
