date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-30,Cantù,Milano,32.26301369863014,1,33,8,10,0.000,0,0,0.0,4,5,0.8,9,3,12,3,0,1,4,2,20,20.999999999999993,-25
2019-06-22,Cantù,Brescia,32.654794520547945,1,33,6,9,0.000,0,0,0.0,4,6,0.667,4,5,9,3,0,2,4,2,16,14.299999999999994,-16
2019-06-14,Cantù,Venezia,32.632876712328766,1,28,4,6,0.000,0,0,0.0,2,4,0.5,3,6,9,3,2,1,1,2,10,13.499999999999998,-23
2019-07-24,Cantù,Varese,32.74246575342466,1,30,0,1,0.000,0,0,0.0,4,6,0.667,2,2,4,0,0,0,1,3,4,2.3,-21
2018-12-17,Cantù,Pistoia,32.14246575342466,1,36,11,15,0.733,1,1,1.0,2,3,0.667,3,8,11,7,1,4,1,2,25,29.9,23
2018-10-15,Cantù,Torino,31.96986301369863,1,35,10,14,0.714,0,1,0.0,2,2,1.0,3,6,9,0,0,1,0,0,22,20.800000000000004,-5
2019-08-03,Cantù,Sassari,32.76986301369863,1,34,8,13,0.000,0,0,0.0,8,11,0.727,1,4,5,5,0,0,0,5,24,20.3,-3
2018-12-05,Cantù,Avellino,32.10958904109589,1,33,5,9,0.000,0,0,0.0,5,6,0.833,3,12,15,3,0,1,2,4,15,15.199999999999996,6
2019-05-03,Cantù,Trentino,32.517808219178086,1,36,9,15,0.000,0,0,0.0,4,4,1.0,2,7,9,5,0,1,5,3,22,16.6,2
2018-11-05,Cantù,Cremona,32.02739726027397,1,35,11,18,0.000,0,0,0.0,2,2,1.0,4,11,15,4,0,0,1,1,24,23.3,18
2018-10-07,Cantù,Reggio Emilia,31.947945205479453,1,33,9,16,0.563,1,2,0.5,13,15,0.867,2,7,9,2,2,0,4,3,32,25.3,-8
2019-01-21,Cantù,Brindisi,32.23835616438356,1,32,6,9,0.000,0,0,0.0,3,6,0.5,3,4,7,1,1,1,5,3,15,9.399999999999995,-2
2018-09-02,Cantù,Virtus Bologna,31.852054794520548,1,33,10,17,0.000,0,0,0.0,7,9,0.778,6,3,9,0,1,0,2,3,27,21.2,1
2018-11-21,Cantù,Pesaro,32.07123287671233,1,32,6,11,0.000,0,0,0.0,1,5,0.2,3,6,9,0,1,0,4,4,13,5.4,-5
2018-11-10,Cantù,Trieste,32.04109589041096,1,33,5,11,0.000,0,0,0.0,0,2,0.0,2,3,5,1,2,0,1,0,10,7.5,-14
2018-12-28,Cantù,Milano,32.17260273972603,1,35,4,10,0.000,0,0,0.0,3,4,0.75,1,7,8,3,1,1,2,4,11,8.2,-8
2018-12-16,Cantù,Brescia,32.13972602739726,1,32,5,13,0.000,0,0,0.0,3,3,1.0,2,4,6,0,1,0,4,3,13,4.300000000000001,0
2019-01-20,Cantù,Venezia,32.23561643835617,1,37,10,16,0.000,0,0,0.0,6,10,0.6,5,7,12,1,0,2,2,4,26,21.299999999999997,-6
2019-08-24,Cantù,Varese,32.827397260273976,1,30,8,8,0.000,0,0,0.0,3,6,0.5,4,6,10,1,0,0,1,1,19,19.300000000000004,1
2018-10-15,Cantù,Pistoia,31.96986301369863,1,33,7,12,0.583,1,2,0.5,4,8,0.5,4,1,5,3,2,0,2,2,19,16.2,9
2019-04-05,Cantù,Torino,32.441095890410956,1,34,6,10,0.600,2,2,1.0,2,4,0.5,2,6,8,2,1,0,2,2,16,13.399999999999995,10
2019-01-18,Cantù,Sassari,32.23013698630137,1,32,10,17,0.588,1,2,0.5,3,6,0.5,2,6,8,3,1,2,2,4,24,19.0,0
2019-04-09,Cantù,Trentino,32.45205479452055,1,28,7,11,0.000,0,0,0.0,2,4,0.5,1,4,5,3,0,0,5,3,16,8.099999999999998,2
2019-01-09,Cantù,Cremona,32.205479452054796,1,34,11,17,0.000,0,0,0.0,3,4,0.75,2,5,7,4,0,0,3,2,25,19.0,23
2018-12-11,Cantù,Reggio Emilia,32.12602739726027,1,31,5,8,0.000,0,0,0.0,3,6,0.5,6,4,10,5,0,2,3,5,13,13.499999999999996,6
2019-06-25,Cantù,Brindisi,32.66301369863014,1,34,10,16,0.000,0,0,0.0,3,5,0.6,4,6,10,0,0,2,1,2,23,19.2,-8
2019-03-11,Cantù,Virtus Bologna,32.37260273972603,1,34,10,14,0.000,0,0,0.0,2,3,0.667,6,5,11,4,0,0,2,3,22,21.1,-4
2019-01-17,Cantù,Pesaro,32.227397260273975,1,32,5,15,0.000,0,0,0.0,1,3,0.333,4,5,9,2,1,0,2,4,11,4.800000000000001,3
2019-06-29,Cantù,Trieste,32.673972602739724,1,28,3,6,0.000,0,0,0.0,0,2,0.0,3,5,8,2,1,0,3,3,6,4.000000000000001,-26
