date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-09-09,Milano,Pistoia,31.613698630136987,0,9,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-1.1,5
2018-10-12,Milano,Pesaro,31.704109589041096,0,20,4,8,0.500,1,5,0.2,0,0,0.0,0,5,5,2,0,0,0,0,9,7.9,11
2018-12-11,Milano,Torino,31.86849315068493,0,20,3,8,0.375,2,5,0.4,0,0,0.0,0,3,3,3,1,0,1,1,8,6.199999999999999,24
2018-12-02,Milano,Reggio Emilia,31.843835616438355,0,17,4,8,0.500,2,6,0.333,1,1,1.0,0,0,0,1,1,0,0,0,11,8.7,1
2019-06-08,Milano,Venezia,32.35890410958904,0,13,0,2,0.000,0,2,0.0,4,4,1.0,0,0,0,2,0,0,3,1,4,0.6000000000000001,-12
2018-12-09,Milano,Cremona,31.863013698630137,0,20,2,8,0.250,0,5,0.0,3,3,1.0,0,0,0,2,1,0,1,2,7,2.8,3
2019-01-30,Milano,Cantù,32.00547945205479,1,22,3,7,0.429,3,5,0.6,2,2,1.0,0,1,1,1,0,0,1,2,11,6.499999999999999,7
2019-05-03,Milano,Sassari,32.26027397260274,0,18,2,6,0.333,2,5,0.4,0,0,0.0,0,1,1,1,0,0,1,1,6,2.2000000000000006,-2
2018-11-18,Milano,Varese,31.805479452054794,0,13,2,6,0.333,0,2,0.0,2,3,0.667,1,1,2,0,0,0,0,1,6,2.8000000000000003,-5
2018-10-13,Milano,Brescia,31.706849315068492,0,21,7,12,0.583,3,7,0.429,2,2,1.0,0,0,0,3,0,0,1,0,19,14.500000000000002,12
2018-10-20,Milano,Avellino,31.726027397260275,0,18,2,5,0.400,1,3,0.333,0,0,0.0,1,4,5,2,0,0,0,4,5,3.9999999999999996,-3
2019-04-20,Milano,Trentino,32.224657534246575,0,23,4,7,0.571,2,5,0.4,0,0,0.0,0,0,0,4,2,0,3,0,10,8.5,-4
2019-03-06,Milano,Trieste,32.1013698630137,0,23,7,11,0.636,5,6,0.833,0,0,0.0,1,6,7,0,1,0,2,2,19,14.8,5
2018-09-17,Milano,Brindisi,31.635616438356166,0,29,6,10,0.600,4,7,0.571,5,5,1.0,0,1,1,4,0,0,3,2,21,15.7,3
2019-08-18,Milano,Virtus Bologna,32.553424657534244,0,28,5,10,0.500,1,5,0.2,5,5,1.0,0,2,2,4,0,0,4,3,16,9.2,15
2019-02-07,Milano,Pesaro,32.02739726027397,1,22,3,8,0.375,1,5,0.2,0,0,0.0,1,1,2,4,1,0,0,1,7,6.999999999999999,8
2019-04-24,Milano,Torino,32.23561643835617,0,20,3,6,0.500,2,5,0.4,0,0,0.0,0,2,2,1,0,0,1,1,8,4.8999999999999995,21
2019-03-31,Milano,Cremona,32.16986301369863,0,26,3,9,0.333,0,3,0.0,0,0,0.0,0,4,4,2,1,0,1,5,6,1.5,-11
2018-12-28,Milano,Cantù,31.915068493150685,0,18,2,7,0.286,1,4,0.25,4,4,1.0,0,2,2,1,1,1,1,1,9,6.500000000000001,3
2019-02-17,Milano,Avellino,32.054794520547944,1,34,5,10,0.500,3,6,0.5,4,5,0.8,0,5,5,2,2,1,0,3,17,16.0,7
2019-05-02,Milano,Trentino,32.25753424657534,1,36,4,7,0.571,3,6,0.5,0,2,0.0,0,3,3,3,1,0,1,1,11,9.5,4
2018-12-18,Milano,Trieste,31.887671232876713,1,21,3,7,0.429,2,4,0.5,1,2,0.5,1,1,2,3,1,0,1,4,9,6.4,0
2018-11-29,Milano,Avellino,31.835616438356166,0,37,7,14,0.500,6,12,0.5,3,7,0.429,0,4,4,2,0,0,3,1,23,13.600000000000001,-6
2018-10-12,Milano,Reggio Emilia,31.704109589041096,0,24,5,8,0.625,4,7,0.571,2,4,0.5,0,1,1,4,1,0,0,2,16,14.899999999999999,8
2019-05-22,Milano,Torino,32.31232876712329,0,23,4,13,0.308,2,8,0.25,0,0,0.0,0,1,1,4,2,0,3,1,10,4.199999999999999,-15
2019-04-03,Milano,Cantù,32.178082191780824,1,24,4,9,0.444,3,7,0.429,0,0,0.0,0,1,1,3,3,0,1,3,11,9.5,5
2019-01-15,Milano,Brescia,31.964383561643835,0,24,0,4,0.000,0,3,0.0,0,0,0.0,0,1,1,5,2,0,0,1,0,2.6,-14
2018-11-10,Milano,Pesaro,31.78356164383562,0,24,5,11,0.455,4,8,0.5,2,2,1.0,0,2,2,0,1,0,4,3,16,6.699999999999999,13
2019-01-23,Milano,Pistoia,31.986301369863014,0,17,1,5,0.200,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,3,0.1999999999999999,6
2018-10-31,Milano,Cremona,31.756164383561643,1,25,4,7,0.571,1,4,0.25,0,0,0.0,0,1,1,2,2,0,0,2,9,8.6,2
2018-10-05,Milano,Varese,31.684931506849317,0,19,2,4,0.500,1,3,0.333,0,0,0.0,0,0,0,0,0,0,2,1,5,0.6000000000000001,-5
2019-05-16,Milano,Capo d'Orlando,32.295890410958904,0,21,1,5,0.200,0,3,0.0,0,0,0.0,0,1,1,3,0,0,1,4,2,-1.3000000000000005,11
2019-06-24,Milano,Brindisi,32.4027397260274,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-7
2019-03-21,Milano,Sassari,32.14246575342466,0,20,5,8,0.625,2,5,0.4,3,3,1.0,0,1,1,3,1,0,0,1,15,14.4,-2
2019-01-12,Milano,Virtus Bologna,31.956164383561646,0,15,4,9,0.444,1,4,0.25,0,0,0.0,1,1,2,1,0,0,1,2,9,4.2,7
2019-02-02,Milano,Trentino,32.013698630136986,1,24,3,5,0.600,2,4,0.5,0,0,0.0,0,2,2,4,0,0,4,3,8,3.8999999999999977,1
2018-09-02,Milano,Avellino,31.594520547945205,0,20,3,9,0.333,1,3,0.333,2,2,1.0,0,5,5,4,0,0,2,1,9,5.799999999999999,5
2019-05-28,Milano,Reggio Emilia,32.32876712328767,0,22,5,9,0.556,2,4,0.5,0,0,0.0,0,3,3,4,0,0,4,1,12,6.999999999999998,24
2019-08-28,Milano,Torino,32.58082191780822,0,25,3,6,0.500,1,3,0.333,4,4,1.0,0,2,2,5,0,0,1,2,11,10.299999999999999,12
2019-05-14,Milano,Brescia,32.29041095890411,0,33,5,10,0.500,2,6,0.333,0,0,0.0,0,0,0,4,1,0,2,3,12,7.600000000000001,0
2018-09-25,Milano,Pesaro,31.65753424657534,0,27,1,9,0.111,1,7,0.143,4,4,1.0,0,2,2,1,0,0,1,2,7,0.6000000000000003,-2
2019-04-07,Milano,Pistoia,32.18904109589041,0,21,3,7,0.429,3,7,0.429,3,4,0.75,0,0,0,4,0,0,0,1,12,10.299999999999999,17
2018-12-06,Milano,Venezia,31.854794520547944,0,24,2,9,0.222,1,6,0.167,0,0,0.0,2,0,2,4,2,0,2,4,5,2.0999999999999996,0
2019-01-28,Pistoia,Pesaro,32.0,0,23,5,9,0.556,2,5,0.4,0,2,0.0,0,4,4,5,1,0,1,1,12,11.2,7
