date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-11-19,Varese,Trentino,31.46849315068493,1,37,7,11,0.636,6,10,0.6,0,0,0.0,2,1,3,3,0,0,3,4,20,14.299999999999997,-12
2019-08-29,Varese,Venezia,32.24383561643835,1,35,9,17,0.529,4,9,0.444,1,1,1.0,2,4,6,0,0,0,2,0,23,15.3,-10
2019-07-23,Varese,Cremona,32.14246575342466,1,32,2,7,0.286,2,5,0.4,2,2,1.0,0,1,1,2,0,0,1,4,8,3.0000000000000018,-15
2019-03-09,Varese,Torino,31.76986301369863,1,35,8,22,0.364,3,15,0.2,0,0,0.0,0,3,3,1,0,1,0,1,19,8.7,-10
2019-06-17,Varese,Sassari,32.04383561643836,1,40,6,14,0.429,2,7,0.286,0,0,0.0,0,1,1,1,1,0,1,0,14,7.6,-9
2019-08-06,Varese,Caserta,32.18082191780822,1,37,9,15,0.600,4,8,0.5,4,4,1.0,0,3,3,0,0,0,3,2,26,16.2,10
2019-06-19,Varese,Milano,32.04931506849315,1,34,3,13,0.231,3,10,0.3,4,5,0.8,1,2,3,3,2,0,4,2,13,5.299999999999997,-3
2019-08-14,Varese,Brindisi,32.202739726027396,1,32,3,9,0.333,3,5,0.6,1,2,0.5,0,3,3,1,1,0,4,0,10,3.0999999999999988,-20
2019-07-17,Varese,Pistoia,32.12602739726027,1,33,8,17,0.471,2,7,0.286,5,6,0.833,0,1,1,1,1,0,3,3,23,11.7,-1
2018-12-24,Varese,Avellino,31.564383561643837,1,38,5,13,0.385,1,5,0.2,2,2,1.0,0,0,0,1,0,0,4,2,13,1.8000000000000007,7
2018-09-08,Varese,Pesaro,31.27123287671233,1,36,8,15,0.533,4,8,0.5,0,0,0.0,0,4,4,2,1,0,2,1,20,13.899999999999997,1
2018-10-21,Varese,Brescia,31.389041095890413,1,35,11,18,0.611,8,14,0.571,0,0,0.0,0,3,3,5,2,0,4,3,30,22.999999999999996,15
2019-03-31,Varese,Capo d'Orlando,31.83013698630137,1,39,4,13,0.308,0,5,0.0,7,7,1.0,0,6,6,2,1,1,0,0,15,12.4,3
2018-09-06,Varese,Cantù,31.265753424657536,1,36,4,10,0.400,2,4,0.5,0,1,0.0,0,3,3,2,0,0,1,1,10,5.1,11
2019-05-15,Varese,Reggio Emilia,31.953424657534246,1,30,6,17,0.353,1,5,0.2,4,5,0.8,1,2,3,0,0,0,5,4,17,1.8000000000000007,1
2019-05-23,Varese,Trentino,31.975342465753425,1,29,7,14,0.500,3,10,0.3,2,2,1.0,0,3,3,2,0,0,2,4,19,10.700000000000003,1
2018-10-21,Varese,Venezia,31.389041095890413,1,35,5,14,0.357,4,10,0.4,6,9,0.667,0,2,2,3,0,1,1,0,20,13.399999999999999,-2
2018-11-22,Varese,Cremona,31.476712328767125,1,38,7,20,0.350,2,9,0.222,2,2,1.0,1,3,4,4,3,1,2,2,18,12.099999999999998,-1
2018-11-01,Varese,Torino,31.41917808219178,1,36,6,16,0.375,1,5,0.2,3,4,0.75,0,4,4,3,0,0,3,0,16,7.099999999999998,-8
2019-04-17,Venezia,Varese,31.876712328767123,1,31,8,13,0.615,5,9,0.556,1,1,1.0,0,3,3,2,0,0,1,0,22,17.4,24
2019-03-22,Venezia,Trentino,31.805479452054794,1,26,5,11,0.455,3,8,0.375,3,3,1.0,2,1,3,1,0,0,2,3,16,9.5,18
2019-06-21,Venezia,Brindisi,32.054794520547944,1,32,3,8,0.375,3,4,0.75,5,6,0.833,0,1,1,4,1,0,1,1,14,11.9,-5
2019-03-04,Venezia,Cremona,31.756164383561643,1,21,5,10,0.500,2,4,0.5,0,0,0.0,0,3,3,1,0,0,0,1,12,8.2,8
2019-08-18,Venezia,Virtus Bologna,32.21369863013699,1,33,7,11,0.636,4,7,0.571,1,1,1.0,0,4,4,5,3,0,1,1,19,20.400000000000002,0
2018-12-24,Venezia,Torino,31.564383561643837,1,31,3,11,0.273,2,6,0.333,2,4,0.5,0,1,1,7,1,0,1,2,10,7.099999999999998,0
2019-01-22,Venezia,Cantù,31.643835616438356,1,36,2,10,0.200,0,4,0.0,4,4,1.0,1,2,3,10,0,0,0,3,8,8.900000000000002,-2
2018-09-02,Venezia,Pistoia,31.254794520547946,0,27,6,11,0.545,4,6,0.667,2,2,1.0,0,4,4,1,0,0,1,1,18,13.199999999999998,5
2019-01-23,Venezia,Avellino,31.646575342465752,1,24,3,7,0.429,2,5,0.4,6,7,0.857,0,4,4,1,1,0,2,4,14,9.2,-9
2019-02-15,Venezia,Reggio Emilia,31.709589041095892,1,36,3,10,0.300,1,4,0.25,2,2,1.0,1,6,7,4,1,0,2,2,9,6.699999999999999,2
2018-10-31,Venezia,Brescia,31.416438356164385,1,25,4,11,0.364,3,8,0.375,0,0,0.0,0,4,4,3,1,0,2,5,11,5.199999999999999,-5
2019-01-12,Venezia,Sassari,31.616438356164384,1,37,2,7,0.286,1,6,0.167,3,4,0.75,0,1,1,1,1,0,0,5,8,3.500000000000001,5
2019-08-23,Venezia,Capo d'Orlando,32.227397260273975,1,27,4,11,0.364,1,6,0.167,0,0,0.0,0,3,3,3,1,0,3,5,9,1.9000000000000004,19
2019-08-14,Venezia,Pesaro,32.202739726027396,1,18,2,10,0.200,1,6,0.167,0,0,0.0,2,2,4,3,2,0,2,2,5,2.0999999999999996,9
