date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-04,Cantù,Venezia,30.336986301369862,0,20,3,7,0.429,0,1,0.0,0,0,0.0,2,1,3,2,2,0,2,3,6,4.2,-11
2018-09-29,Cantù,Brescia,29.65753424657534,0,35,9,13,0.692,0,1,0.0,1,1,1.0,2,10,12,1,0,1,1,3,19,17.1,-16
2019-08-30,Cantù,Pesaro,30.575342465753426,0,22,5,6,0.000,0,0,0.0,1,2,0.5,1,1,2,0,0,2,1,3,11,8.600000000000001,-1
2019-04-10,Cantù,Sassari,30.186301369863013,0,19,6,9,0.000,0,0,0.0,3,4,0.75,5,3,8,0,0,2,2,2,15,13.699999999999996,10
2019-04-09,Cantù,Capo d'Orlando,30.183561643835617,0,29,1,4,0.000,0,0,0.0,0,0,0.0,1,3,4,1,1,2,3,3,2,0.10000000000000053,-14
2019-02-27,Cantù,Reggio Emilia,30.07123287671233,1,28,5,10,0.000,0,0,0.0,3,4,0.75,4,6,10,1,1,3,3,4,13,11.399999999999999,-2
2018-11-20,Cantù,Caserta,29.8,1,31,7,14,0.000,0,0,0.0,1,1,1.0,4,6,10,2,0,2,2,2,15,12.600000000000001,7
2019-01-08,Cantù,Brindisi,29.934246575342467,1,37,11,17,0.000,0,0,0.0,10,12,0.833,6,6,12,1,1,3,3,1,32,30.1,-8
2019-08-22,Cantù,Torino,30.553424657534247,1,35,5,9,0.556,0,1,0.0,2,6,0.333,1,5,6,2,1,1,3,4,12,6.800000000000001,-11
2019-03-28,Cantù,Varese,30.15068493150685,1,37,11,15,0.000,0,0,0.0,2,3,0.667,5,6,11,0,3,2,3,4,24,22.599999999999998,10
2019-08-02,Cantù,Avellino,30.4986301369863,1,39,13,19,0.684,3,4,0.75,6,6,1.0,4,10,14,0,1,1,2,1,35,32.00000000000001,1
2019-05-07,Cantù,Pistoia,30.26027397260274,1,44,11,20,0.550,3,6,0.5,7,7,1.0,4,3,7,0,4,2,4,3,32,26.299999999999997,-6
2019-08-16,Cantù,Cremona,30.536986301369865,1,40,8,18,0.444,2,5,0.4,2,4,0.5,2,6,8,5,2,2,2,2,20,17.099999999999998,1
2018-12-28,Cantù,Trentino,29.904109589041095,1,39,10,18,0.556,0,3,0.0,0,0,0.0,1,9,10,2,1,0,5,3,20,11.0,8
2019-06-12,Cantù,Venezia,30.35890410958904,1,36,8,17,0.471,1,2,0.5,1,1,1.0,2,6,8,1,1,3,4,4,18,10.699999999999998,-20
2019-06-30,Cantù,Brescia,30.40821917808219,1,37,6,12,0.500,1,3,0.333,1,2,0.5,2,9,11,1,2,1,2,1,14,12.699999999999998,11
2019-05-02,Cantù,Pesaro,30.246575342465754,1,33,6,14,0.429,2,3,0.667,8,11,0.727,2,7,9,1,2,3,0,4,22,20.099999999999994,-2
2018-09-10,Cantù,Capo d'Orlando,29.605479452054794,1,34,6,17,0.353,1,4,0.25,1,2,0.5,3,4,7,2,2,0,1,2,14,8.999999999999998,-6
2019-01-17,Cantù,Milano,29.958904109589042,1,37,7,15,0.467,2,5,0.4,4,5,0.8,1,3,4,3,0,0,2,1,20,13.2,-9
2018-09-10,Cantù,Reggio Emilia,29.605479452054794,1,25,9,17,0.529,2,2,1.0,8,9,0.889,2,5,7,1,1,0,1,4,28,21.3,15
2018-09-06,Cantù,Caserta,29.594520547945205,1,29,12,20,0.600,2,6,0.333,9,9,1.0,2,3,5,1,1,1,0,3,35,29.299999999999994,13
2018-10-05,Cantù,Brindisi,29.673972602739727,1,36,8,12,0.667,3,4,0.75,1,2,0.5,2,5,7,1,0,3,3,2,20,16.3,7
2019-01-12,Cantù,Torino,29.945205479452056,1,30,4,12,0.333,0,3,0.0,0,0,0.0,1,1,2,0,2,0,1,4,8,1.600000000000001,-14
2018-09-06,Cantù,Varese,29.594520547945205,1,30,7,12,0.583,3,3,1.0,2,2,1.0,2,2,4,1,1,2,0,2,19,17.7,-20
2019-01-29,Cantù,Avellino,29.991780821917807,1,32,5,12,0.417,0,2,0.0,7,8,0.875,2,1,3,1,0,1,4,2,17,8.5,-15
2019-06-27,Cantù,Pistoia,30.4,1,35,9,17,0.529,1,3,0.333,8,8,1.0,6,4,10,0,2,2,4,2,27,22.7,-9
2019-07-12,Cantù,Cremona,30.44109589041096,1,31,11,19,0.579,1,3,0.333,1,2,0.5,3,4,7,1,3,1,4,3,24,17.199999999999996,-2
2019-02-10,Cantù,Trentino,30.024657534246575,1,35,3,9,0.333,1,2,0.5,7,9,0.778,2,4,6,1,1,1,4,2,14,8.299999999999995,-8
2019-04-03,Cantù,Milano,30.167123287671235,1,27,4,11,0.364,0,3,0.0,4,4,1.0,0,3,3,4,2,2,3,3,12,8.8,-10
