date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-09,Pistoia,Pesaro,28.504109589041096,1,30,8,13,0.615,4,7,0.571,0,1,0.0,1,6,7,4,3,0,3,2,20,18.2,-11
2019-08-12,Pistoia,Venezia,28.67945205479452,1,31,5,13,0.385,1,3,0.333,4,4,1.0,0,2,2,1,2,0,2,3,15,8.0,-16
2018-09-09,Pistoia,Milano,27.756164383561643,1,31,8,15,0.533,2,2,1.0,3,3,1.0,2,4,6,5,1,0,2,3,21,17.6,-18
2019-04-21,Pistoia,Brindisi,28.36986301369863,1,38,6,10,0.600,1,2,0.5,3,5,0.6,0,2,2,6,2,0,3,3,16,13.2,-13
2019-08-07,Pistoia,Trieste,28.665753424657535,1,32,4,10,0.400,1,4,0.25,3,4,0.75,0,2,2,2,0,0,3,3,12,3.999999999999999,-16
2019-06-11,Pistoia,Cremona,28.50958904109589,1,33,7,12,0.583,1,3,0.333,6,7,0.857,0,4,4,9,1,0,5,3,21,17.300000000000004,-13
2019-04-05,Pistoia,Reggio Emilia,28.326027397260273,1,23,4,8,0.500,0,1,0.0,6,6,1.0,2,4,6,2,0,0,3,3,14,9.8,3
2019-06-23,Pistoia,Brescia,28.542465753424658,1,32,4,11,0.364,2,5,0.4,3,5,0.6,0,3,3,2,1,0,6,3,13,2.1999999999999993,8
2019-02-09,Pistoia,Virtus Bologna,28.175342465753424,1,25,4,13,0.308,1,3,0.333,0,0,0.0,0,0,0,3,0,0,1,3,9,1.3999999999999995,-21
2018-10-03,Pistoia,Torino,27.82191780821918,1,32,3,9,0.333,1,4,0.25,2,4,0.5,0,3,3,7,1,1,2,4,9,6.999999999999998,-8
2018-12-30,Pistoia,Trentino,28.063013698630137,1,27,2,5,0.400,0,1,0.0,1,1,1.0,0,2,2,5,2,0,1,3,5,6.2,-6
2018-12-17,Pistoia,Cantù,28.027397260273972,1,22,1,2,0.500,1,1,1.0,3,4,0.75,0,2,2,3,1,0,1,1,6,6.899999999999999,-20
2019-05-10,Pistoia,Varese,28.421917808219177,1,29,2,7,0.286,1,3,0.333,8,9,0.889,0,1,1,6,1,0,0,4,13,12.400000000000002,-2
2018-11-13,Pistoia,Avellino,27.934246575342467,1,22,1,5,0.200,0,2,0.0,5,5,1.0,0,2,2,1,2,0,1,2,7,5.4,1
2018-09-22,Pistoia,Pesaro,27.791780821917808,1,27,4,7,0.571,0,1,0.0,1,2,0.5,0,5,5,6,1,0,2,4,9,8.4,-13
2018-10-05,Pistoia,Venezia,27.827397260273973,1,31,7,16,0.438,1,6,0.167,3,4,0.75,2,2,4,1,1,0,1,3,18,10.7,-14
2019-05-21,Pistoia,Brindisi,28.45205479452055,1,31,4,10,0.400,1,4,0.25,5,6,0.833,1,2,3,4,2,0,2,3,14,11.099999999999998,-5
