date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-06,Caserta,Varese,39.17260273972603,0,7,0,1,0.000,0,0,0.0,0,0,0.0,3,0,3,0,0,0,0,1,0,0.9999999999999997,-20
2018-10-07,Caserta,Cremona,38.342465753424655,0,12,0,0,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,4,0,-0.40000000000000013,1
2018-12-13,Caserta,Pistoia,38.52602739726027,0,14,0,2,0.000,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,1,0,0.09999999999999998,-1
2019-01-14,Caserta,Milano,38.61369863013699,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-05-15,Caserta,Trentino,38.945205479452056,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,4,0,-1.3,-3
2018-09-06,Caserta,Cantù,38.25753424657534,0,19,3,3,0.000,0,0,0.0,2,2,1.0,0,5,5,0,4,0,1,4,8,10.0,0
2019-08-24,Caserta,Capo d'Orlando,39.22191780821918,0,3,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,-2
2019-07-07,Caserta,Venezia,39.09041095890411,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.10000000000000003,-5
2018-10-21,Caserta,Brescia,38.38082191780822,0,7,1,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,4,2,0.7999999999999998,-7
2019-03-19,Caserta,Torino,38.78904109589041,0,14,2,2,0.000,0,0,0.0,0,0,0.0,4,2,6,1,1,1,0,5,4,7.1999999999999975,-12
2019-04-11,Caserta,Pesaro,38.85205479452055,0,13,1,1,0.000,0,0,0.0,0,0,0.0,2,2,4,1,1,1,1,2,2,4.3,-5
2019-04-28,Caserta,Brindisi,38.8986301369863,0,7,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,2,0,0.8999999999999999,5
2019-02-05,Caserta,Avellino,38.673972602739724,0,13,0,1,0.000,0,0,0.0,1,2,0.5,2,1,3,0,0,0,0,0,1,1.5999999999999999,-2
2019-04-10,Caserta,Sassari,38.84931506849315,0,16,2,2,0.000,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,3,4,5.5,4
