date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-03,Milano,Varese,32.92876712328767,0,3,0,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,0,0,-2.7,-5
2019-02-09,Milano,Brescia,32.44931506849315,0,22,2,6,0.333,1,3,0.333,0,0,0.0,0,3,3,1,1,0,3,3,5,0.0,-2
2018-09-29,Milano,Caserta,32.084931506849315,0,19,1,2,0.500,0,1,0.0,0,0,0.0,1,0,1,5,0,0,2,2,2,2.4000000000000004,14
2019-07-25,Milano,Torino,32.9041095890411,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-4
2019-01-14,Milano,Sassari,32.37808219178082,0,17,2,3,0.000,0,0,0.0,0,0,0.0,1,3,4,3,0,0,1,0,4,5.4,1
2019-01-03,Milano,Cremona,32.347945205479455,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.6,-3
2018-11-16,Milano,Pistoia,32.21643835616438,1,25,4,9,0.444,0,1,0.0,2,2,1.0,0,4,4,8,0,0,0,2,10,11.299999999999999,14
2019-07-09,Milano,Trentino,32.86027397260274,0,17,5,5,1.000,1,1,1.0,0,0,0.0,0,4,4,2,0,0,1,0,11,11.1,23
2019-07-07,Milano,Venezia,32.85479452054795,0,29,5,9,0.556,2,5,0.4,2,4,0.5,0,4,4,10,1,0,5,1,14,12.7,16
2019-02-18,Milano,Brindisi,32.47397260273973,1,18,1,6,0.167,1,1,1.0,2,2,1.0,1,2,3,6,1,0,1,1,5,6.3,5
2018-10-19,Milano,Reggio Emilia,32.13972602739726,0,24,8,13,0.615,5,7,0.714,0,0,0.0,1,3,4,6,0,0,1,2,21,19.099999999999998,-6
2019-05-09,Milano,Pesaro,32.69315068493151,0,22,0,3,0.000,0,2,0.0,2,2,1.0,1,2,3,6,2,0,2,1,2,4.999999999999999,9
2019-01-17,Milano,Cantù,32.38630136986301,0,18,3,7,0.429,2,3,0.667,1,2,0.5,0,3,3,2,1,0,1,1,9,6.799999999999999,-6
2018-11-29,Milano,Capo d'Orlando,32.25205479452055,0,19,2,4,0.500,1,2,0.5,2,2,1.0,0,2,2,10,2,1,0,2,7,14.499999999999998,17
2019-01-26,Milano,Avellino,32.41095890410959,0,25,3,9,0.333,1,5,0.2,2,2,1.0,0,1,1,7,1,1,3,2,9,6.9999999999999964,1
2019-06-19,Milano,Varese,32.8054794520548,1,31,4,7,0.571,3,6,0.5,2,3,0.667,0,1,1,9,0,0,6,2,13,9.099999999999998,8
2018-10-27,Milano,Brescia,32.16164383561644,1,12,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,6,0,0,1,2,5,6.1,7
2019-01-14,Milano,Caserta,32.37808219178082,1,27,7,12,0.583,3,5,0.6,0,0,0.0,0,4,4,0,1,0,3,4,17,9.000000000000002,-3
2019-02-01,Milano,Pistoia,32.42739726027397,0,21,3,6,0.500,2,5,0.4,0,2,0.0,0,3,3,6,0,0,2,1,8,6.899999999999999,-14
2019-01-13,Milano,Pesaro,32.37534246575343,0,20,3,8,0.375,1,3,0.333,0,0,0.0,1,4,5,1,0,0,1,1,7,3.8,-5
2019-04-03,Milano,Cantù,32.59452054794521,1,20,3,6,0.500,1,2,0.5,0,0,0.0,0,3,3,7,2,0,2,3,7,8.600000000000001,19
