date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-02-20,Varese,Sassari,36.35342465753425,1,23,2,4,0.500,2,3,0.667,0,0,0.0,0,2,2,3,0,0,1,4,6,4.1,2
2018-10-21,Varese,Caserta,36.01917808219178,0,23,2,10,0.200,1,7,0.143,0,0,0.0,2,2,4,0,2,0,1,2,5,0.9999999999999998,1
2019-08-03,Varese,Milano,36.8027397260274,1,19,1,4,0.250,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-0.49999999999999994,-14
2018-10-19,Varese,Brindisi,36.013698630136986,1,29,4,8,0.500,2,6,0.333,1,2,0.5,2,4,6,2,4,0,2,4,11,11.0,9
2019-05-29,Varese,Pistoia,36.62191780821918,1,21,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,3,0,0,-2.4,-19
2019-06-07,Varese,Avellino,36.64657534246575,1,25,3,6,0.500,1,3,0.333,0,0,0.0,0,3,3,0,0,0,1,5,7,1.9000000000000004,1
2018-12-03,Varese,Pesaro,36.136986301369866,1,25,1,3,0.333,0,1,0.0,0,0,0.0,0,3,3,2,1,0,1,3,2,1.4,-5
2019-05-25,Varese,Brescia,36.61095890410959,1,31,2,7,0.286,1,3,0.333,4,4,1.0,2,4,6,0,0,0,1,1,9,6.1000000000000005,-4
2019-07-29,Varese,Capo d'Orlando,36.78904109589041,1,32,1,6,0.167,1,5,0.2,2,2,1.0,1,1,2,1,1,0,3,3,5,-0.29999999999999893,0
2019-03-28,Varese,Cantù,36.45205479452055,1,31,1,8,0.125,0,4,0.0,1,1,1.0,1,2,3,2,0,0,1,3,3,-1.7000000000000002,-10
2019-07-31,Varese,Reggio Emilia,36.794520547945204,1,35,4,5,0.000,0,0,0.0,2,2,1.0,2,3,5,3,0,0,2,2,10,9.7,9
2018-11-19,Varese,Trentino,36.0986301369863,1,30,2,4,0.500,0,1,0.0,0,0,0.0,1,1,2,1,0,0,2,3,4,0.5,-18
2019-08-29,Varese,Venezia,36.87397260273973,1,27,0,6,0.000,0,1,0.0,5,6,0.833,0,3,3,3,1,0,1,1,5,3.0,-13
2019-07-23,Varese,Cremona,36.772602739726025,1,19,1,2,0.500,1,1,1.0,0,0,0.0,1,1,2,2,0,0,2,5,3,0.40000000000000036,-10
2019-03-09,Varese,Torino,36.4,1,31,0,7,0.000,0,1,0.0,2,2,1.0,6,1,7,0,2,1,2,2,2,1.5,-14
2019-06-17,Varese,Sassari,36.673972602739724,0,23,8,9,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,4,16,11.599999999999998,-5
2019-08-06,Varese,Caserta,36.81095890410959,0,19,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,3,0,-2.3000000000000003,-6
2019-06-19,Varese,Milano,36.679452054794524,0,17,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,0,0,-0.30000000000000004,-27
2019-08-14,Varese,Brindisi,36.83287671232877,0,9,0,0,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,3,0,-1.9000000000000004,-5
2019-07-17,Varese,Pistoia,36.75616438356165,0,25,3,4,0.750,2,2,1.0,0,0,0.0,0,3,3,0,0,0,0,1,8,6.899999999999999,8
2018-12-24,Varese,Avellino,36.1945205479452,0,19,0,0,0.000,0,0,0.0,0,0,0.0,1,6,7,0,1,0,0,2,0,2.7,0
2018-09-08,Varese,Pesaro,35.9013698630137,0,22,3,3,0.000,0,0,0.0,1,2,0.5,1,2,3,2,1,0,1,4,7,6.799999999999999,-3
2018-10-21,Varese,Brescia,36.01917808219178,0,28,4,7,0.571,1,3,0.333,0,0,0.0,1,5,6,0,1,0,0,2,9,8.1,11
2019-03-31,Varese,Capo d'Orlando,36.46027397260274,0,30,4,11,0.364,0,1,0.0,4,5,0.8,8,2,10,1,2,0,2,3,12,11.2,1
2018-09-06,Varese,Cantù,35.895890410958906,0,26,2,6,0.333,0,2,0.0,0,0,0.0,0,3,3,0,0,0,1,2,4,-0.2999999999999996,17
2019-05-15,Varese,Reggio Emilia,36.583561643835615,0,24,2,5,0.400,0,1,0.0,1,1,1.0,2,5,7,1,1,0,1,3,5,4.699999999999999,6
2019-05-23,Varese,Trentino,36.605479452054794,0,15,1,3,0.333,1,3,0.333,0,0,0.0,1,3,4,0,0,0,2,4,3,-0.7000000000000002,0
2018-10-21,Varese,Venezia,36.01917808219178,0,16,2,5,0.400,0,2,0.0,2,2,1.0,2,2,4,0,0,0,1,2,6,3.499999999999999,-3
2018-11-22,Varese,Cremona,36.106849315068494,0,27,2,4,0.500,1,3,0.333,0,0,0.0,1,5,6,0,2,0,3,2,5,3.4000000000000004,0
2018-11-01,Varese,Torino,36.04931506849315,0,26,4,7,0.571,1,4,0.25,0,0,0.0,1,0,1,2,0,0,1,2,9,6.000000000000001,-5
