date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-31,Sassari,Cantù,41.583561643835615,1,27,5,11,0.455,1,2,0.5,1,2,0.5,0,0,0,1,0,0,2,2,12,3.8000000000000007,6
2019-05-06,Reggio Emilia,Caserta,42.0958904109589,0,25,3,7,0.429,0,2,0.0,2,3,0.667,0,0,0,4,1,0,3,5,8,2.7,3
2019-06-12,Reggio Emilia,Sassari,42.1972602739726,0,15,2,5,0.400,0,1,0.0,2,3,0.667,0,1,1,1,0,0,1,2,6,2.0999999999999996,-7
2018-10-11,Reggio Emilia,Brindisi,41.52876712328767,1,27,5,11,0.455,1,2,0.5,1,2,0.5,0,0,0,1,0,0,2,2,12,3.8000000000000007,6
2019-08-13,Reggio Emilia,Venezia,42.367123287671234,1,20,0,5,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-5.3,-11
2019-02-01,Reggio Emilia,Trentino,41.83835616438356,0,29,6,11,0.545,1,2,0.5,2,2,1.0,0,2,2,2,0,0,1,4,15,9.1,-4
2018-09-10,Reggio Emilia,Cantù,41.443835616438356,1,29,3,10,0.300,0,1,0.0,2,2,1.0,0,2,2,3,2,0,3,4,8,2.299999999999999,-15
2019-06-21,Reggio Emilia,Avellino,42.22191780821918,0,17,0,3,0.000,0,1,0.0,1,2,0.5,0,1,1,2,0,0,0,1,1,-0.19999999999999962,-13
2018-11-27,Reggio Emilia,Pesaro,41.657534246575345,0,15,3,7,0.429,2,3,0.667,1,2,0.5,1,2,3,2,1,0,1,2,9,6.8,2
2019-08-11,Reggio Emilia,Brescia,42.36164383561644,0,15,3,5,0.600,2,2,1.0,4,6,0.667,0,0,0,2,1,0,2,1,12,8.899999999999999,10
2019-07-16,Reggio Emilia,Capo d'Orlando,42.29041095890411,0,19,1,6,0.167,1,3,0.333,5,5,1.0,0,2,2,2,2,0,4,0,8,4.200000000000001,2
2019-05-15,Reggio Emilia,Varese,42.12054794520548,0,15,1,3,0.000,0,0,0.0,0,1,0.0,0,3,3,2,0,0,1,3,2,0.0,3
2019-04-02,Reggio Emilia,Torino,42.0027397260274,0,25,3,8,0.375,0,3,0.0,5,7,0.714,1,1,2,4,0,0,1,3,11,7.399999999999999,10
2019-03-17,Reggio Emilia,Milano,41.95890410958904,0,13,1,2,0.500,1,1,1.0,0,0,0.0,0,0,0,2,0,0,3,1,3,0.0,-6
2018-09-10,Reggio Emilia,Pistoia,41.443835616438356,0,20,2,8,0.250,0,3,0.0,2,2,1.0,0,0,0,4,0,0,0,2,6,3.2,-2
2019-07-02,Reggio Emilia,Cremona,42.25205479452055,0,19,2,6,0.333,1,1,1.0,2,2,1.0,0,1,1,1,1,0,4,2,7,0.8000000000000007,-10
