date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Virtus Bologna,Trieste,28.095890410958905,0,21,2,6,0.000,0,0,0.0,4,4,1.0,2,4,6,0,1,1,1,1,8,7.500000000000002,4
2018-10-14,Virtus Bologna,Milano,28.115068493150684,0,12,3,6,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,2,6,0.9000000000000012,-10
2018-10-21,Virtus Bologna,Avellino,28.134246575342466,0,22,6,8,0.000,0,0,0.0,2,3,0.667,4,3,7,0,0,1,1,4,14,12.2,5
2018-10-28,Virtus Bologna,Cremona,28.153424657534245,0,27,2,7,0.000,0,0,0.0,4,6,0.667,1,5,6,1,0,0,1,3,8,3.8000000000000016,-21
2018-11-04,Virtus Bologna,Venezia,28.172602739726027,0,20,4,8,0.000,0,0,0.0,1,2,0.5,5,2,7,0,0,0,1,2,9,6.8999999999999995,-13
2018-11-11,Virtus Bologna,Cantù,28.19178082191781,0,24,10,17,0.000,0,0,0.0,6,7,0.857,4,4,8,0,0,1,0,1,26,22.000000000000004,12
2018-11-18,Virtus Bologna,Torino,28.21095890410959,0,23,3,8,0.000,0,0,0.0,2,2,1.0,3,3,6,2,1,1,0,0,8,9.7,-2
2018-11-25,Virtus Bologna,Pesaro,28.23013698630137,0,25,10,15,0.000,0,0,0.0,2,3,0.667,6,4,10,0,0,4,0,2,22,22.499999999999996,5
2018-12-09,Virtus Bologna,Sassari,28.268493150684932,0,24,5,10,0.000,0,0,0.0,0,0,0.0,3,1,4,1,1,1,1,3,10,7.599999999999998,-18
2018-12-16,Virtus Bologna,Pistoia,28.28767123287671,0,23,3,4,0.000,0,0,0.0,0,0,0.0,3,7,10,1,0,1,3,2,6,6.1999999999999975,18
2018-12-22,Virtus Bologna,Brindisi,28.304109589041097,0,20,6,9,0.000,0,0,0.0,0,0,0.0,6,2,8,0,0,0,1,3,12,10.7,-3
2018-12-25,Virtus Bologna,Reggio Emilia,28.312328767123287,0,24,6,10,0.000,0,0,0.0,1,6,0.167,1,5,6,0,0,0,1,0,13,7.600000000000001,-4
2018-12-30,Virtus Bologna,Trentino,28.326027397260273,1,17,1,3,0.000,0,0,0.0,1,3,0.333,3,1,4,0,0,3,1,1,3,3.5999999999999988,-24
2019-01-06,Virtus Bologna,Brescia,28.345205479452055,0,28,7,10,0.000,0,0,0.0,0,1,0.0,3,3,6,0,1,3,0,1,14,15.1,11
2019-01-13,Virtus Bologna,Varese,28.364383561643837,0,17,2,5,0.000,0,0,0.0,4,4,1.0,3,2,5,0,0,2,1,1,8,8.0,1
2019-01-20,Virtus Bologna,Trieste,28.383561643835616,0,21,4,6,0.000,0,0,0.0,4,6,0.667,3,7,10,2,0,1,0,2,12,14.099999999999998,8
2019-01-27,Virtus Bologna,Milano,28.4027397260274,0,17,4,7,0.000,0,0,0.0,5,6,0.833,2,0,2,0,0,0,2,3,13,7.5,-6
2019-02-03,Virtus Bologna,Avellino,28.421917808219177,0,25,5,9,0.000,0,0,0.0,2,2,1.0,4,6,10,1,2,3,0,3,12,15.900000000000002,24
2019-02-09,Virtus Bologna,Cremona,28.438356164383563,0,13,2,5,0.000,0,0,0.0,2,4,0.5,1,1,2,0,0,0,1,1,6,2.1,2
2019-03-02,Virtus Bologna,Venezia,28.495890410958904,0,15,3,6,0.000,0,0,0.0,2,4,0.5,3,2,5,0,1,1,0,1,8,8.2,-2
2019-03-10,Virtus Bologna,Cantù,28.517808219178082,0,30,4,6,0.667,0,1,0.0,1,2,0.5,1,6,7,1,2,3,1,3,9,11.099999999999998,3
2019-03-17,Virtus Bologna,Torino,28.536986301369865,0,20,4,6,0.000,0,0,0.0,1,2,0.5,1,4,5,3,1,1,1,2,9,9.899999999999999,14
2019-03-23,Virtus Bologna,Pesaro,28.553424657534247,0,24,5,9,0.000,0,0,0.0,2,2,1.0,3,2,5,0,0,2,2,3,12,8.600000000000001,11
2019-03-31,Virtus Bologna,Sassari,28.575342465753426,0,24,6,11,0.000,0,0,0.0,0,0,0.0,1,3,4,0,0,2,0,2,12,8.9,-2
2019-04-07,Virtus Bologna,Pistoia,28.594520547945205,1,27,4,8,0.000,0,0,0.0,5,8,0.625,2,5,7,2,2,1,2,4,13,11.2,-15
2019-04-14,Virtus Bologna,Brindisi,28.613698630136987,1,16,2,5,0.000,0,0,0.0,2,2,1.0,2,4,6,0,2,0,0,2,6,7.1,-6
2019-04-20,Virtus Bologna,Reggio Emilia,28.63013698630137,0,27,4,4,0.000,0,0,0.0,0,0,0.0,0,3,3,0,0,1,2,3,8,5.199999999999998,5
2019-04-24,Virtus Bologna,Brescia,28.64109589041096,0,16,6,8,0.000,0,0,0.0,1,1,1.0,1,3,4,1,0,0,2,2,13,9.299999999999999,-4
2019-04-28,Virtus Bologna,Trentino,28.65205479452055,0,28,7,9,0.000,0,0,0.0,2,2,1.0,3,2,5,0,2,2,4,2,16,13.799999999999997,20
