date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-02,Venezia,Reggio Emilia,32.93972602739726,1,31,3,10,0.300,0,4,0.0,4,7,0.571,2,3,5,1,1,0,2,4,10,3.3999999999999986,-7
2019-05-14,Brescia,Pesaro,33.553424657534244,0,24,6,15,0.400,3,8,0.375,1,2,0.5,0,3,3,0,2,1,1,1,16,9.699999999999998,4
2018-12-16,Brescia,Avellino,33.14520547945205,1,29,8,17,0.471,0,4,0.0,0,0,0.0,0,2,2,0,2,1,1,1,16,9.2,10
2019-07-10,Brescia,Trentino,33.70958904109589,1,30,4,11,0.364,1,5,0.2,2,2,1.0,0,6,6,1,0,0,2,3,11,4.2,18
2019-04-06,Brescia,Varese,33.44931506849315,1,28,2,11,0.182,0,3,0.0,2,3,0.667,1,6,7,1,0,2,2,0,6,1.3000000000000003,2
2019-01-13,Brescia,Brindisi,33.22191780821918,1,31,7,15,0.467,1,5,0.2,0,2,0.0,0,3,3,1,1,0,3,4,15,4.5,9
2019-03-11,Brescia,Reggio Emilia,33.37808219178082,1,27,3,9,0.333,1,4,0.25,9,11,0.818,0,4,4,0,0,0,4,1,16,6.899999999999997,0
2019-07-11,Brescia,Virtus Bologna,33.71232876712329,1,31,6,13,0.462,2,6,0.333,2,2,1.0,1,2,3,1,0,0,3,3,16,7.099999999999998,-2
2018-11-10,Brescia,Capo d'Orlando,33.04657534246575,1,20,2,9,0.222,2,3,0.667,2,2,1.0,0,5,5,1,1,0,1,1,8,4.300000000000001,32
2019-02-26,Brescia,Cantù,33.342465753424655,1,28,10,22,0.455,5,11,0.455,1,2,0.5,2,6,8,1,1,0,1,2,26,17.3,2
2018-11-07,Brescia,Sassari,33.038356164383565,1,31,4,15,0.267,2,6,0.333,1,1,1.0,1,2,3,4,1,0,2,3,11,4.0,-1
2018-10-31,Brescia,Venezia,33.01917808219178,1,22,3,6,0.500,0,2,0.0,3,3,1.0,1,1,2,1,0,0,3,0,9,4.7,0
2019-01-15,Brescia,Milano,33.227397260273975,1,28,5,16,0.313,0,4,0.0,5,6,0.833,1,3,4,0,1,0,3,3,15,3.8,-7
