date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-19,Virtus Bologna,Trentino,30.76986301369863,0,12,3,6,0.500,1,1,1.0,1,2,0.5,3,3,6,0,0,1,1,2,8,6.499999999999999,-1
2018-10-02,Virtus Bologna,Capo d'Orlando,30.057534246575344,0,23,5,9,0.556,3,3,1.0,0,0,0.0,1,2,3,3,0,1,1,1,13,11.399999999999997,9
2018-11-11,Virtus Bologna,Pesaro,30.167123287671235,1,14,0,0,0.000,0,0,0.0,5,6,0.833,0,1,1,0,1,0,0,2,5,5.1,-10
2019-08-26,Virtus Bologna,Sassari,30.956164383561646,0,9,2,4,0.500,0,1,0.0,1,1,1.0,0,1,1,0,0,0,0,0,5,3.3,4
2019-08-18,Virtus Bologna,Venezia,30.934246575342467,0,17,8,11,0.727,0,1,0.0,0,0,0.0,5,2,7,0,1,0,0,0,16,16.6,4
2018-09-16,Virtus Bologna,Milano,30.013698630136986,0,4,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-4
2019-07-11,Virtus Bologna,Brescia,30.83013698630137,0,15,3,6,0.500,0,3,0.0,0,0,0.0,0,3,3,0,1,1,1,2,6,3.8000000000000007,-19
2019-04-20,Virtus Bologna,Brindisi,30.605479452054794,0,9,1,7,0.143,0,3,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-2.1999999999999997,-8
2019-04-23,Virtus Bologna,Cremona,30.613698630136987,0,15,5,7,0.714,2,3,0.667,1,1,1.0,1,1,2,0,0,0,1,3,13,8.900000000000002,2
2018-11-11,Virtus Bologna,Cantù,30.167123287671235,1,20,3,8,0.375,0,2,0.0,1,1,1.0,2,4,6,0,1,1,1,1,7,5.499999999999999,-6
2018-09-21,Virtus Bologna,Torino,30.027397260273972,0,16,6,9,0.667,1,2,0.5,3,6,0.5,2,1,3,0,0,0,1,2,16,10.799999999999999,16
2018-12-08,Virtus Bologna,Varese,30.24109589041096,0,17,2,4,0.500,1,2,0.5,2,2,1.0,2,1,3,0,0,0,2,3,7,3.5,-6
2019-02-28,Virtus Bologna,Pistoia,30.465753424657535,0,19,4,5,0.800,1,2,0.5,0,0,0.0,0,0,0,1,1,0,3,2,9,4.999999999999999,3
2018-09-26,Virtus Bologna,Avellino,30.041095890410958,0,22,5,11,0.455,1,3,0.333,0,0,0.0,1,4,5,0,0,0,1,4,11,4.600000000000001,-15
2019-06-18,Virtus Bologna,Trentino,30.767123287671232,0,14,4,8,0.500,1,2,0.5,3,3,1.0,2,0,2,0,0,1,4,2,12,5.299999999999999,4
2019-04-16,Virtus Bologna,Capo d'Orlando,30.594520547945205,0,15,4,9,0.444,2,5,0.4,0,0,0.0,1,3,4,0,0,0,0,3,10,5.7,0
2019-03-19,Virtus Bologna,Pesaro,30.517808219178082,0,29,4,7,0.571,1,3,0.333,4,10,0.4,4,2,6,0,0,1,2,2,13,8.599999999999996,16
2018-11-03,Virtus Bologna,Sassari,30.145205479452056,0,14,3,7,0.429,0,3,0.0,5,8,0.625,1,2,3,0,1,0,0,3,11,7.199999999999998,3
2019-05-27,Virtus Bologna,Venezia,30.706849315068492,0,12,0,4,0.000,0,1,0.0,1,4,0.25,1,2,3,0,0,0,0,1,1,-2.0999999999999996,-6
2019-01-12,Virtus Bologna,Milano,30.336986301369862,0,12,2,4,0.500,0,2,0.0,0,0,0.0,1,3,4,2,0,0,0,1,4,4.6,-2
2019-02-14,Virtus Bologna,Brescia,30.427397260273974,0,10,0,3,0.000,0,1,0.0,0,0,0.0,0,7,7,0,0,1,2,0,0,-1.2999999999999996,1
2019-05-04,Virtus Bologna,Brindisi,30.643835616438356,0,17,3,6,0.500,1,3,0.333,0,0,0.0,1,1,2,1,0,0,2,0,7,3.7,18
2018-10-23,Virtus Bologna,Cremona,30.115068493150684,0,20,5,9,0.556,0,1,0.0,1,2,0.5,3,5,8,0,0,0,2,2,11,7.099999999999998,-16
2018-09-23,Virtus Bologna,Cantù,30.03287671232877,0,12,2,4,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,2,4,0.5,-3
2019-08-17,Virtus Bologna,Varese,30.93150684931507,0,9,1,2,0.500,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,1.7,-8
2019-08-20,Virtus Bologna,Pistoia,30.93972602739726,0,11,2,7,0.000,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,1,4,1.5000000000000004,1
2018-12-16,Virtus Bologna,Avellino,30.263013698630136,0,18,3,6,0.500,1,4,0.25,0,1,0.0,2,0,2,0,0,0,1,1,7,3.5999999999999996,-15
2019-06-29,Virtus Bologna,Reggio Emilia,30.797260273972604,0,9,1,3,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,2,2,-0.7999999999999998,-6
2019-06-12,Cantù,Virtus Bologna,30.75068493150685,0,23,8,11,0.727,2,3,0.667,0,0,0.0,1,2,3,0,0,1,0,3,18,14.299999999999997,10
2018-09-13,Torino,Brescia,30.005479452054796,0,13,2,4,0.500,1,2,0.5,0,0,0.0,0,2,2,0,1,0,0,2,5,3.8,5
