date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-30,Cantù,Milano,21.643835616438356,0,8,0,2,0.000,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,2,0,-2.2,-4
2019-06-22,Cantù,Brescia,22.035616438356165,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-06-14,Cantù,Venezia,22.013698630136986,1,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-3
2019-07-24,Cantù,Varese,22.123287671232877,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,5
2018-12-17,Cantù,Pistoia,21.523287671232875,0,7,0,1,0.000,0,0,0.0,1,2,0.5,1,0,1,1,0,0,0,0,1,1.2999999999999998,9
2018-10-15,Cantù,Torino,21.350684931506848,0,4,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,0.29999999999999993,2
2019-08-03,Cantù,Sassari,22.15068493150685,0,21,1,4,0.250,1,4,0.25,0,0,0.0,0,2,2,2,0,0,1,0,3,1.6,-5
2018-12-05,Cantù,Avellino,21.49041095890411,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-05-03,Cantù,Trentino,21.898630136986302,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,0
2018-11-05,Cantù,Cremona,21.40821917808219,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,1
2018-10-07,Cantù,Reggio Emilia,21.328767123287673,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,0,0.6,5
2019-01-21,Cantù,Brindisi,21.61917808219178,1,12,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,1,2,0.20000000000000018,-1
2018-09-02,Cantù,Virtus Bologna,21.232876712328768,1,16,1,3,0.000,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,3,2,1.0,8
2018-11-21,Cantù,Pesaro,21.45205479452055,1,24,1,3,0.333,1,3,0.333,2,2,1.0,0,0,0,2,2,0,2,3,5,3.500000000000001,2
2018-11-10,Cantù,Trieste,21.421917808219177,1,17,0,1,0.000,0,1,0.0,0,0,0.0,0,4,4,2,1,0,0,3,0,1.6999999999999997,-13
2018-12-28,Cantù,Milano,21.553424657534247,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2018-12-16,Cantù,Brescia,21.52054794520548,1,25,1,3,0.333,0,2,0.0,2,2,1.0,1,4,5,1,1,0,1,1,4,4.500000000000001,2
2019-01-20,Cantù,Venezia,21.616438356164384,1,22,1,2,0.500,1,2,0.5,0,0,0.0,0,6,6,0,0,0,1,4,3,1.1999999999999997,13
2019-08-24,Cantù,Varese,22.208219178082192,1,23,1,2,0.500,1,1,1.0,2,2,1.0,0,4,4,4,0,0,2,5,5,4.0,7
2018-10-15,Cantù,Pistoia,21.350684931506848,1,23,1,4,0.250,1,2,0.5,2,2,1.0,0,6,6,3,1,0,1,2,5,5.7,14
2019-04-05,Cantù,Torino,21.82191780821918,1,33,3,4,0.750,1,2,0.5,2,2,1.0,3,5,8,3,2,0,1,2,9,13.299999999999999,12
2019-01-18,Cantù,Sassari,21.61095890410959,1,22,0,3,0.000,0,1,0.0,0,0,0.0,1,3,4,1,0,0,0,3,0,-1.0,-12
2019-03-11,Cantù,Virtus Bologna,21.753424657534246,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2019-01-17,Cantù,Pesaro,21.60821917808219,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-06-29,Cantù,Trieste,22.054794520547944,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4
2019-03-30,Milano,Capo d'Orlando,21.805479452054794,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
