date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-21,Reggio Emilia,Caserta,31.345205479452055,0,15,3,4,0.000,0,0,0.0,2,5,0.4,0,1,1,0,0,0,0,2,8,4.699999999999999,-8
2019-05-25,Reggio Emilia,Sassari,31.27123287671233,0,17,4,7,0.571,1,3,0.333,0,1,0.0,1,0,1,1,1,0,2,0,9,5.7,-14
2019-05-06,Reggio Emilia,Brindisi,31.21917808219178,0,14,2,4,0.500,0,2,0.0,2,2,1.0,0,2,2,2,1,0,2,3,6,3.8,6
2018-09-30,Reggio Emilia,Venezia,30.621917808219177,0,15,1,4,0.250,0,1,0.0,5,6,0.833,1,2,3,1,0,0,0,1,7,5.8,-3
2018-10-16,Reggio Emilia,Trentino,30.665753424657535,0,14,4,10,0.400,1,3,0.333,1,2,0.5,2,2,4,0,2,0,2,2,10,5.3999999999999995,-7
2019-02-27,Reggio Emilia,Cantù,31.03287671232877,0,4,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,1,1,-0.8,2
2019-05-05,Reggio Emilia,Avellino,31.216438356164385,0,9,0,2,0.000,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,3,0,-1.0000000000000002,-8
2019-03-06,Reggio Emilia,Pesaro,31.052054794520547,0,13,3,5,0.600,1,1,1.0,7,8,0.875,2,1,3,0,1,0,1,2,14,12.2,5
2019-07-25,Reggio Emilia,Brescia,31.438356164383563,0,14,2,4,0.500,0,1,0.0,0,0,0.0,2,1,3,0,0,1,0,1,4,3.9999999999999996,-7
2019-02-24,Reggio Emilia,Capo d'Orlando,31.024657534246575,0,13,4,4,0.000,0,0,0.0,1,2,0.5,0,3,3,0,0,0,0,2,9,7.499999999999999,8
2019-07-31,Reggio Emilia,Varese,31.454794520547946,0,11,2,4,0.000,0,0,0.0,4,4,1.0,1,0,1,0,1,0,3,3,8,3.500000000000001,-6
2018-09-03,Reggio Emilia,Torino,30.54794520547945,0,16,2,7,0.286,0,1,0.0,2,2,1.0,2,3,5,1,2,0,2,3,6,3.7,-8
2018-10-19,Reggio Emilia,Milano,30.673972602739727,0,17,3,6,0.500,2,2,1.0,1,2,0.5,0,3,3,1,1,0,4,3,9,2.999999999999999,3
2019-01-24,Reggio Emilia,Pistoia,30.93972602739726,0,17,2,3,0.667,0,1,0.0,4,6,0.667,1,3,4,0,0,2,2,3,8,5.700000000000002,-6
2019-06-26,Reggio Emilia,Cremona,31.35890410958904,1,19,2,6,0.333,0,1,0.0,0,0,0.0,5,1,6,1,2,0,3,2,4,3.3000000000000007,-13
2019-05-06,Reggio Emilia,Caserta,31.21917808219178,0,22,4,10,0.400,1,2,0.5,2,4,0.5,1,3,4,3,1,0,2,3,11,6.300000000000001,5
2019-06-12,Reggio Emilia,Sassari,31.32054794520548,0,11,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,2,-1.4999999999999998,-1
