date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-18,Trentino,Brindisi,35.704109589041096,1,22,5,7,0.000,0,0,0.0,0,0,0.0,2,7,9,0,1,0,2,4,10,8.0,0
2019-02-20,Sassari,Varese,35.38082191780822,1,21,2,3,0.000,0,0,0.0,0,0,0.0,1,4,5,0,0,1,0,1,4,4.9,11
2019-05-25,Sassari,Reggio Emilia,35.63835616438356,1,24,5,8,0.000,0,0,0.0,0,1,0.0,0,4,4,1,0,1,1,3,10,6.3999999999999995,1
2019-05-31,Sassari,Brescia,35.654794520547945,1,14,2,5,0.000,0,0,0.0,1,1,1.0,3,2,5,0,0,0,0,0,5,4.999999999999999,-7
2019-04-10,Sassari,Cantù,35.515068493150686,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-08-19,Sassari,Pesaro,35.87397260273973,1,24,4,7,0.000,0,0,0.0,1,2,0.5,2,0,2,0,1,0,1,4,9,5.1,19
2019-06-22,Sassari,Pistoia,35.71506849315068,1,22,3,5,0.000,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,1,6,4.199999999999999,-1
2019-01-14,Sassari,Milano,35.27945205479452,1,27,6,8,0.000,0,0,0.0,3,4,0.75,4,3,7,3,0,0,0,3,15,16.0,-2
2019-05-29,Sassari,Avellino,35.64931506849315,0,20,4,8,0.000,0,0,0.0,2,2,1.0,3,2,5,0,0,0,1,3,10,6.499999999999999,10
2018-10-08,Sassari,Cremona,35.010958904109586,1,14,1,2,0.000,0,0,0.0,2,3,0.667,1,0,1,0,0,0,1,3,4,1.1000000000000005,6
2019-07-12,Sassari,Trentino,35.76986301369863,1,32,3,6,0.000,0,0,0.0,0,2,0.0,4,5,9,0,1,0,1,1,6,6.1000000000000005,14
2019-07-08,Sassari,Capo d'Orlando,35.75890410958904,1,20,2,2,0.000,0,0,0.0,1,2,0.5,3,3,6,0,0,1,0,4,5,6.1,-11
2019-05-25,Sassari,Torino,35.63835616438356,1,26,2,2,0.000,0,0,0.0,0,0,0.0,3,4,7,2,2,1,4,4,4,5.199999999999999,9
2019-07-07,Sassari,Venezia,35.75616438356165,1,22,4,7,0.000,0,0,0.0,0,0,0.0,4,2,6,2,2,0,1,3,8,9.3,8
2018-09-13,Sassari,Caserta,34.942465753424656,1,17,2,2,0.000,0,0,0.0,1,1,1.0,4,2,6,3,1,0,1,3,5,8.7,9
2019-06-17,Sassari,Varese,35.701369863013696,1,21,2,4,0.000,0,0,0.0,1,2,0.5,2,3,5,3,0,1,0,2,5,6.9,-4
2019-06-12,Sassari,Reggio Emilia,35.68767123287671,1,20,3,4,0.000,0,0,0.0,0,1,0.0,1,0,1,3,0,2,0,3,6,6.999999999999999,4
2019-06-17,Sassari,Brescia,35.701369863013696,1,14,2,6,0.000,0,0,0.0,0,0,0.0,2,2,4,1,0,0,2,0,4,1.3000000000000007,-5
2019-08-04,Sassari,Pesaro,35.83287671232877,1,21,2,2,0.000,0,0,0.0,2,2,1.0,1,3,4,2,0,0,1,0,6,7.4,3
2018-12-07,Sassari,Pistoia,35.175342465753424,1,18,0,3,0.000,0,0,0.0,1,2,0.5,2,2,4,1,0,1,0,1,1,1.5,2
2018-11-30,Sassari,Milano,35.156164383561645,0,18,2,2,0.000,0,0,0.0,4,4,1.0,1,1,2,0,0,0,0,3,8,7.2,4
2019-01-05,Sassari,Avellino,35.25479452054795,1,29,5,8,0.000,0,0,0.0,4,4,1.0,3,1,4,0,1,0,1,4,14,11.200000000000001,3
2019-06-29,Sassari,Cremona,35.73424657534247,0,22,0,2,0.000,0,0,0.0,1,2,0.5,3,4,7,0,0,0,3,3,1,-1.7000000000000002,0
2018-09-26,Sassari,Brindisi,34.97808219178082,1,18,4,5,0.000,0,0,0.0,0,1,0.0,4,3,7,1,0,0,0,4,8,8.5,-3
2018-09-17,Sassari,Trentino,34.95342465753425,1,19,2,2,0.000,0,0,0.0,2,2,1.0,1,2,3,2,1,0,1,2,6,7.299999999999999,17
2018-10-28,Sassari,Capo d'Orlando,35.06575342465754,1,20,3,7,0.000,0,0,0.0,1,2,0.5,2,6,8,0,0,0,0,4,7,4.5,11
2019-05-06,Sassari,Torino,35.586301369863016,1,20,4,5,0.000,0,0,0.0,1,1,1.0,1,4,5,1,0,1,0,2,9,9.599999999999998,7
2018-11-07,Sassari,Venezia,35.09315068493151,1,14,0,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,2,2,0,-3.2,-15
2019-04-10,Sassari,Caserta,35.515068493150686,1,14,0,1,0.000,0,0,0.0,4,4,1.0,0,1,1,0,1,0,1,0,4,3.5999999999999996,-14
2019-06-24,Brindisi,Milano,35.72054794520548,1,33,7,7,0.000,0,0,0.0,1,3,0.333,2,1,3,2,0,0,1,2,15,13.400000000000002,-18
2018-12-20,Brindisi,Brescia,35.21095890410959,1,23,4,7,0.000,0,0,0.0,4,5,0.8,2,6,8,0,3,1,1,3,12,13.0,13
2018-11-18,Brindisi,Avellino,35.12328767123288,1,26,3,5,0.000,0,0,0.0,5,5,1.0,4,4,8,0,0,0,0,0,11,12.7,-7
2019-01-27,Brindisi,Pesaro,35.31506849315068,1,27,5,9,0.000,0,0,0.0,2,3,0.667,6,4,10,1,1,0,1,3,12,12.2,2
2019-05-04,Brindisi,Virtus Bologna,35.58082191780822,1,26,10,14,0.000,0,0,0.0,0,1,0.0,4,2,6,0,1,0,0,4,20,16.6,-3
2019-07-03,Brindisi,Sassari,35.74520547945205,1,23,3,5,0.000,0,0,0.0,4,4,1.0,3,5,8,1,0,0,0,2,10,11.199999999999998,2
2019-01-05,Brindisi,Trentino,35.25479452054795,1,19,3,4,0.000,0,0,0.0,3,6,0.5,2,6,8,2,0,1,0,0,9,11.499999999999998,-12
2019-01-25,Brindisi,Cremona,35.30958904109589,1,21,5,5,0.000,0,0,0.0,0,1,0.0,3,1,4,0,0,0,1,0,10,9.5,-19
2018-12-14,Brindisi,Varese,35.1945205479452,1,20,3,7,0.000,0,0,0.0,2,3,0.667,2,5,7,0,1,1,1,3,8,6.3,-1
2019-06-20,Brindisi,Reggio Emilia,35.70958904109589,1,20,5,7,0.000,0,0,0.0,6,9,0.667,4,3,7,0,0,0,0,4,16,14.000000000000004,6
2019-06-03,Brindisi,Cantù,35.66301369863014,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
