date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-09-13,Brescia,Torino,31.843835616438355,1,36,7,15,0.467,6,10,0.6,5,6,0.833,2,7,9,4,0,0,0,1,25,22.800000000000004,-4
2018-09-14,Reggio Emilia,Avellino,31.846575342465755,1,24,2,8,0.250,2,7,0.286,0,0,0.0,0,4,4,2,3,0,1,3,6,4.6000000000000005,5
2019-06-16,Reggio Emilia,Pesaro,32.6,1,22,1,7,0.143,1,4,0.25,0,0,0.0,0,3,3,3,0,0,1,3,3,-0.7000000000000002,-10
2019-03-29,Reggio Emilia,Sassari,32.38356164383562,1,34,3,9,0.333,1,4,0.25,0,0,0.0,1,3,4,7,0,0,1,2,7,6.599999999999999,-18
2019-04-12,Reggio Emilia,Capo d'Orlando,32.42191780821918,1,34,5,14,0.357,3,10,0.3,0,0,0.0,0,3,3,2,5,0,3,0,13,9.500000000000002,5
2019-05-03,Reggio Emilia,Trentino,32.47945205479452,1,30,1,9,0.111,0,4,0.0,0,0,0.0,1,1,2,3,2,1,2,2,2,-0.9000000000000008,-9
2019-03-11,Reggio Emilia,Brescia,32.33424657534247,1,30,5,10,0.500,2,7,0.286,0,0,0.0,0,1,1,1,1,0,0,2,12,8.2,-11
2018-11-28,Reggio Emilia,Pistoia,32.05205479452055,1,28,3,9,0.333,3,6,0.5,0,0,0.0,0,1,1,4,1,0,1,3,9,5.799999999999999,13
2019-02-08,Reggio Emilia,Cremona,32.24931506849315,1,32,3,11,0.273,2,5,0.4,1,2,0.5,3,4,7,0,2,0,2,4,9,3.799999999999999,10
2018-10-12,Reggio Emilia,Milano,31.923287671232877,1,30,3,7,0.429,2,5,0.4,2,2,1.0,1,1,2,3,1,0,0,4,10,8.8,10
2019-02-15,Reggio Emilia,Venezia,32.26849315068493,1,36,5,12,0.417,0,4,0.0,1,2,0.5,3,4,7,5,0,0,1,2,11,9.2,0
2018-09-07,Reggio Emilia,Varese,31.827397260273973,1,33,7,12,0.583,6,10,0.6,0,0,0.0,0,4,4,2,1,0,1,4,20,15.399999999999999,9
2018-11-12,Reggio Emilia,Torino,32.00821917808219,1,25,3,7,0.429,2,3,0.667,0,0,0.0,1,2,3,3,0,0,1,1,8,6.299999999999999,-16
2019-04-14,Reggio Emilia,Cantù,32.42739726027397,0,30,6,15,0.400,4,9,0.444,3,7,0.429,0,2,2,1,2,0,2,1,19,10.199999999999998,13
2019-07-03,Reggio Emilia,Brindisi,32.64657534246575,1,31,3,7,0.429,0,3,0.0,0,0,0.0,0,3,3,5,0,0,4,2,6,1.9000000000000012,-2
2018-09-01,Reggio Emilia,Avellino,31.81095890410959,1,31,5,12,0.417,1,5,0.2,3,4,0.75,1,2,3,2,1,0,1,2,14,9.100000000000001,0
2019-03-07,Reggio Emilia,Pesaro,32.323287671232876,1,27,5,11,0.455,3,5,0.6,0,0,0.0,3,6,9,2,1,0,1,2,13,11.799999999999999,16
2018-11-20,Reggio Emilia,Brescia,32.03013698630137,1,28,4,9,0.444,3,6,0.5,0,0,0.0,0,4,4,3,0,0,2,4,11,6.0,-1
2019-02-10,Reggio Emilia,Pistoia,32.25479452054795,1,25,4,9,0.444,1,4,0.25,0,0,0.0,1,1,2,2,1,0,2,1,9,5.299999999999999,2
2019-05-18,Reggio Emilia,Cremona,32.52054794520548,1,30,2,6,0.333,2,5,0.4,1,2,0.5,0,1,1,4,1,0,1,3,7,5.1,10
2019-05-28,Reggio Emilia,Milano,32.54794520547945,0,13,1,6,0.167,0,3,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-2.7999999999999994,-8
2018-11-09,Reggio Emilia,Venezia,32.0,1,28,0,7,0.000,0,6,0.0,2,3,0.667,2,0,2,5,1,0,3,2,2,-1.1999999999999995,-14
2018-09-05,Reggio Emilia,Torino,31.82191780821918,1,30,8,9,0.889,7,7,1.0,1,2,0.5,0,4,4,4,0,0,1,4,24,21.9,1
2019-03-12,Reggio Emilia,Cantù,32.33698630136986,1,26,3,6,0.500,2,5,0.4,0,0,0.0,1,1,2,4,1,0,1,2,8,8.0,-8
2019-06-20,Reggio Emilia,Brindisi,32.61095890410959,1,24,2,6,0.333,2,5,0.4,1,2,0.5,0,5,5,2,1,0,4,2,7,2.3000000000000016,-11
2019-06-29,Reggio Emilia,Virtus Bologna,32.635616438356166,1,32,6,10,0.600,4,5,0.8,0,0,0.0,2,0,2,4,1,0,1,4,16,13.999999999999998,5
2018-10-04,Cremona,Avellino,31.9013698630137,1,34,2,7,0.286,2,7,0.286,1,2,0.5,0,5,5,2,0,0,3,3,7,1.2000000000000002,-3
