date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-09,Pistoia,Pesaro,26.805479452054794,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,1
2019-08-12,Pistoia,Venezia,26.98082191780822,0,11,1,4,0.250,0,2,0.0,0,0,0.0,0,0,0,2,1,0,0,1,2,1.6,-7
2018-09-09,Pistoia,Milano,26.057534246575344,0,13,1,4,0.000,0,0,0.0,2,2,1.0,2,2,4,0,0,0,0,1,4,3.2000000000000006,-8
2019-04-21,Pistoia,Brindisi,26.671232876712327,0,8,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,1,1,0,0,4,3,2.4,-5
2019-08-07,Pistoia,Trieste,26.96712328767123,0,13,2,7,0.286,0,1,0.0,0,0,0.0,1,3,4,0,0,0,1,1,4,0.10000000000000009,1
2019-06-11,Pistoia,Cremona,26.81095890410959,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.2000000000000002,-6
2019-01-01,Pistoia,Sassari,26.36986301369863,0,8,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,2,3,2.2,-10
2019-04-05,Pistoia,Reggio Emilia,26.627397260273973,0,24,4,7,0.571,2,3,0.667,0,0,0.0,0,2,2,3,1,0,1,5,10,7.4,-1
2019-06-23,Pistoia,Brescia,26.843835616438355,0,7,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,2,0,-2.1,1
2019-02-09,Pistoia,Virtus Bologna,26.476712328767125,0,6,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,0.19999999999999996,-1
2018-10-03,Pistoia,Torino,26.123287671232877,0,11,2,4,0.500,2,3,0.667,0,0,0.0,1,2,3,1,1,0,1,0,6,6.0,6
2018-12-30,Pistoia,Trentino,26.364383561643837,0,13,1,5,0.200,0,2,0.0,2,2,1.0,0,0,0,1,1,0,0,1,4,2.2000000000000006,-2
2018-12-17,Pistoia,Cantù,26.328767123287673,0,15,0,5,0.000,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,2,2,-2.0,-2
2019-05-10,Pistoia,Varese,26.723287671232878,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-1
2018-11-13,Pistoia,Avellino,26.235616438356164,0,4,1,1,0.000,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,1,2,0.8999999999999998,3
2018-09-22,Pistoia,Pesaro,26.09315068493151,0,21,4,7,0.571,1,3,0.333,2,2,1.0,0,3,3,2,1,0,1,4,11,8.4,3
2018-10-05,Pistoia,Venezia,26.12876712328767,0,13,1,5,0.200,1,1,1.0,0,0,0.0,1,1,2,1,0,0,0,2,3,0.7999999999999998,-9
2019-05-21,Pistoia,Brindisi,26.753424657534246,0,7,1,2,0.000,0,0,0.0,1,4,0.25,0,2,2,0,0,0,1,4,3,-1.2000000000000002,-1
2019-03-17,Pistoia,Trieste,26.575342465753426,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-5
2018-12-27,Pistoia,Cremona,26.356164383561644,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-6
2019-06-28,Pistoia,Sassari,26.857534246575344,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
