date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-08-12,Cremona,Trentino,26.86027397260274,1,21,0,2,0.000,0,0,0.0,0,0,0.0,3,3,6,0,0,0,2,3,0,-1.6000000000000005,-6
2019-04-09,Cremona,Avellino,26.517808219178082,1,26,6,11,0.000,0,0,0.0,1,3,0.333,3,6,9,0,0,0,2,1,13,8.4,-7
2019-01-09,Cremona,Cantù,26.27123287671233,1,21,4,9,0.000,0,0,0.0,0,0,0.0,5,3,8,0,0,2,1,2,8,7.299999999999999,-24
2019-07-15,Cremona,Virtus Bologna,26.78356164383562,1,25,5,7,0.000,0,0,0.0,0,3,0.0,4,7,11,0,0,2,2,3,10,9.0,7
2018-12-12,Cremona,Sassari,26.194520547945206,1,18,0,2,0.000,0,0,0.0,0,0,0.0,3,4,7,0,0,1,0,3,0,1.3999999999999995,-2
2019-06-11,Cremona,Pistoia,26.69041095890411,1,25,4,6,0.000,0,0,0.0,0,0,0.0,4,7,11,1,1,1,4,4,8,7.099999999999998,11
2018-11-27,Cremona,Varese,26.153424657534245,1,30,3,7,0.000,0,0,0.0,3,4,0.75,4,9,13,0,0,1,1,1,9,9.699999999999998,-13
2018-12-09,Cremona,Milano,26.186301369863013,1,15,3,5,0.000,0,0,0.0,0,0,0.0,2,2,4,0,1,0,0,5,6,4.699999999999999,11
2019-03-31,Cremona,Trieste,26.493150684931507,1,28,4,8,0.000,0,0,0.0,1,5,0.2,5,9,14,1,1,0,2,2,9,8.499999999999998,-3
2018-12-08,Cremona,Pesaro,26.183561643835617,1,15,5,8,0.000,0,0,0.0,0,0,0.0,3,5,8,1,0,1,1,5,10,8.399999999999999,12
2018-12-20,Cremona,Brescia,26.216438356164385,1,23,5,7,0.000,0,0,0.0,0,2,0.0,6,4,10,1,2,1,5,3,10,8.899999999999999,-1
2019-06-30,Cremona,Brindisi,26.742465753424657,1,25,5,5,0.000,0,0,0.0,0,2,0.0,1,9,10,0,0,0,2,4,10,7.5,16
2019-07-27,Cremona,Torino,26.816438356164383,1,25,7,8,0.000,0,0,0.0,1,3,0.333,3,7,10,1,0,1,4,2,15,12.2,14
2019-01-07,Cremona,Venezia,26.265753424657536,1,20,4,4,0.000,0,0,0.0,1,2,0.5,2,2,4,1,1,0,1,2,9,9.299999999999997,-15
2019-08-14,Cremona,Reggio Emilia,26.865753424657534,1,28,7,8,0.000,0,0,0.0,4,4,1.0,7,11,18,0,0,1,2,2,18,21.3,13
2019-03-13,Cremona,Trentino,26.443835616438356,1,26,6,10,0.000,0,0,0.0,8,12,0.667,4,6,10,0,0,1,1,4,20,16.499999999999996,6
2019-06-18,Cremona,Avellino,26.709589041095892,1,29,5,11,0.000,0,0,0.0,0,0,0.0,5,4,9,1,1,0,4,3,10,5.5,12
2018-11-05,Cremona,Cantù,26.09315068493151,1,34,5,9,0.000,0,0,0.0,2,4,0.5,4,9,13,0,0,1,3,4,12,8.499999999999998,-18
2019-03-10,Cremona,Virtus Bologna,26.435616438356163,1,30,7,9,0.000,0,0,0.0,0,1,0.0,4,6,10,2,1,0,3,4,14,12.499999999999998,24
2018-12-27,Cremona,Pistoia,26.235616438356164,1,32,3,6,0.000,0,0,0.0,1,2,0.5,2,5,7,0,3,1,2,2,7,7.399999999999999,4
2018-12-10,Cremona,Varese,26.18904109589041,1,29,4,8,0.000,0,0,0.0,1,2,0.5,2,5,7,1,0,1,1,1,9,7.499999999999998,-14
2019-03-31,Cremona,Milano,26.493150684931507,1,30,6,9,0.000,0,0,0.0,0,0,0.0,7,6,13,2,0,1,3,5,12,11.899999999999999,3
2018-09-30,Cremona,Trieste,25.994520547945207,1,32,5,12,0.000,0,0,0.0,0,0,0.0,4,4,8,1,2,0,2,2,10,7.5,-16
2018-12-28,Cremona,Pesaro,26.23835616438356,1,26,6,10,0.000,0,0,0.0,8,12,0.667,6,8,14,0,0,2,2,1,20,19.4,33
2018-12-02,Cremona,Brescia,26.167123287671235,1,30,5,6,0.000,0,0,0.0,2,5,0.4,2,8,10,2,0,2,2,1,12,12.800000000000002,3
2019-04-13,Cremona,Brindisi,26.528767123287672,1,21,5,5,0.000,0,0,0.0,1,2,0.5,4,6,10,0,0,1,1,3,11,12.2,14
2019-07-27,Cremona,Torino,26.816438356164383,1,28,5,9,0.000,0,0,0.0,2,4,0.5,4,8,12,2,0,1,4,4,12,8.6,0
2018-12-19,Cremona,Venezia,26.213698630136985,1,27,6,10,0.000,0,0,0.0,9,12,0.75,2,5,7,0,2,0,3,3,21,15.899999999999999,10
2019-01-28,Cremona,Reggio Emilia,26.323287671232876,1,16,3,6,0.000,0,0,0.0,1,8,0.125,4,5,9,0,0,1,2,2,7,3.4000000000000004,-4
