date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-08,Varese,Cremona,27.589041095890412,1,26,5,12,0.417,2,6,0.333,3,4,0.75,0,2,2,4,1,1,3,4,15,8.700000000000001,13
2019-04-20,Sassari,Reggio Emilia,28.12054794520548,1,21,3,5,0.600,2,4,0.5,1,2,0.5,0,1,1,0,1,0,0,3,9,6.399999999999999,5
2019-04-19,Sassari,Varese,28.117808219178084,1,25,3,12,0.250,1,7,0.143,1,1,1.0,1,1,2,4,0,0,1,4,8,2.0000000000000004,2
2019-05-27,Sassari,Brindisi,28.221917808219178,1,29,8,15,0.533,0,3,0.0,2,2,1.0,2,2,4,0,1,0,2,2,18,10.899999999999999,-4
2019-08-15,Sassari,Torino,28.44109589041096,1,25,7,11,0.636,2,4,0.5,4,4,1.0,0,1,1,1,1,1,1,2,20,16.0,-11
2019-04-08,Sassari,Venezia,28.087671232876712,1,29,3,4,0.750,2,3,0.667,2,2,1.0,1,1,2,4,1,0,1,1,10,11.799999999999999,-4
2019-06-28,Sassari,Pistoia,28.30958904109589,1,15,2,3,0.667,2,2,1.0,0,0,0.0,1,1,2,2,1,0,2,4,6,4.5,-2
2018-12-31,Sassari,Trentino,27.81917808219178,1,27,6,9,0.667,2,4,0.5,2,4,0.5,0,4,4,3,0,0,0,4,16,12.999999999999996,15
2019-07-27,Sassari,Virtus Bologna,28.389041095890413,1,16,2,6,0.333,1,4,0.25,0,0,0.0,0,1,1,2,1,0,1,5,5,1.3000000000000007,7
2018-10-01,Sassari,Milano,27.56986301369863,1,19,3,7,0.429,0,3,0.0,0,0,0.0,0,1,1,4,1,1,0,2,6,6.300000000000001,7
2019-02-22,Sassari,Avellino,27.964383561643835,1,20,4,5,0.800,2,3,0.667,0,0,0.0,0,1,1,2,0,0,0,3,10,8.600000000000001,10
2018-12-09,Sassari,Pesaro,27.758904109589043,1,20,3,6,0.500,1,2,0.5,1,2,0.5,0,3,3,0,1,0,3,1,8,3.0999999999999996,17
2019-07-09,Sassari,Brescia,28.339726027397262,0,27,4,12,0.333,1,7,0.143,1,1,1.0,0,5,5,3,1,0,0,3,10,6.6000000000000005,-7
2019-06-04,Venezia,Cantù,28.243835616438357,0,21,4,9,0.444,1,3,0.333,5,6,0.833,2,5,7,3,1,0,3,1,14,11.5,16
2019-04-13,Venezia,Capo d'Orlando,28.101369863013698,0,21,5,8,0.625,3,4,0.75,0,0,0.0,0,3,3,3,0,0,2,3,13,9.2,6
2018-11-09,Venezia,Trentino,27.676712328767124,0,20,3,12,0.250,0,5,0.0,0,0,0.0,2,1,3,2,1,0,2,3,6,-0.29999999999999893,-13
2018-09-30,Venezia,Reggio Emilia,27.567123287671233,0,23,8,11,0.727,3,4,0.75,1,2,0.5,2,4,6,3,0,0,1,2,20,17.999999999999996,12
2018-11-29,Venezia,Cremona,27.731506849315068,1,20,3,7,0.000,0,0,0.0,4,4,1.0,0,2,2,4,3,0,1,3,10,10.5,-4
2019-03-03,Venezia,Pesaro,27.98904109589041,1,30,6,10,0.600,3,5,0.6,4,4,1.0,5,3,8,2,2,0,6,4,19,14.599999999999994,-7
2018-09-23,Venezia,Pistoia,27.54794520547945,1,19,3,6,0.500,1,3,0.333,0,0,0.0,4,5,9,3,0,0,2,4,7,6.800000000000001,5
2019-03-23,Venezia,Torino,28.043835616438358,1,28,3,10,0.300,1,5,0.2,2,2,1.0,1,2,3,3,1,1,1,2,9,6.499999999999999,0
2019-08-27,Venezia,Caserta,28.473972602739725,1,30,3,13,0.231,2,9,0.222,6,8,0.75,2,2,4,3,1,0,2,3,14,7.199999999999999,1
2018-11-01,Venezia,Avellino,27.654794520547945,1,24,1,7,0.143,1,4,0.25,2,2,1.0,0,3,3,3,0,0,3,2,5,-0.2999999999999998,0
2019-07-07,Venezia,Milano,28.334246575342465,1,26,6,9,0.667,6,9,0.667,2,2,1.0,1,2,3,3,2,0,0,5,20,19.5,14
2019-08-10,Venezia,Brescia,28.427397260273974,1,26,3,10,0.300,2,8,0.25,4,4,1.0,1,0,1,2,2,0,3,3,12,6.099999999999998,8
2019-08-29,Venezia,Varese,28.47945205479452,1,31,4,16,0.250,2,8,0.25,3,3,1.0,1,3,4,1,0,0,2,3,13,2.5,16
2019-07-07,Venezia,Sassari,28.334246575342465,0,29,2,8,0.250,1,4,0.25,0,0,0.0,0,4,4,4,0,0,4,4,5,-1.4,-2
2018-10-14,Venezia,Brindisi,27.605479452054794,1,34,6,11,0.545,2,4,0.5,0,0,0.0,2,0,2,4,1,0,3,5,14,8.899999999999999,2
2019-06-12,Venezia,Cantù,28.265753424657536,1,29,3,11,0.273,1,4,0.25,0,0,0.0,1,2,3,5,1,0,1,2,7,4.5,9
2018-11-15,Venezia,Capo d'Orlando,27.693150684931506,1,24,1,5,0.200,0,1,0.0,3,3,1.0,0,3,3,3,2,0,3,3,5,2.7,0
2019-08-13,Venezia,Reggio Emilia,28.435616438356163,1,31,7,16,0.438,2,7,0.286,2,3,0.667,2,3,5,3,0,1,3,4,18,9.700000000000001,4
2019-01-25,Venezia,Cremona,27.887671232876713,1,28,6,15,0.400,2,8,0.25,0,0,0.0,2,3,5,0,0,0,5,3,14,1.9999999999999991,-3
2018-09-29,Venezia,Pesaro,27.564383561643837,1,21,3,5,0.600,1,2,0.5,0,1,0.0,0,2,2,4,0,0,1,3,7,5.499999999999998,13
2019-05-08,Venezia,Pistoia,28.16986301369863,1,16,2,6,0.333,2,4,0.5,0,0,0.0,0,2,2,2,0,0,0,3,6,3.4000000000000004,0
2019-04-13,Venezia,Torino,28.101369863013698,1,20,6,10,0.600,4,8,0.5,0,1,0.0,0,3,3,1,1,0,1,2,16,11.799999999999997,3
2019-07-07,Venezia,Caserta,28.334246575342465,1,26,2,9,0.222,2,6,0.333,4,4,1.0,2,3,5,5,1,0,0,1,10,10.9,7
2019-01-13,Venezia,Milano,27.854794520547944,1,13,0,3,0.000,0,1,0.0,0,0,0.0,2,0,2,1,0,0,0,1,0,-0.3999999999999998,-10
2018-09-19,Venezia,Brescia,27.536986301369865,0,12,1,1,0.000,0,0,0.0,2,2,1.0,0,1,1,0,1,0,1,4,4,2.4,8
2018-10-21,Venezia,Varese,27.624657534246577,0,12,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,-0.4,4
2018-09-07,Venezia,Brindisi,27.504109589041096,0,14,3,9,0.333,0,5,0.0,0,0,0.0,1,0,1,2,1,0,0,4,6,2.4,-1
2018-12-21,Pistoia,Capo d'Orlando,27.791780821917808,1,25,5,12,0.417,2,6,0.333,6,7,0.857,2,3,5,2,6,0,4,4,18,15.299999999999997,18
2018-09-01,Pistoia,Brindisi,27.487671232876714,1,24,4,11,0.364,2,6,0.333,2,2,1.0,0,4,4,1,1,1,4,3,12,4.300000000000001,-5
2019-05-02,Pistoia,Cremona,28.153424657534245,1,24,4,11,0.364,1,4,0.25,0,0,0.0,0,3,3,0,0,1,4,2,9,-0.2999999999999998,-18
2018-09-10,Pistoia,Avellino,27.51232876712329,1,15,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,0,1,0,1,4,5,0.30000000000000027,-2
2019-05-29,Pistoia,Pesaro,28.22739726027397,0,26,5,12,0.417,2,5,0.4,2,2,1.0,0,3,3,4,0,0,1,1,14,9.9,4
2019-03-26,Pistoia,Sassari,28.052054794520547,1,32,3,7,0.429,2,5,0.4,0,0,0.0,0,3,3,5,0,0,3,2,8,4.8999999999999995,-2
2019-03-16,Pistoia,Trentino,28.024657534246575,1,26,6,13,0.462,2,7,0.286,0,0,0.0,1,1,2,1,1,0,0,4,14,8.399999999999999,-4
2019-02-28,Pistoia,Virtus Bologna,27.98082191780822,1,25,6,11,0.545,4,7,0.571,0,0,0.0,1,1,2,0,1,0,4,4,16,7.1,0
2019-01-23,Pistoia,Milano,27.88219178082192,1,35,5,14,0.357,4,10,0.4,2,2,1.0,1,0,1,0,0,0,0,0,16,8.9,-12
2018-10-10,Pistoia,Capo d'Orlando,27.594520547945205,1,23,4,7,0.571,3,5,0.6,4,4,1.0,0,2,2,4,0,0,1,4,15,12.500000000000002,24
2019-05-15,Pistoia,Brindisi,28.18904109589041,1,34,7,14,0.500,3,8,0.375,2,2,1.0,0,3,3,1,1,0,3,2,19,10.8,-2
2019-01-06,Pistoia,Cremona,27.835616438356166,1,35,4,13,0.308,1,5,0.2,2,2,1.0,0,5,5,1,1,0,2,2,11,3.9000000000000004,12
2019-07-17,Pistoia,Avellino,28.361643835616437,1,27,5,11,0.455,0,3,0.0,2,4,0.5,1,0,1,3,1,0,4,2,12,4.5,-22
2019-01-22,Pistoia,Varese,27.87945205479452,0,28,6,12,0.500,5,11,0.455,3,4,0.75,0,1,1,2,0,0,2,1,20,12.9,11
