date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-09,Pesaro,Pistoia,26.786301369863015,1,29,4,5,0.000,0,0,0.0,5,5,1.0,4,9,13,2,0,2,0,4,13,17.799999999999994,10
2019-07-22,Pesaro,Brindisi,26.904109589041095,1,23,3,6,0.000,0,0,0.0,2,4,0.5,4,9,13,3,0,0,1,4,8,9.2,-10
2018-11-20,Pesaro,Venezia,26.235616438356164,1,26,2,8,0.000,0,0,0.0,1,2,0.5,1,3,4,0,1,0,2,3,5,-0.8000000000000003,-21
2018-10-12,Pesaro,Milano,26.12876712328767,1,30,5,10,0.000,0,0,0.0,1,2,0.5,2,8,10,1,0,1,2,4,11,7.199999999999999,-6
2019-04-13,Pesaro,Brescia,26.63013698630137,1,35,7,8,0.000,0,0,0.0,1,2,0.5,1,10,11,1,0,1,2,3,15,13.7,10
2018-12-07,Pesaro,Trieste,26.28219178082192,1,26,5,6,0.000,0,0,0.0,2,2,1.0,3,7,10,1,3,1,3,3,12,14.2,26
2019-01-17,Pesaro,Cantù,26.394520547945206,1,36,5,9,0.000,0,0,0.0,2,3,0.667,5,10,15,2,1,0,3,3,12,12.0,3
2019-05-24,Pesaro,Virtus Bologna,26.742465753424657,1,31,9,16,0.000,0,0,0.0,1,2,0.5,6,6,12,0,1,0,2,3,19,14.8,9
2019-08-20,Pesaro,Avellino,26.983561643835618,1,31,6,8,0.000,0,0,0.0,2,2,1.0,3,5,8,0,1,1,1,4,14,13.499999999999998,-8
2018-12-08,Pesaro,Cremona,26.284931506849315,1,26,11,14,0.000,0,0,0.0,5,9,0.556,9,2,11,0,2,3,1,4,27,28.4,-14
2018-10-24,Pesaro,Trentino,26.161643835616438,1,29,5,6,0.000,0,0,0.0,5,9,0.556,4,15,19,2,1,1,3,4,15,16.999999999999996,-13
2019-08-10,Pesaro,Sassari,26.956164383561646,1,35,3,5,0.000,0,0,0.0,4,4,1.0,4,7,11,1,0,0,4,2,10,8.499999999999998,-27
2019-08-13,Pesaro,Varese,26.964383561643835,0,38,3,6,0.000,0,0,0.0,1,2,0.5,6,5,11,2,2,3,1,1,7,13.399999999999999,-19
2019-08-19,Pesaro,Reggio Emilia,26.98082191780822,1,35,7,11,0.000,0,0,0.0,2,7,0.286,6,2,8,1,0,0,0,2,16,13.799999999999999,-29
2018-12-26,Pesaro,Torino,26.334246575342465,1,32,2,8,0.000,0,0,0.0,5,8,0.625,10,11,21,0,1,2,1,3,9,13.5,-5
2018-09-22,Pesaro,Pistoia,26.073972602739726,1,31,3,3,0.000,0,0,0.0,0,3,0.0,2,8,10,1,1,1,0,3,6,8.899999999999999,3
2019-07-08,Pesaro,Brindisi,26.865753424657534,1,22,4,8,0.000,0,0,0.0,0,0,0.0,5,5,10,0,2,2,0,3,8,11.2,-8
2019-07-06,Pesaro,Venezia,26.86027397260274,1,29,3,6,0.000,0,0,0.0,2,2,1.0,2,7,9,0,3,0,2,3,8,8.3,1
2019-02-07,Pesaro,Milano,26.45205479452055,1,22,3,6,0.000,0,0,0.0,2,2,1.0,4,1,5,0,0,0,0,4,8,6.5,-25
2018-12-06,Pesaro,Brescia,26.279452054794522,1,34,7,12,0.000,0,0,0.0,2,2,1.0,7,7,14,0,2,1,1,4,16,17.5,10
2018-10-27,Pesaro,Trieste,26.16986301369863,1,21,1,4,0.000,0,0,0.0,2,2,1.0,3,5,8,1,0,1,0,4,4,5.0,-10
2018-11-21,Pesaro,Cantù,26.23835616438356,1,35,10,16,0.000,0,0,0.0,1,4,0.25,6,13,19,1,1,1,0,4,21,21.499999999999996,2
2019-02-24,Pesaro,Virtus Bologna,26.4986301369863,1,35,4,9,0.000,0,0,0.0,3,5,0.6,6,3,9,0,4,0,0,2,11,13.799999999999999,-7
2019-01-15,Pesaro,Avellino,26.389041095890413,1,29,5,9,0.000,0,0,0.0,4,5,0.8,7,9,16,2,1,2,2,5,14,16.699999999999996,1
2018-12-28,Pesaro,Cremona,26.339726027397262,1,26,3,7,0.000,0,0,0.0,3,4,0.75,9,9,18,0,1,0,1,4,9,12.299999999999999,-21
2018-11-15,Pesaro,Trentino,26.221917808219178,1,21,4,4,0.000,0,0,0.0,5,6,0.833,0,3,3,0,0,0,1,4,13,9.700000000000001,3
2018-12-09,Pesaro,Sassari,26.28767123287671,1,38,2,5,0.000,0,0,0.0,3,4,0.75,3,6,9,0,1,0,0,1,7,8.4,-5
2019-01-10,Pesaro,Varese,26.375342465753423,1,39,2,5,0.000,0,0,0.0,1,2,0.5,4,9,13,3,0,3,2,2,5,8.799999999999997,-4
2019-02-21,Pesaro,Reggio Emilia,26.49041095890411,1,32,4,9,0.000,0,0,0.0,3,6,0.5,6,9,15,0,4,0,1,4,11,13.399999999999999,-14
2019-07-28,Pesaro,Torino,26.92054794520548,1,28,3,4,0.000,0,0,0.0,1,2,0.5,1,8,9,2,2,0,2,2,7,8.7,-18
