date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-18,Trentino,Brindisi,26.98082191780822,1,13,1,8,0.125,1,5,0.2,2,2,1.0,0,2,2,3,1,0,0,0,5,3.5000000000000004,-5
2018-11-15,Brindisi,Pesaro,26.39178082191781,1,28,3,12,0.250,2,8,0.25,0,0,0.0,1,3,4,5,2,0,0,2,8,7.1000000000000005,-2
2019-04-20,Brindisi,Virtus Bologna,26.81917808219178,1,28,8,12,0.667,4,5,0.8,6,6,1.0,0,3,3,3,1,0,1,3,26,22.599999999999998,6
2019-01-31,Brindisi,Sassari,26.602739726027398,1,27,4,14,0.286,2,6,0.333,2,2,1.0,0,1,1,5,1,0,2,1,12,6.200000000000001,-20
2018-10-03,Brindisi,Trentino,26.273972602739725,1,24,4,10,0.400,2,6,0.333,1,2,0.5,0,4,4,6,1,0,2,4,11,7.999999999999998,0
2019-08-04,Brindisi,Capo d'Orlando,27.10958904109589,1,24,2,10,0.200,0,6,0.0,2,2,1.0,1,2,3,4,0,0,2,2,6,1.0999999999999996,-2
2018-11-26,Brindisi,Cremona,26.421917808219177,1,29,7,13,0.538,1,3,0.333,3,3,1.0,2,1,3,2,0,0,3,5,18,9.800000000000002,-9
2019-06-29,Brindisi,Varese,27.01095890410959,1,34,3,10,0.300,1,3,0.333,6,6,1.0,0,3,3,3,1,0,3,3,13,7.0,6
2019-07-03,Brindisi,Reggio Emilia,27.02191780821918,1,28,4,10,0.400,1,5,0.2,4,4,1.0,0,6,6,1,1,0,3,4,13,6.499999999999998,3
2018-10-29,Brindisi,Torino,26.345205479452055,1,27,7,11,0.636,6,8,0.75,6,7,0.857,0,2,2,4,3,0,2,5,26,23.100000000000005,25
2019-05-15,Brindisi,Pistoia,26.887671232876713,1,25,7,11,0.636,5,7,0.714,2,2,1.0,1,4,5,3,0,0,3,1,21,16.700000000000003,16
2019-02-12,Brindisi,Venezia,26.635616438356166,1,30,1,10,0.100,0,3,0.0,8,8,1.0,0,2,2,7,1,0,1,4,10,7.299999999999999,1
2019-06-24,Brindisi,Milano,26.997260273972604,1,25,3,10,0.300,0,6,0.0,3,4,0.75,1,2,3,4,0,0,2,5,9,2.8999999999999986,-15
2018-12-20,Brindisi,Brescia,26.487671232876714,1,30,5,13,0.385,2,6,0.333,3,4,0.75,1,3,4,0,2,0,3,2,15,7.299999999999999,4
2018-11-18,Brindisi,Avellino,26.4,1,22,5,11,0.455,1,5,0.2,0,0,0.0,0,3,3,4,1,0,1,1,11,8.6,-3
2019-01-27,Brindisi,Pesaro,26.59178082191781,1,29,8,15,0.533,4,8,0.5,2,2,1.0,0,1,1,2,1,0,2,4,22,13.799999999999999,11
2019-05-04,Brindisi,Virtus Bologna,26.857534246575344,1,24,0,7,0.000,0,4,0.0,0,0,0.0,0,2,2,8,1,0,1,3,0,0.09999999999999964,-1
2019-07-03,Brindisi,Sassari,27.02191780821918,1,17,2,4,0.500,0,1,0.0,3,3,1.0,0,0,0,4,0,0,1,5,7,4.8,3
2019-01-05,Brindisi,Trentino,26.53150684931507,1,17,3,9,0.333,1,5,0.2,3,5,0.6,1,1,2,3,3,0,1,5,10,7.199999999999999,-13
2019-01-08,Avellino,Virtus Bologna,26.53972602739726,1,28,6,12,0.500,2,5,0.4,3,4,0.75,1,0,1,4,1,0,2,4,17,11.499999999999998,1
2018-10-31,Cantù,Sassari,26.350684931506848,0,23,5,9,0.556,2,6,0.333,1,1,1.0,2,0,2,4,5,0,0,2,13,17.099999999999998,-2
2018-09-25,Brindisi,Trentino,26.252054794520546,1,25,2,4,0.500,2,4,0.5,0,0,0.0,3,3,6,3,1,0,4,3,6,4.899999999999999,7
2019-03-01,Brindisi,Pistoia,26.682191780821917,1,32,2,12,0.167,2,8,0.25,0,0,0.0,0,4,4,5,0,0,1,4,6,0.5000000000000013,-2
2019-01-08,Brindisi,Cantù,26.53972602739726,1,32,7,11,0.636,4,8,0.5,6,6,1.0,0,2,2,6,1,0,3,3,24,20.700000000000003,19
