date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-01-13,Virtus Bologna,Varese,27.473972602739725,1,23,5,6,0.000,0,0,0.0,3,3,1.0,2,4,6,1,0,1,2,4,13,11.2,4
2019-01-20,Virtus Bologna,Trieste,27.493150684931507,1,19,5,8,0.000,0,0,0.0,0,0,0.0,4,8,12,1,2,0,1,2,10,12.499999999999998,0
2019-01-27,Virtus Bologna,Milano,27.51232876712329,1,21,4,6,0.000,0,0,0.0,2,4,0.5,3,4,7,0,3,0,3,1,10,9.499999999999998,-11
2019-02-03,Virtus Bologna,Avellino,27.53150684931507,1,15,3,6,0.000,0,0,0.0,0,0,0.0,1,5,6,0,0,0,0,2,6,4.400000000000001,-2
2019-02-09,Virtus Bologna,Cremona,27.54794520547945,1,28,7,11,0.000,0,0,0.0,2,2,1.0,3,3,6,0,1,1,2,4,16,12.200000000000001,-15
2019-03-02,Virtus Bologna,Venezia,27.605479452054794,1,24,2,7,0.000,0,0,0.0,3,7,0.429,5,8,13,0,1,0,1,3,7,6.000000000000001,1
2019-03-10,Virtus Bologna,Cantù,27.627397260273973,1,9,2,3,0.000,0,0,0.0,0,1,0.0,1,2,3,0,0,0,3,2,4,-0.20000000000000018,-5
2019-03-17,Virtus Bologna,Torino,27.646575342465752,1,18,3,8,0.000,0,0,0.0,0,2,0.0,4,6,10,1,2,0,1,4,6,5.5,2
2019-03-23,Virtus Bologna,Pesaro,27.663013698630138,1,16,4,5,0.000,0,0,0.0,1,2,0.5,4,3,7,0,0,0,3,2,9,6.6,-3
2019-03-31,Virtus Bologna,Sassari,27.684931506849317,1,11,1,1,0.000,0,0,0.0,1,2,0.5,0,0,0,0,1,1,0,2,3,3.2,-9
2019-04-07,Virtus Bologna,Pistoia,27.704109589041096,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,-3
2019-04-20,Virtus Bologna,Reggio Emilia,27.73972602739726,1,12,4,7,0.000,0,0,0.0,0,0,0.0,1,4,5,0,1,0,1,0,8,6.6000000000000005,5
2019-04-24,Virtus Bologna,Brescia,27.75068493150685,1,24,8,14,0.571,0,1,0.0,2,3,0.667,2,5,7,1,3,0,0,1,18,17.2,2
2019-04-28,Virtus Bologna,Trentino,27.76164383561644,1,12,3,5,0.000,0,0,0.0,2,2,1.0,2,3,5,2,0,1,1,3,8,7.899999999999999,-15
