date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-02,Venezia,Reggio Emilia,35.087671232876716,0,19,1,7,0.143,0,2,0.0,0,0,0.0,0,1,1,1,0,0,2,3,2,-4.7,-7
2018-12-17,Brescia,Varese,35.295890410958904,0,17,3,6,0.500,1,3,0.333,0,0,0.0,2,1,3,2,0,0,2,1,7,4.699999999999999,-1
2018-12-12,Brescia,Reggio Emilia,35.28219178082192,1,25,4,5,0.800,2,2,1.0,0,0,0.0,0,5,5,6,0,0,0,3,10,12.599999999999998,7
2019-06-15,Brescia,Trieste,35.78904109589041,1,22,1,4,0.250,1,1,1.0,0,0,0.0,0,3,3,1,0,0,2,4,3,-1.4,2
2018-09-08,Brescia,Avellino,35.02191780821918,1,25,1,3,0.333,1,1,1.0,4,5,0.8,1,3,4,0,0,0,2,3,7,3.3,-11
2019-04-13,Brescia,Pesaro,35.61643835616439,1,26,3,5,0.600,1,2,0.5,2,2,1.0,2,0,2,5,1,0,1,4,9,10.0,5
2019-07-19,Brescia,Trentino,35.88219178082192,0,21,0,2,0.000,0,1,0.0,2,2,1.0,1,1,2,3,2,0,1,1,2,4.299999999999999,0
2018-10-27,Brescia,Brindisi,35.156164383561645,0,18,0,2,0.000,0,0,0.0,0,0,0.0,1,3,4,1,0,0,2,2,0,-1.9000000000000001,-16
2019-02-09,Brescia,Torino,35.443835616438356,0,18,4,5,0.000,0,0,0.0,0,0,0.0,0,2,2,4,0,0,1,2,8,7.699999999999999,10
2019-06-23,Brescia,Pistoia,35.81095890410959,0,25,2,6,0.000,0,0,0.0,2,2,1.0,2,2,4,0,0,0,3,1,6,1.1999999999999993,12
2019-06-22,Brescia,Cantù,35.80821917808219,0,21,1,5,0.200,0,3,0.0,0,1,0.0,0,1,1,4,1,0,0,1,2,2.1999999999999997,7
2018-12-20,Brescia,Cremona,35.3041095890411,0,27,2,4,0.000,0,0,0.0,3,4,0.75,3,1,4,0,2,0,2,1,7,6.6,2
2018-10-13,Brescia,Milano,35.11780821917808,0,18,4,5,0.800,2,2,1.0,3,3,1.0,0,1,1,3,1,0,1,2,13,12.7,-10
2018-09-02,Brescia,Sassari,35.00547945205479,0,20,1,4,0.250,0,3,0.0,2,2,1.0,0,4,4,5,2,1,2,2,4,6.199999999999999,-18
2019-05-16,Brescia,Virtus Bologna,35.706849315068496,0,30,1,5,0.200,0,1,0.0,0,0,0.0,1,6,7,2,2,0,2,1,2,2.3999999999999986,-4
2019-06-07,Brescia,Venezia,35.76712328767123,1,33,1,6,0.167,0,3,0.0,1,2,0.5,4,2,6,2,1,1,1,3,3,3.1000000000000005,5
2019-04-07,Brescia,Varese,35.6,1,34,5,7,0.714,3,4,0.75,0,0,0.0,1,7,8,3,2,1,2,3,13,14.5,2
2018-12-11,Brescia,Reggio Emilia,35.27945205479452,1,26,3,4,0.750,1,2,0.5,0,0,0.0,0,4,4,0,1,0,7,5,7,-1.4000000000000004,-10
2019-03-11,Brescia,Trieste,35.52602739726027,0,30,4,6,0.667,1,2,0.5,4,4,1.0,1,6,7,3,0,0,1,3,13,12.799999999999997,5
